map EGL-G2-E
fac 5 10 {0,129,24,177,2}
hosp 3 {0,29,117}
n_ALS 7 1 {3:0,1:129,1:24,1:177,1:2}
n_BLS 22 1 {1:0,6:129,7:24,6:177,2:2}
n_CLS 7 0 {1:129,1:24,3:177,2:2}
      c_m  head  tail      c_af      c_d  c_tau  c_h
79      2   175   177  0.891012  {0,3,0}     29    1
90      5    98   127  0.707000  {0,2,0}     20    0
65      7    50    53  0.457379  {1,1,0}     40    1
123   137   181   182  0.719136  {0,1,0}     20    1
7     149    54    55  0.706776  {0,3,0}     33    1
125   152   240   242  0.770592  {0,2,0}     24    0
57    163    84    85  0.983596  {0,0,1}     37    1
94    233    47    64  0.098025  {1,1,0}     34    1
10    290   137   138  0.751222  {0,1,0}     24    0
34    293    68    69  0.855596  {0,1,0}     39    1
9     296   156   162  0.817316  {0,0,1}     29    0
43    312   211   212  0.672657  {1,0,0}     31    1
46    366   200   201  0.092389  {0,1,0}     39    1
31    394     3    15  0.287829  {1,0,0}     23    0
105   401    71    72  0.128133  {0,1,0}     22    0
76    402    66    67  0.912191  {1,0,0}     24    1
3     439   178   185  0.156697  {0,1,1}     30    1
50    448   135   147  0.289106  {1,1,0}     24    1
115   462   129   138  0.155149  {0,2,0}     38    0
86    470    38    40  0.884752  {0,3,0}     25    1
83    480    20    21  0.405753  {0,1,1}     39    0
89    487    24    26  0.816535  {0,1,0}     36    1
111   490   252   253  0.419533  {1,0,0}     40    1
47    499   195   248  0.726196  {1,1,0}     39    1
96    500   184   185  0.745602  {0,2,0}     26    1
36    501     0     1  0.558919  {0,1,0}     39    1
62    504    59    72  0.657373  {1,0,0}     26    1
114   509   174   182  0.873747  {1,0,0}     22    1
116   511    10    11  0.206551  {0,3,0}     23    0
8     522   190   192  0.675268  {1,0,0}     31    1
4     529     1    12  0.129068  {1,1,0}     22    1
121   546    17    19  0.239821  {1,1,0}     38    1
119   548     7    30  0.841209  {0,3,0}     29    0
60    556   108   109  0.463944  {1,1,0}     37    1
42    558    69    70  0.932624  {0,1,0}     38    0
44    567   125   152  0.357379  {0,1,0}     28    0
113   569    18    19  0.212459  {1,1,0}     39    1
74    570    90    92  0.105135  {1,1,0}     29    0
25    570   222   223  0.662635  {0,1,0}     33    0
49    577    95    96  0.012102  {1,1,0}     22    1
71    580    43    44  0.679561  {0,0,1}     24    1
52    596   248   249  0.467195  {1,0,0}     25    1
117   600    15    17  0.573382  {0,2,0}     38    1
15    600   177   181  0.314144  {0,1,1}     23    1
120   604    54    58  0.044020  {0,3,0}     36    0
41    625    90    91  0.488093  {1,0,0}     31    1
16    628   177   181  0.871575  {0,0,1}     33    0
78    637    29    31  0.406296  {0,0,1}     35    0
93    652    17    22  0.432803  {0,1,0}     34    1
37    653   154   158  0.338357  {0,1,1}     28    0
63    655   211   212  0.504260  {0,1,0}     34    0
28    664   180   181  0.055613  {0,2,0}     40    1
67    668   133   134  0.674498  {0,1,1}     32    1
38    670   146   147  0.563645  {0,3,0}     20    1
53    691   233   234  0.459650  {0,3,0}     30    1
70    702    71    73  0.890266  {0,2,0}     35    1
99    730    22    24  0.791763  {0,1,0}     33    1
29    734    13    14  0.514108  {1,1,0}     39    1
124   737   247   248  0.237146  {0,1,0}     36    1
108   740   220   221  0.659012  {0,1,0}     21    0
18    748   106   108  0.999583  {0,1,0}     21    1
48    750   147   148  0.031077  {1,1,0}     37    1
17    755    27    28  0.486623  {1,0,0}     35    1
126   756    73    74  0.650379  {1,3,0}     40    1
72    764    76    77  0.773879  {0,1,0}     23    1
88    780    62    63  0.181652  {0,2,0}     27    1
98    781   196   197  0.174052  {0,1,0}     35    0
14    798   210   211  0.486558  {1,0,0}     35    1
26    808   122   124  0.915074  {0,1,0}     35    0
91    817   125   126  0.797402  {0,0,1}     39    0
106   825    29    31  0.784088  {1,0,0}     22    1
66    829   235   236  0.692293  {0,1,0}     34    1
22    861   177   180  0.937734  {1,1,0}     26    1
39    882   185   186  0.791760  {1,0,0}     23    1
0     889    50    51  0.566447  {1,1,0}     24    1
107   915   244   253  0.805183  {0,1,0}     34    1
97    923   115   116  0.940799  {0,2,0}     21    1
109   937    48    57  0.244311  {0,3,0}     20    0
122   952    66    93  0.846904  {0,2,0}     36    1
104   953   130   137  0.445808  {0,2,0}     27    0
6     958   166   175  0.768598  {0,2,0}     21    0
95    966    30    33  0.540438  {0,1,0}     20    1
12    974    18    19  0.633269  {0,1,0}     35    0
45    985   227   231  0.577416  {0,2,0}     22    1
77    998   141   142  0.005839  {0,1,0}     37    1
21   1006   170   174  0.360082  {0,2,0}     37    1
56   1017   167   168  0.245433  {1,1,0}     33    1
92   1021   188   189  0.496133  {0,1,0}     24    0
103  1026   161   165  0.907144  {0,1,0}     22    1
20   1031   116   117  0.460471  {1,0,0}     36    1
85   1034   148   149  0.445162  {0,2,0}     25    0
87   1047   220   221  0.636771  {1,0,0}     26    1
13   1052   193   194  0.685648  {0,1,1}     28    1
58   1052   145   148  0.016906  {1,1,0}     21    1
100  1057    79    80  0.580888  {0,3,0}     28    0
2    1058    66    93  0.769447  {0,3,0}     35    0
5    1070   120   162  0.725701  {0,1,0}     40    1
81   1089     6    27  0.459086  {1,2,0}     39    1
73   1091   109   110  0.172025  {1,0,0}     38    1
32   1104   248   249  0.136538  {0,2,0}     25    1
101  1105     7     8  0.637979  {0,2,0}     38    0
33   1108   174   182  0.804144  {1,1,0}     24    1
27   1110   101   112  0.863073  {0,2,0}     26    0
24   1111   235   236  0.750013  {0,0,1}     30    1
80   1116   244   245  0.187103  {0,0,1}     38    1
55   1121    23   171  0.967129  {0,2,0}     29    1
54   1137    97   115  0.348953  {1,1,0}     27    1
112  1146   218   225  0.357080  {1,2,0}     31    1
68   1187   185   187  0.043934  {0,2,0}     34    1
118  1196    54    55  0.677666  {0,1,1}     31    1
69   1201   236   238  0.730738  {0,2,0}     30    1
40   1217   152   155  0.857912  {0,1,0}     35    1
64   1219    68    69  0.824425  {0,0,1}     27    0
59   1222   126   127  0.365572  {0,1,0}     40    1
19   1232    78    79  0.540215  {0,2,0}     23    1
51   1235   216   217  0.462880  {1,0,0}     31    1
110  1262    59    72  0.521277  {0,2,0}     40    1
