map EGL-G1-D
fac 5 10 {0,150,83,155,244}
hosp 3 {0,69,221}
n_ALS 10 1 {1:0,2:150,4:83,2:155,1:244}
n_BLS 19 1 {2:0,3:150,5:83,5:155,4:244}
n_CLS 6 0 {1:150,1:155,4:244}
      c_m  head  tail      c_af      c_d  c_tau  c_h
104     6    73    75  0.752398  {0,1,0}     38    0
42     13    12    13  0.547867  {0,2,0}     30    0
48     25    66    67  0.376478  {1,0,0}     21    1
118    37     5    23  0.581671  {0,2,0}     32    0
121   103   115   116  0.933197  {1,0,0}     24    1
95    115     1    12  0.768754  {0,1,0}     29    1
70    132   135   136  0.874927  {0,1,0}     39    0
69    144    32    34  0.007733  {0,1,0}     35    0
26    184    39    72  0.887803  {1,1,0}     28    1
73    224   188   189  0.563683  {1,0,0}     22    1
24    235    48    57  0.617489  {0,3,0}     37    0
5     251   138   139  0.328124  {1,0,0}     21    1
71    264   121   123  0.032223  {0,1,1}     33    0
38    283   242   245  0.002914  {0,2,0}     22    0
94    285    17    22  0.501557  {0,1,0}     25    0
106   320   103   113  0.561205  {0,1,0}     33    1
29    341   149   150  0.433589  {1,1,0}     25    1
13    343   132   133  0.613371  {0,2,0}     26    0
12    413   177   184  0.733539  {0,2,0}     32    1
32    430   196   203  0.913063  {0,3,0}     24    1
21    433   180   181  0.164816  {1,0,0}     23    1
8     438   165   166  0.755030  {1,1,0}     37    1
55    438    47    48  0.090319  {1,0,0}     34    1
96    439   237   238  0.888027  {0,3,0}     37    1
63    442   144   145  0.424746  {0,1,0}     25    0
113   465    90    91  0.039231  {1,3,0}     31    0
28    477    22    24  0.164350  {1,1,0}     32    1
59    478    68    69  0.675966  {0,1,0}     28    1
19    481   162   167  0.764540  {0,1,0}     39    0
6     485   173   181  0.660381  {1,1,0}     27    1
61    487    23   229  0.382951  {0,3,0}     25    1
98    511   242   243  0.488256  {1,1,0}     34    1
9     530   154   155  0.548335  {0,2,0}     40    1
103   567    84   100  0.372787  {1,0,0}     36    1
81    571   171   172  0.953256  {0,3,0}     30    1
39    579    25    26  0.036124  {1,1,0}     24    1
25    590    43    45  0.148593  {0,1,0}     27    0
114   593   244   249  0.401175  {0,3,0}     40    1
108   613   103   113  0.603272  {0,2,0}     38    1
90    621    39    40  0.313713  {0,1,0}     25    1
18    638   118   119  0.267755  {0,2,0}     21    1
115   646   241   242  0.955464  {0,1,0}     35    0
111   648    58    59  0.304024  {0,3,0}     38    0
92    649    65    66  0.847313  {0,2,0}     22    1
4     656    94    98  0.822155  {0,1,0}     21    1
91    676    36    38  0.100197  {0,1,0}     31    1
53    692   213   214  0.929087  {1,1,0}     25    1
97    697    77    81  0.947413  {1,1,0}     36    1
3     701    93    94  0.454971  {1,1,0}     37    1
11    712    96   114  0.937166  {0,1,1}     34    0
44    722    42    43  0.679081  {1,1,0}     25    1
75    723    98    99  0.342769  {0,1,0}     26    1
101   747   136   137  0.352640  {1,0,0}     35    1
116   759    78    79  0.356727  {0,1,0}     37    1
87    763    15    17  0.655503  {1,3,0}     37    1
112   771     5    23  0.662184  {0,2,0}     23    0
35    777    42    43  0.405980  {1,0,0}     33    1
105   782   237   238  0.112995  {0,1,0}     40    1
58    799   196   197  0.895076  {1,1,0}     33    1
22    817   156   162  0.183681  {1,1,0}     25    1
84    827   136   137  0.180455  {1,1,0}     39    1
60    841   195   197  0.979475  {0,3,0}     25    0
125   842    31    32  0.789520  {0,3,0}     24    0
126   845   124   149  0.140349  {0,1,0}     26    1
10    856    32    33  0.187809  {1,0,0}     23    1
109   870   175   176  0.781431  {1,0,0}     35    1
46    883   134   135  0.400932  {0,1,0}     32    1
45    886     2     3  0.118984  {1,1,0}     32    1
85    894   211   213  0.766096  {1,0,0}     34    1
66    895   117   118  0.245057  {0,2,0}     26    0
51    896    56    57  0.610940  {1,1,0}     29    1
79    897    16    18  0.048852  {1,3,0}     35    1
2     898   234   235  0.321840  {0,2,0}     33    0
119   917    20    21  0.842300  {0,1,0}     26    1
30    931    29    31  0.114608  {0,2,0}     37    0
64    932    32    34  0.312294  {0,1,0}     28    1
34    947   119   161  0.099498  {1,1,0}     39    1
41    947    70    72  0.693763  {0,2,0}     30    0
99    948   178   183  0.519843  {0,2,0}     36    1
110   958   122   123  0.156486  {0,2,0}     39    1
65    961    70    72  0.094203  {0,3,0}     31    1
120   966    72    73  0.633331  {0,2,0}     39    1
49    967   142   144  0.433228  {0,3,0}     38    1
36    967    23   229  0.432179  {0,1,0}     36    1
56    985   203   210  0.462842  {1,0,0}     39    1
62    987   155   156  0.087241  {0,2,0}     35    1
107   991    39    72  0.951946  {0,1,0}     36    1
88    998   225   227  0.531294  {0,3,0}     27    1
78   1007    67    68  0.276934  {1,0,0}     39    1
102  1017     9    10  0.402034  {0,2,0}     35    1
74   1018    39    52  0.343395  {0,3,0}     29    1
83   1024    73    74  0.927816  {1,3,0}     25    1
43   1042   225   248  0.549846  {0,3,0}     32    1
93   1058     2     3  0.018458  {0,1,0}     23    0
80   1066   226   227  0.426320  {0,1,0}     36    0
123  1072   219   221  0.170947  {0,3,0}     32    1
50   1079   106   108  0.781876  {0,1,0}     20    0
52   1088    43    46  0.056737  {0,0,1}     26    1
68   1090    19    25  0.038954  {0,1,0}     24    1
76   1097     4     5  0.749488  {1,1,0}     20    1
89   1106   212   243  0.020940  {0,3,0}     38    0
47   1109   189   190  0.326680  {1,0,0}     39    1
7    1121   118   119  0.544388  {0,2,0}     33    0
1    1140   203   210  0.611143  {0,1,0}     20    1
100  1147   222   225  0.868977  {0,1,1}     39    1
20   1187   139   141  0.439377  {0,3,0}     25    1
33   1192    96   111  0.996151  {1,1,0}     35    1
16   1199   125   126  0.825754  {1,0,0}     36    1
31   1202   152   153  0.492595  {0,2,0}     28    1
57   1220   116   118  0.440580  {0,1,1}     32    1
77   1231   211   212  0.799021  {0,1,0}     37    0
0    1262   177   184  0.416634  {1,1,0}     34    1
37   1265    70    72  0.474309  {1,0,0}     30    1
86   1268   151   152  0.275790  {0,2,0}     24    1
40   1313    45    46  0.205686  {0,2,0}     27    1
15   1322   190   191  0.360509  {0,3,0}     33    0
54   1334   150   151  0.386047  {1,1,0}     22    1
14   1335    18    19  0.668966  {0,3,0}     25    1
72   1340   178   179  0.178323  {0,3,0}     31    1
67   1351   245   246  0.712198  {1,3,0}     25    1
27   1364    68    69  0.407229  {0,2,0}     23    1
117  1365   142   143  0.863687  {0,2,0}     20    1
23   1368   204   205  0.753796  {0,0,1}     36    1
127  1405    71    72  0.258932  {1,1,0}     22    1
122  1408    65    92  0.073851  {0,1,0}     39    1
82   1414    18    20  0.887621  {0,2,0}     39    1
17   1415   213   214  0.536649  {0,2,0}     37    1
124  1422   173   181  0.602773  {0,1,0}     24    0
