map EGL-G2-C
fac 5 10 {0,20,235,54,48}
hosp 3 {0,111,249}
n_ALS 7 1 {1:0,2:20,2:235,2:48}
n_BLS 19 1 {6:0,3:20,4:235,4:54,2:48}
n_CLS 10 0 {3:0,1:20,2:235,3:54,1:48}
      c_m  head  tail      c_af      c_d  c_tau  c_h
24     26    56    57  0.195708  {1,0,0}     25    1
16     33    17    22  0.823002  {0,2,0}     37    1
94     41   132   133  0.226412  {0,2,0}     24    0
64     59   107   108  0.874248  {0,1,0}     40    0
19    104    56    57  0.579673  {1,0,0}     27    1
37    107   145   146  0.137019  {0,2,0}     25    1
29    218   126   127  0.400436  {1,0,0}     20    1
3     221   239   240  0.071402  {0,1,0}     35    1
110   246     5     6  0.111413  {0,2,0}     22    1
57    251   177   180  0.711122  {0,2,0}     28    0
42    280   157   161  0.565816  {0,2,0}     23    1
51    337   189   190  0.075504  {0,1,0}     32    0
116   340    71    73  0.705729  {0,2,0}     29    0
100   341   227   229  0.315665  {0,1,0}     34    0
76    349   178   179  0.000563  {1,0,0}     33    1
41    370   249   252  0.179523  {0,0,1}     34    1
21    375    78    82  0.073384  {0,3,0}     32    1
38    375   251   254  0.293449  {0,1,0}     34    1
1     442   236   238  0.453541  {0,2,0}     39    1
117   457   196   197  0.262206  {1,1,0}     24    1
113   461    67    68  0.830837  {0,2,0}     32    0
10    506    71    72  0.864106  {1,0,0}     35    1
73    523     7    30  0.922319  {0,1,1}     31    1
61    527     2     3  0.133469  {0,0,1}     22    1
112   557    21    35  0.785444  {1,1,0}     26    1
40    574   158   159  0.345310  {0,1,0}     39    1
120   577   126   127  0.378090  {1,1,0}     29    1
6     577    16    18  0.751386  {0,1,1}     23    0
106   590   220   221  0.438347  {0,1,0}     27    1
66    590   118   119  0.561993  {1,0,0}     38    1
48    602    61    65  0.261603  {0,1,0}     25    1
111   620    97   115  0.120302  {0,1,0}     26    1
114   630    83    84  0.434691  {0,1,0}     36    1
82    631   179   184  0.197720  {1,1,0}     25    1
59    643   136   137  0.636972  {0,1,0}     21    1
72    647   122   124  0.635301  {0,1,0}     36    0
18    650    61    62  0.432801  {0,1,0}     38    1
84    650   105   107  0.968018  {0,3,0}     23    1
77    652   125   150  0.239606  {1,1,0}     30    1
88    668     8    33  0.678410  {0,3,0}     26    0
86    669    79    80  0.184357  {0,1,0}     27    1
45    676   208   209  0.485505  {1,0,0}     36    1
62    679   194   242  0.189464  {0,1,0}     28    1
68    679   138   139  0.541334  {0,1,0}     20    1
30    688   203   204  0.756708  {0,3,0}     31    1
25    701    20    21  0.891456  {1,0,0}     29    1
115   705    47    64  0.251070  {0,3,0}     40    1
32    707   203   204  0.508738  {0,3,0}     38    0
33    709    76    77  0.834620  {0,2,0}     39    1
70    722    67    68  0.852370  {0,3,0}     26    1
103   724   177   181  0.215831  {1,1,0}     20    1
87    727    90    92  0.123672  {0,1,0}     31    1
105   741     0    21  0.043119  {0,2,0}     32    0
27    751   122   123  0.583788  {1,0,0}     34    1
28    757    39    40  0.342157  {0,1,0}     40    0
56    771   121   155  0.498286  {0,1,0}     22    1
124   777    10    11  0.323204  {0,1,0}     35    1
74    780   185   186  0.502464  {0,2,0}     32    1
36    782    35    36  0.870552  {0,3,0}     32    1
85    788   140   142  0.532072  {0,1,0}     26    0
123   795   202   209  0.954719  {0,1,0}     38    1
107   799   111   114  0.392286  {0,1,1}     27    1
126   802   146   147  0.671896  {1,0,0}     36    1
91    810   168   176  0.575117  {1,1,0}     22    1
14    834   126   127  0.252280  {0,1,0}     31    1
52    836    81    89  0.672998  {1,1,0}     40    1
101   843    86    87  0.797305  {0,2,0}     21    0
90    852    53    54  0.219805  {0,2,0}     37    1
92    866   165   166  0.080962  {1,0,0}     34    1
8     870   184   188  0.303828  {0,1,1}     27    1
78    894   219   223  0.216989  {0,1,0}     35    0
2     903   143   145  0.462188  {1,1,0}     37    1
109   904     6    27  0.648913  {1,0,0}     39    1
108   922    36    38  0.926656  {0,3,0}     37    1
0     923     9    34  0.757428  {0,1,0}     28    0
34    924   128   129  0.928375  {0,0,1}     36    1
54    926   161   165  0.536533  {0,2,0}     26    1
5     928   235   236  0.785427  {0,1,1}     23    1
46    929   131   132  0.959380  {0,0,1}     37    0
35    934   105   107  0.819392  {1,2,0}     22    1
104   941   121   155  0.756086  {0,2,0}     22    0
83    945   192   194  0.858079  {0,0,1}     27    1
118   946   146   147  0.258893  {0,1,0}     29    1
119   947    66    67  0.221154  {1,1,0}     27    1
47    956   235   236  0.335288  {0,2,0}     21    1
89    957    36    37  0.614058  {1,0,0}     24    1
53    961   121   155  0.269414  {0,1,0}     34    1
97    973   205   207  0.580151  {0,2,0}     25    1
4     978   128   129  0.581790  {1,1,0}     25    1
49    981   142   143  0.461334  {0,1,0}     23    1
95    984   202   203  0.702822  {0,2,0}     24    0
7    1005    55    56  0.310828  {0,1,0}     21    1
9    1008    34    41  0.360432  {0,1,0}     21    1
63   1028   131   132  0.873794  {0,1,0}     27    1
12   1040     0     1  0.167947  {0,1,0}     34    1
55   1062   196   198  0.439779  {0,3,0}     33    0
99   1068   233   254  0.074673  {0,2,0}     25    0
44   1115   163   167  0.336124  {1,0,0}     28    1
125  1139    71    73  0.017801  {0,1,0}     22    0
23   1143   202   209  0.229078  {1,1,0}     26    0
71   1162   175   177  0.827676  {1,1,0}     28    1
79   1169     5    26  0.271672  {1,1,0}     31    1
67   1174    36    37  0.946040  {0,1,0}     20    1
98   1176    15    17  0.190713  {0,1,0}     27    1
39   1179   245   247  0.308001  {0,2,0}     30    0
20   1201    90    92  0.678144  {1,1,0}     33    1
65   1203    13    14  0.357727  {1,0,0}     31    1
13   1206    69    80  0.896128  {0,2,0}     35    1
122  1208   122   123  0.496851  {0,3,0}     25    1
93   1215    39    40  0.600931  {0,0,1}     20    0
11   1230   233   254  0.821562  {0,2,0}     23    1
127  1231    45    64  0.127449  {0,1,0}     20    0
75   1235    16    18  0.005012  {0,1,0}     30    1
60   1244    71    72  0.301655  {0,1,0}     38    1
31   1248    39    40  0.082437  {0,3,0}     21    1
121  1274   188   189  0.541288  {0,1,0}     27    0
80   1282   218   225  0.900394  {0,2,0}     24    0
96   1294   240   242  0.948541  {0,2,0}     38    1
69   1321   210   211  0.572378  {0,3,0}     31    1
50   1354   195   248  0.244526  {0,0,1}     36    0
26   1363   103   111  0.636979  {0,2,0}     32    1
17   1366    69    80  0.815598  {1,3,0}     38    1
81   1398    36    37  0.743838  {0,3,0}     28    0
43   1400    47    64  0.154328  {1,0,0}     21    1
102  1405   105   107  0.367020  {0,1,0}     25    0
22   1422   208   210  0.187530  {0,1,0}     31    1
15   1438     6     7  0.136927  {1,1,0}     30    1
58   1439   142   143  0.094194  {0,1,1}     20    1
