map EGL-G1-D
fac 5 10 {0,235,75,213,86}
hosp 3 {0,170,114}
n_ALS 10 1 {4:0,1:235,3:75,1:213,1:86}
n_BLS 18 1 {4:0,4:235,3:75,5:213,2:86}
n_CLS 9 0 {1:0,2:235,4:213,2:86}
      c_m  head  tail      c_af      c_d  c_tau  c_h
91     15   118   119  0.697296  {0,3,0}     24    0
7      39    77    81  0.838707  {0,1,0}     28    0
111    83   108   109  0.884370  {1,1,0}     34    1
31     87   124   149  0.789582  {1,1,0}     20    1
1      88    90    91  0.090461  {0,1,0}     36    0
117    92   225   248  0.762297  {0,2,0}     34    1
90    102    48    57  0.406670  {0,2,0}     24    1
107   141   130   131  0.753355  {0,1,0}     28    1
102   151    93    94  0.079064  {0,1,0}     24    1
26    166    46    47  0.974393  {0,1,0}     30    0
113   170   156   160  0.465307  {0,1,0}     32    1
93    172   212   218  0.825644  {0,3,0}     20    0
66    186   103   113  0.205348  {1,0,0}     29    1
20    203    50    53  0.148567  {0,3,0}     22    0
68    288   154   155  0.871100  {0,3,0}     28    1
64    290     8    33  0.706627  {1,0,0}     36    1
44    356    81    82  0.481081  {0,2,0}     20    1
72    365     5     6  0.642551  {0,2,0}     21    1
3     377   184   185  0.896862  {0,3,0}     36    1
65    485    18    20  0.931633  {0,3,0}     24    1
0     491   244   249  0.737065  {0,3,0}     23    0
24    509    54    55  0.938231  {0,3,0}     20    1
52    513   231   232  0.186711  {0,3,0}     34    1
62    534    17    22  0.973102  {0,1,0}     37    0
40    542    88    89  0.083697  {0,1,0}     29    1
115   546    73    75  0.824727  {1,0,0}     40    1
9     560    39    72  0.402023  {0,2,0}     28    1
77    561    96    97  0.913575  {0,0,1}     40    1
84    563   151   152  0.552731  {0,2,0}     20    0
88    570    20    21  0.090551  {0,3,0}     24    0
23    573   163   164  0.955799  {1,0,0}     30    1
85    576     9    34  0.678252  {0,2,0}     29    1
95    587   190   191  0.819367  {0,1,0}     21    0
54    588   242   245  0.305320  {0,2,0}     24    0
59    592    23   229  0.893449  {0,3,0}     23    0
71    596    60    67  0.502512  {1,1,0}     27    1
29    600    58    59  0.881981  {1,1,0}     40    1
12    604    10    41  0.235029  {0,1,1}     40    1
81    611   121   123  0.882282  {1,1,0}     40    1
103   614    65    66  0.523437  {1,0,0}     26    1
98    620    54    55  0.845381  {0,3,0}     22    1
121   625    88    89  0.050982  {0,2,0}     36    1
116   628    23    86  0.888670  {1,1,0}     26    1
70    634    18    20  0.995109  {1,0,0}     21    1
104   644    91    92  0.174376  {1,0,0}     33    1
48    648   103   113  0.198027  {0,1,0}     35    1
127   656   186   187  0.748474  {0,1,0}     31    1
114   678   120   121  0.635903  {0,2,0}     40    0
5     683   226   227  0.354127  {1,1,0}     28    1
109   699   175   176  0.695462  {0,2,0}     25    0
53    704    19    25  0.157863  {1,1,0}     27    1
86    709    46    47  0.056194  {0,2,0}     30    0
124   711    45    46  0.821021  {0,1,1}     29    1
96    711   192   193  0.024865  {0,0,1}     25    1
120   716   165   174  0.242201  {0,1,1}     34    1
13    718   178   182  0.892075  {0,2,0}     29    0
67    719   204   209  0.738436  {1,1,0}     39    0
38    727    55    56  0.180506  {1,0,0}     22    1
97    727     5    23  0.983395  {1,1,0}     20    1
83    728    22    24  0.452126  {0,1,0}     37    0
25    733   117   118  0.974618  {0,3,0}     33    0
87    737   110   113  0.553494  {0,1,0}     26    1
101   739   165   166  0.689221  {0,0,1}     36    0
60    749   124   125  0.999789  {0,2,0}     29    1
15    766    29    31  0.317229  {1,0,0}     36    0
22    777    96    97  0.607362  {0,0,1}     40    0
50    786   110   113  0.200515  {0,1,1}     29    1
11    799   165   174  0.262859  {0,0,1}     22    1
47    805    98    99  0.299877  {1,1,0}     33    1
18    836     7    30  0.678329  {1,1,0}     31    1
32    845   216   217  0.206442  {1,0,0}     38    1
78    850   226   227  0.654494  {0,0,1}     29    1
99    855   180   181  0.176077  {0,1,1}     20    1
106   867   102   103  0.420324  {0,0,1}     25    0
21    870   242   245  0.836014  {0,3,0}     26    0
28    879   160   164  0.691670  {0,3,0}     39    0
112   883   189   190  0.602222  {0,2,0}     26    1
125   899    10    41  0.203134  {0,1,1}     35    1
46    906   150   151  0.589325  {0,0,1}     31    1
63    916    59    71  0.254138  {1,0,0}     24    1
34    922   232   233  0.387131  {1,0,0}     20    1
27    924     2    14  0.743349  {0,1,0}     23    1
61    930    89    91  0.189807  {0,1,0}     24    1
80    938   118   119  0.650297  {0,2,0}     34    0
14    943   243   244  0.054099  {1,1,0}     39    1
45    951   129   136  0.810853  {1,0,0}     27    1
92    975   147   148  0.859911  {1,0,0}     37    1
100   994   116   117  0.853052  {0,3,0}     36    0
58    996   124   125  0.551709  {0,1,0}     37    1
82   1009    65    91  0.215315  {1,0,0}     36    1
41   1019    88    96  0.060676  {0,1,1}     25    0
74   1024   103   104  0.952965  {0,1,0}     23    1
30   1038   212   243  0.339384  {0,2,0}     38    0
123  1041    12    13  0.282962  {0,1,0}     24    1
33   1041   158   159  0.666259  {1,0,0}     21    1
55   1045    73    74  0.017461  {0,2,0}     31    0
75   1047   135   136  0.540676  {1,3,0}     29    1
76   1051    40    41  0.963387  {1,3,0}     39    1
10   1071    28    29  0.026622  {0,0,1}     21    1
42   1077    39    52  0.160287  {1,0,0}     34    1
73   1078    90    91  0.069470  {0,2,0}     23    0
19   1091    96    97  0.255770  {0,1,0}     32    1
6    1093   140   149  0.499156  {0,3,0}     38    1
119  1106    75    76  0.808909  {0,1,0}     33    1
37   1114   100   101  0.018993  {0,1,0}     21    1
16   1139    72    73  0.128880  {0,1,0}     24    1
57   1164   242   245  0.077974  {1,1,0}     35    1
17   1172   127   128  0.548218  {1,0,0}     38    1
79   1184    23   149  0.444696  {0,1,0}     37    1
49   1215   167   175  0.701138  {0,2,0}     34    0
110  1224    24    26  0.092631  {1,0,0}     32    1
105  1228   103   104  0.327317  {1,0,0}     27    1
69   1229   105   117  0.777425  {0,1,0}     37    1
118  1231    79    80  0.976456  {0,3,0}     40    0
89   1235    30    33  0.278669  {1,0,0}     27    1
4    1237   165   174  0.921438  {0,1,0}     21    0
35   1240    20    21  0.944893  {0,3,0}     22    1
2    1272   178   183  0.360476  {1,1,0}     27    1
36   1300    84   100  0.006938  {1,1,0}     37    0
51   1317    94    98  0.636550  {0,1,0}     29    0
126  1319   150   151  0.004077  {0,2,0}     38    0
39   1356    61    62  0.593651  {1,0,0}     24    1
94   1362   134   135  0.842160  {0,2,0}     32    1
122  1371   240   242  0.158158  {1,0,0}     38    1
108  1376   178   183  0.844704  {0,3,0}     38    0
56   1377     3     4  0.206689  {0,1,0}     32    0
43   1382    63    64  0.199910  {0,0,1}     37    0
8    1406   147   148  0.667848  {0,1,1}     37    1
