map EGL-G1-A
fac 5 10 {0,78,93,240,244}
hosp 2 {0,88}
n_ALS 8 1 {3:0,3:78,2:244}
n_BLS 19 1 {2:0,5:78,5:93,4:240,3:244}
n_CLS 5 0 {2:0,2:78,1:93}
      c_m  head  tail      c_af      c_d  c_tau  c_h
40     54    96   111  0.845506  {1,0,0}     30    1
31     63     1    12  0.427042  {0,1,1}     24    1
6      69   149   150  0.664510  {0,3,0}     21    0
114    98   243   244  0.014418  {0,1,0}     40    1
18    118    75    76  0.648216  {0,2,0}     34    0
87    120   166   167  0.541331  {1,0,0}     33    1
115   141   164   165  0.056331  {1,0,0}     29    1
47    161    91    92  0.770330  {1,1,0}     23    1
89    184   238   240  0.484435  {1,2,0}     27    0
70    192   101   110  0.435700  {0,1,0}     24    1
57    205   245   246  0.814132  {0,2,0}     38    0
117   236    84   100  0.684963  {0,1,0}     40    0
27    243   207   208  0.413029  {0,0,1}     25    1
107   292   157   158  0.941334  {0,0,1}     39    1
121   325   225   226  0.498618  {0,1,0}     24    1
119   340   162   166  0.222583  {1,0,0}     40    0
113   378   157   158  0.642380  {1,0,0}     22    1
88    390    24    25  0.471672  {1,0,0}     23    1
97    394    96   114  0.222587  {0,2,0}     30    1
11    412   132   133  0.987186  {0,3,0}     29    0
62    419    96   114  0.709590  {0,3,0}     27    1
60    425    40    41  0.533358  {0,2,0}     32    0
64    436    65    92  0.938052  {0,0,1}     25    0
86    438   120   154  0.377878  {0,3,0}     28    1
84    459   127   138  0.547053  {1,0,0}     26    1
51    466   134   146  0.564441  {0,2,0}     38    0
126   468     1     2  0.765655  {0,1,0}     38    1
123   481   215   216  0.037241  {0,0,1}     38    1
21    506   137   138  0.369765  {1,1,0}     31    1
59    529   202   204  0.974626  {0,3,0}     31    0
26    554   207   209  0.089890  {1,2,0}     29    1
73    561   207   208  0.585154  {0,1,0}     40    1
1     573    19    20  0.615815  {0,1,0}     26    1
108   596   163   164  0.357924  {0,2,0}     38    1
43    603   134   135  0.146177  {0,2,0}     30    1
24    605   215   216  0.467131  {1,3,0}     31    1
0     615   141   142  0.953807  {0,1,0}     20    1
122   617    38    40  0.566326  {1,0,0}     34    1
80    619   140   141  0.954316  {0,2,0}     25    0
42    624   192   193  0.706288  {0,1,0}     34    1
68    627    47    64  0.864225  {0,1,0}     25    1
32    630   128   129  0.664705  {0,3,0}     24    1
116   636   104   105  0.734554  {1,2,0}     34    1
2     642   162   166  0.470570  {1,3,0}     39    1
92    647   225   227  0.311009  {1,1,0}     31    1
34    677   156   160  0.365671  {1,0,0}     27    1
124   687   139   141  0.292158  {0,3,0}     34    0
44    699   157   158  0.389755  {0,3,0}     36    1
72    706     4    22  0.253975  {0,0,1}     40    1
75    715    81    82  0.029590  {1,1,0}     31    1
8     716    48    57  0.861302  {0,2,0}     34    1
13    736   149   150  0.115734  {0,2,0}     21    1
49    738   167   175  0.466314  {0,3,0}     31    0
81    740   196   197  0.163603  {0,2,0}     26    1
110   747   135   136  0.974520  {0,1,0}     34    0
94    758   117   118  0.269855  {0,2,0}     24    0
90    778   116   120  0.857843  {1,0,0}     40    1
16    785    26    28  0.158351  {1,0,0}     24    1
99    785   199   202  0.650970  {0,2,0}     25    0
74    806    36    37  0.011751  {0,3,0}     23    0
28    806    49    56  0.150484  {1,0,0}     21    1
50    811    70    71  0.349416  {0,0,1}     20    0
48    818   153   157  0.039798  {1,0,0}     30    1
101   822    45    64  0.221237  {0,1,0}     34    1
4     837   131   132  0.309954  {1,1,0}     23    1
111   838   220   222  0.838774  {0,1,0}     39    1
39    841    93    94  0.182073  {1,0,0}     36    1
105   858   184   185  0.405684  {0,1,1}     32    0
