map EGL-G2-D
fac 5 10 {0,85,54,194,254}
hosp 1 {0}
n_ALS 5 1 {1:0,3:85,1:54}
n_BLS 23 1 {4:0,6:85,4:54,6:194,3:254}
n_CLS 6 0 {3:54,1:194,2:254}
      c_m  head  tail      c_af      c_d  c_tau  c_h
27      2     1    12  0.261780  {1,1,0}     25    1
28     75   161   165  0.626618  {1,0,0}     29    1
63     98    48    57  0.291842  {0,2,0}     36    0
80    102   208   210  0.876955  {0,3,0}     22    0
49    104    65    66  0.093421  {0,1,0}     37    1
104   115    79    80  0.034931  {0,1,1}     29    1
17    168    91    92  0.830195  {0,2,0}     29    1
40    185    85   101  0.875765  {0,2,0}     21    0
70    187   129   138  0.061117  {0,1,0}     39    0
12    259   223   224  0.317155  {0,1,0}     33    1
60    304   177   181  0.201924  {0,3,0}     38    1
89    341    92    93  0.361744  {0,1,0}     33    1
43    405    63    65  0.415003  {0,0,1}     29    0
45    427   175   176  0.904481  {0,0,1}     22    1
113   434   204   205  0.909993  {0,1,0}     29    1
42    461   212   213  0.301315  {0,2,0}     24    0
4     467   162   163  0.842764  {0,2,0}     25    0
76    504   220   221  0.637505  {0,2,0}     32    0
11    505   123   124  0.460426  {0,3,0}     20    0
107   507   143   145  0.863529  {0,3,0}     34    0
47    517   192   194  0.656488  {0,0,1}     31    0
112   518    19    20  0.547236  {1,0,0}     37    1
68    521   121   122  0.767863  {0,1,0}     32    0
79    523    24    25  0.149862  {0,1,1}     22    1
52    524    17    22  0.602514  {0,0,1}     24    1
18    535   107   108  0.489619  {0,1,0}     27    0
3     540   190   191  0.664028  {0,1,0}     26    0
127   549   119   120  0.248933  {1,0,0}     36    1
119   550   172   173  0.752866  {1,1,0}     26    1
16    569    84    86  0.603598  {0,2,0}     37    0
32    587   143   145  0.262809  {1,2,0}     40    1
118   601   234   235  0.984896  {0,0,1}     23    1
116   618   240   241  0.597253  {0,1,0}     28    0
55    621   178   179  0.242118  {1,0,0}     24    1
91    629   142   143  0.113195  {1,0,0}     21    1
59    637    45    64  0.720503  {0,1,0}     30    1
46    657   102   103  0.828974  {0,1,1}     27    1
102   669    81    82  0.116981  {0,3,0}     24    0
101   670   253   254  0.746957  {0,3,0}     39    1
