map EGL-G1-E
fac 5 10 {0,226,183,111,104}
hosp 2 {0,219}
n_ALS 5 1 {2:0,2:183,1:104}
n_BLS 19 1 {3:0,1:226,4:183,5:111,6:104}
n_CLS 9 0 {2:0,1:226,4:111,2:104}
      c_m  head  tail      c_af      c_d  c_tau  c_h
29     13    89    91  0.479400  {0,2,0}     37    1
49     43   144   145  0.328401  {0,1,1}     29    0
6      65   189   190  0.962513  {0,2,0}     27    0
81     66   145   146  0.377455  {0,3,0}     31    1
121   123    54    58  0.756932  {0,2,0}     31    0
66    139   241   242  0.331987  {0,2,0}     38    1
54    171   104   106  0.972333  {1,1,0}     20    1
55    196    32    34  0.980533  {0,2,0}     25    0
27    210   234   235  0.264734  {0,2,0}     20    1
122   229    78    79  0.707636  {0,1,0}     38    1
33    258     5    26  0.302343  {0,1,0}     21    0
124   302    32    33  0.445602  {0,1,0}     25    1
59    326   104   105  0.565378  {0,1,0}     21    0
37    387    77    78  0.972842  {1,0,0}     39    1
88    424   244   249  0.755788  {0,2,0}     27    0
61    431   129   130  0.500146  {1,1,0}     40    1
115   448   135   136  0.462496  {0,2,0}     27    0
94    457    71    72  0.758032  {0,1,0}     24    1
80    468   170   171  0.340016  {0,2,0}     32    1
83    470    40    41  0.722470  {0,1,0}     25    0
98    480   146   147  0.284855  {0,1,0}     26    1
119   483    35    36  0.518183  {0,2,0}     33    0
67    485    61    62  0.207402  {0,1,1}     31    0
28    494    34    41  0.506783  {0,1,0}     27    0
82    522   178   182  0.642094  {0,3,0}     23    0
56    528   211   213  0.266368  {0,3,0}     28    0
52    563    92    93  0.963518  {0,1,0}     22    1
4     570   245   246  0.255766  {0,3,0}     21    1
69    577   112   114  0.650727  {0,2,0}     20    0
85    582   238   239  0.112157  {1,1,0}     28    1
103   606    77    78  0.543279  {0,1,0}     37    1
72    628   204   209  0.194667  {0,1,0}     26    0
35    655    84   100  0.463668  {0,2,0}     38    1
24    659   128   137  0.758477  {1,0,0}     37    1
58    668   189   190  0.552527  {0,2,0}     25    1
43    682   207   208  0.902152  {0,1,1}     29    0
17    686    13    14  0.788349  {1,1,0}     38    0
31    694    84   100  0.494489  {1,3,0}     28    1
19    705    30    33  0.702255  {0,1,0}     37    1
30    722   156   160  0.918227  {1,0,0}     21    1
71    725   157   158  0.043844  {0,3,0}     28    0
114   728    27    30  0.932272  {0,2,0}     32    0
106   729    29    30  0.532617  {0,1,0}     20    1
44    733   240   242  0.057956  {0,1,1}     38    1
7     738   174   175  0.926120  {0,3,0}     38    0
78    739   173   181  0.945339  {0,1,0}     29    1
3     744    35    36  0.668606  {0,3,0}     25    0
126   751   156   160  0.147936  {0,1,0}     21    0
68    762   130   131  0.751643  {0,3,0}     36    0
92    763   244   249  0.510517  {1,1,0}     30    1
102   765   127   128  0.854745  {1,1,0}     37    1
38    768   163   168  0.777422  {0,1,0}     26    1
95    774   144   147  0.152258  {0,2,0}     20    0
105   778   176   179  0.657268  {0,3,0}     33    1
111   784   165   166  0.518117  {1,1,0}     33    1
93    805    24    25  0.740293  {0,0,1}     31    1
8     811    65    92  0.302169  {0,3,0}     38    0
120   824   207   209  0.624968  {0,2,0}     20    0
101   824    72    73  0.041435  {1,1,0}     34    1
18    842    32    33  0.163316  {0,1,0}     26    0
112   844    94    95  0.971593  {0,2,0}     38    1
64    846   210   212  0.443645  {0,1,1}     21    1
9     863    67    68  0.348178  {1,1,0}     25    1
32    867   116   118  0.250262  {0,3,0}     22    0
40    884    43    46  0.955880  {0,2,0}     27    1
79    914     2     3  0.072200  {0,1,0}     28    1
47    919   119   169  0.164736  {0,3,0}     28    0
53    924    51    52  0.774137  {1,0,0}     32    1
20    932    10    11  0.626393  {0,1,0}     40    1
57    935   226   227  0.885400  {0,3,0}     37    1
123   943   106   107  0.723680  {0,1,0}     38    0
41    946   238   239  0.485829  {1,1,0}     36    1
13    966    23    86  0.609188  {0,1,0}     30    1
16    978    32    34  0.103945  {0,3,0}     39    1
42    989   211   213  0.395512  {0,0,1}     21    0
125   990   194   195  0.610652  {1,0,0}     36    1
25   1004   202   203  0.075774  {0,1,1}     28    1
77   1007   222   225  0.959475  {1,0,0}     24    1
91   1014    42    43  0.041049  {0,3,0}     35    0
96   1016   124   151  0.109430  {1,1,0}     33    1
14   1022   103   104  0.241866  {0,3,0}     39    1
23   1024   137   138  0.553674  {1,1,0}     23    1
86   1043     0     1  0.842595  {0,3,0}     35    0
117  1045   121   122  0.320178  {0,2,0}     30    1
2    1056    65    91  0.450405  {1,0,0}     24    1
11   1057   240   242  0.104847  {0,3,0}     26    1
36   1069   245   246  0.315428  {1,0,0}     20    1
39   1072   191   194  0.008616  {0,2,0}     29    0
87   1084    57    61  0.315858  {0,1,1}     26    1
50   1091    10    41  0.960838  {0,0,1}     31    1
113  1099   124   151  0.005740  {0,1,0}     20    1
76   1099   118   119  0.322938  {0,0,1}     20    1
1    1105     9    10  0.315489  {0,1,0}     26    1
63   1107    39    40  0.825782  {0,1,0}     36    0
48   1107   232   234  0.768062  {0,3,0}     21    1
107  1112   185   192  0.629450  {0,2,0}     23    0
26   1114   204   209  0.341003  {0,1,0}     25    1
45   1116    32    33  0.841330  {0,1,0}     40    0
116  1133   103   104  0.915666  {0,1,0}     30    0
34   1136    83    84  0.573178  {0,2,0}     22    1
110  1148     8    33  0.544712  {0,1,0}     30    0
104  1157     6    27  0.854579  {0,2,0}     36    1
75   1170     7    30  0.906729  {0,2,0}     27    0
127  1175   178   179  0.431481  {1,1,0}     35    1
84   1178   180   181  0.275001  {1,1,0}     23    1
60   1179    48    49  0.557012  {0,1,0}     24    1
73   1181    96   114  0.951219  {0,1,0}     23    1
