map EGL-G1-B
fac 5 10 {0,112,191,23,92}
hosp 2 {0,173}
n_ALS 5 1 {3:0,1:112,1:92}
n_BLS 17 1 {5:0,4:112,4:191,1:23,3:92}
n_CLS 10 0 {2:0,1:112,2:191,4:23,1:92}
      c_m  head  tail      c_af      c_d  c_tau  c_h
115     9    84   100  0.607466  {1,1,0}     34    1
34     15    32    34  0.245091  {0,3,0}     34    0
10     16   130   131  0.612907  {0,3,0}     29    1
100    28    83    85  0.881912  {1,0,0}     33    1
17     40   219   220  0.243505  {0,1,0}     39    0
25     51   101   102  0.018782  {0,2,0}     30    1
52     56   167   175  0.474394  {0,1,0}     28    1
60    111    88    96  0.419625  {0,2,0}     32    1
74    115   125   126  0.871857  {0,1,1}     27    1
58    122    92    93  0.614833  {0,2,0}     34    1
1     136   134   146  0.836858  {1,1,0}     23    1
104   142   191   193  0.724223  {0,2,0}     36    0
107   158    56    57  0.549494  {0,1,0}     29    1
4     185   152   153  0.889190  {0,3,0}     33    0
88    186    75    76  0.375048  {1,0,0}     24    1
96    232    54    58  0.528259  {0,1,0}     28    0
8     293    18    19  0.527202  {0,3,0}     37    0
32    316    27    28  0.103366  {0,2,0}     32    1
123   361   174   175  0.791206  {0,1,0}     33    0
19    384    36    38  0.306109  {0,1,0}     39    1
7     409    68    79  0.955481  {1,0,0}     24    1
87    417   167   175  0.551026  {1,0,0}     35    1
57    425   177   178  0.984649  {0,3,0}     32    1
71    428    10    11  0.615083  {0,1,0}     32    0
110   429   194   195  0.483116  {0,3,0}     29    1
119   487    43    45  0.783184  {0,2,0}     35    1
101   489     2     3  0.085960  {0,1,0}     34    0
24    499   185   192  0.118022  {0,1,0}     26    0
13    502   199   202  0.194560  {0,1,0}     34    0
65    528   213   216  0.877339  {1,0,0}     30    1
68    535   204   209  0.200862  {1,0,0}     33    1
47    541    20    21  0.591336  {0,3,0}     28    1
54    554   127   138  0.134147  {1,1,0}     31    1
69    572   244   245  0.856833  {0,0,1}     30    0
56    602   189   190  0.560592  {0,1,0}     23    1
29    611    54    55  0.547814  {0,2,0}     26    1
66    619   157   158  0.412712  {0,2,0}     20    0
89    647   129   130  0.439421  {0,1,0}     31    1
99    655    84   100  0.451960  {1,1,0}     31    1
51    660   144   147  0.189896  {1,0,0}     26    1
114   663    34    41  0.359901  {0,0,1}     26    0
72    680   132   133  0.295540  {1,1,0}     39    0
26    692   141   142  0.373958  {0,2,0}     22    0
77    703    77    81  0.870276  {0,1,0}     32    0
41    715    67    68  0.301493  {0,3,0}     32    1
48    722    11    42  0.598104  {1,0,0}     28    1
98    723    46    47  0.215260  {1,1,0}     25    1
70    732   212   243  0.009838  {1,1,0}     38    1
112   738   104   106  0.159662  {0,3,0}     35    0
27    739   107   108  0.377767  {0,2,0}     24    1
79    740    15    17  0.036079  {0,2,0}     39    1
31    743    29    30  0.697889  {1,1,0}     21    1
127   755    94    95  0.105219  {1,1,0}     26    1
5     761   146   147  0.907131  {0,2,0}     22    1
116   764   116   118  0.587649  {1,1,0}     22    1
55    769    39    52  0.847418  {0,3,0}     39    1
46    771   210   212  0.019867  {1,1,0}     29    1
81    785    50    53  0.832864  {0,1,0}     23    1
40    803   190   192  0.965222  {1,0,0}     21    1
22    807    15    17  0.299193  {0,1,0}     31    0
75    815   127   128  0.897225  {0,0,1}     39    0
120   824    89    91  0.787613  {1,0,0}     26    1
97    827   212   243  0.283754  {0,3,0}     23    0
20    835   220   222  0.026774  {0,2,0}     26    1
105   838   229   230  0.669038  {1,1,0}     32    1
93    842   165   177  0.138636  {0,1,0}     33    1
14    849   189   241  0.629636  {1,0,0}     22    1
30    854   238   239  0.814500  {0,1,0}     40    0
18    858    13    14  0.233593  {0,1,1}     40    1
67    861   127   138  0.706389  {0,0,1}     23    0
49    863   234   236  0.377207  {0,3,0}     33    1
59    866   244   249  0.715864  {0,1,0}     40    1
43    877    90    95  0.380860  {0,1,1}     40    1
45    881   192   193  0.892446  {1,1,0}     20    1
95    887     9    34  0.739733  {0,1,0}     29    1
64    892    15    17  0.954844  {1,1,0}     31    1
36    907   202   203  0.636450  {0,2,0}     24    0
2     913   176   179  0.940936  {0,3,0}     32    0
111   914    43    44  0.838980  {0,2,0}     32    0
39    923   147   148  0.096814  {1,0,0}     34    1
50    935   135   145  0.210346  {1,0,0}     22    1
126   938   204   209  0.855295  {0,2,0}     40    1
80    940   116   118  0.457742  {1,0,0}     38    1
83    954    32    34  0.147100  {0,2,0}     36    1
42    958    23   170  0.798545  {0,2,0}     34    1
122   958    35    36  0.290921  {0,1,0}     36    0
125   983    23   170  0.673155  {0,3,0}     27    0
37    991   198   200  0.249201  {0,2,0}     25    0
82    991   157   159  0.615090  {0,1,0}     30    1
118   995   176   180  0.657599  {0,3,0}     40    0
102   997   139   141  0.933728  {0,1,1}     29    1
108   999    23   170  0.188684  {0,2,0}     21    1
44   1006   106   107  0.714410  {1,0,0}     36    1
84   1021    77    78  0.004730  {0,1,0}     23    1
91   1030   116   117  0.510372  {1,1,0}     23    1
33   1054    68    69  0.445534  {1,1,0}     20    1
103  1055   116   118  0.245929  {0,1,0}     36    1
94   1063    92    93  0.958206  {1,0,0}     35    1
12   1072   105   107  0.792063  {1,0,0}     24    1
124  1074   158   159  0.988457  {0,1,0}     39    1
92   1076   131   132  0.076591  {0,2,0}     38    1
63   1081    90    95  0.466979  {1,0,0}     20    1
86   1106    92    93  0.948017  {0,1,0}     33    1
73   1108    39    72  0.302760  {0,2,0}     25    0
109  1116    12    16  0.333719  {1,0,0}     38    1
121  1147    16    17  0.849991  {0,2,0}     35    1
62   1150    59    60  0.420761  {1,2,0}     31    1
11   1191   225   226  0.894903  {0,2,0}     24    1
35   1202   151   152  0.560150  {0,1,0}     21    1
85   1205    23   149  0.071362  {0,2,0}     37    0
3    1207   142   144  0.865480  {1,0,0}     31    1
38   1225   155   161  0.924704  {1,1,0}     36    1
90   1232    23   229  0.448975  {0,2,0}     31    1
0    1257   170   171  0.477185  {0,1,0}     22    1
106  1265   158   160  0.291335  {0,2,0}     34    0
53   1300   234   235  0.823885  {0,1,0}     21    1
78   1309    15    17  0.663825  {0,1,1}     38    1
23   1312   211   213  0.793815  {0,1,1}     29    1
76   1340   194   195  0.692217  {0,1,0}     30    1
28   1342   128   129  0.310718  {0,3,0}     40    1
15   1344   220   222  0.263455  {1,2,0}     37    1
6    1352   126   127  0.357891  {0,1,0}     22    0
113  1375   155   156  0.437683  {1,1,0}     21    1
9    1410   164   165  0.896298  {1,1,0}     32    1
21   1421   192   193  0.480596  {0,1,0}     26    0
117  1425   167   175  0.736425  {1,1,0}     22    1
61   1432   117   118  0.328569  {0,1,0}     29    1
16   1435   125   149  0.903763  {1,1,0}     34    1
