map EGL-G1-A
fac 5 10 {0,66,155,150,52}
hosp 2 {0,128}
n_ALS 5 1 {1:0,3:66,1:155}
n_BLS 25 1 {5:0,3:66,4:155,8:150,5:52}
n_CLS 8 0 {3:0,1:66,1:155,2:150,1:52}
      c_m  head  tail      c_af      c_d  c_tau  c_h
1      11   175   176  0.812689  {0,3,0}     30    1
22     24   176   180  0.200486  {0,2,0}     27    1
37     54    43    45  0.105173  {1,0,0}     24    1
16    111   212   243  0.272555  {1,0,0}     24    0
51    175    92    93  0.689112  {1,1,0}     28    1
116   247    24    26  0.910930  {0,1,0}     36    1
64    369    73    74  0.890519  {0,2,0}     34    0
19    384   115   122  0.181943  {0,0,1}     34    1
83    412    43    46  0.798747  {0,1,0}     26    0
6     412   167   175  0.803853  {0,2,0}     26    0
125   419   184   185  0.917110  {0,2,0}     32    1
58    422    45    64  0.680169  {0,1,0}     33    0
59    426   243   244  0.612277  {0,2,0}     20    0
94    465    50    52  0.159556  {0,2,0}     23    1
7     471   119   161  0.979006  {1,1,0}     21    1
31    479   222   223  0.434441  {0,1,0}     28    0
56    493    85    86  0.930284  {0,2,0}     22    1
27    496     9    34  0.145667  {0,1,0}     38    1
79    520   114   115  0.080525  {1,0,0}     35    1
93    523    36    39  0.076862  {0,1,0}     40    0
96    528   215   216  0.440878  {0,3,0}     27    1
120   528   232   233  0.866547  {0,3,0}     23    0
3     529    54    55  0.375660  {0,3,0}     29    1
36    546   160   163  0.928252  {0,2,0}     38    0
105   557   165   166  0.298233  {0,2,0}     25    1
90    558   226   227  0.613005  {0,1,0}     24    0
28    566   124   149  0.765698  {0,1,1}     29    0
8     567   156   162  0.484767  {1,0,0}     22    1
60    567   227   228  0.343681  {0,2,0}     23    0
69    570    18    19  0.058432  {0,0,1}     40    0
71    581    54    58  0.922569  {0,0,1}     22    1
108   595   165   166  0.630256  {0,1,0}     27    1
47    600     3    23  0.842522  {0,1,0}     32    1
106   614   189   241  0.261761  {0,1,0}     27    1
70    631    84   100  0.307881  {1,1,0}     35    1
30    632    45    46  0.603455  {0,3,0}     33    1
12    641    66    67  0.031250  {1,1,0}     39    1
24    649     5     6  0.924093  {0,3,0}     38    1
13    656   153   157  0.537506  {0,1,1}     24    1
115   658   130   131  0.042507  {1,1,0}     27    1
53    661    85    86  0.258798  {0,2,0}     37    1
118   670    47    64  0.685116  {0,2,0}     24    1
82    677    81    84  0.047882  {0,2,0}     21    0
40    679   105   107  0.009447  {1,0,0}     32    1
45    703    72    73  0.135221  {1,1,0}     25    1
17    713   120   121  0.886516  {0,1,0}     35    1
2     722    50    51  0.630490  {1,1,0}     29    1
86    728   189   190  0.552695  {0,1,0}     33    1
74    741    88    96  0.750598  {0,3,0}     24    0
80    741    98   131  0.877983  {1,0,0}     23    1
38    743   150   151  0.858640  {0,3,0}     25    0
65    754   231   236  0.231250  {0,3,0}     36    1
34    755    40    41  0.545314  {1,1,0}     33    1
48    780   156   162  0.049819  {0,1,0}     29    1
29    791   210   212  0.354438  {1,0,0}     22    1
91    792    27    30  0.470497  {1,0,0}     35    1
121   799   127   138  0.868234  {0,1,0}     37    1
113   807    39    40  0.817250  {1,1,0}     36    1
49    820    50    52  0.277859  {0,0,1}     30    1
39    830   162   167  0.583096  {0,2,0}     29    0
35    834   215   216  0.882524  {0,2,0}     25    1
61    836     7    30  0.703110  {1,0,0}     20    1
75    839    24    25  0.795720  {0,1,0}     32    0
4     847   118   119  0.928787  {0,1,0}     34    1
76    847     3     4  0.762548  {0,1,0}     23    0
43    848   132   133  0.668902  {0,2,0}     22    0
87    854   199   202  0.919132  {1,0,0}     33    1
44    856    37    74  0.011609  {1,1,0}     32    1
112   879   147   148  0.431042  {1,1,0}     22    1
114   884   162   167  0.852711  {0,2,0}     25    1
21    898     5     6  0.107452  {0,2,0}     29    1
98    907     5    23  0.191843  {0,3,0}     38    1
26    923   156   162  0.383751  {0,2,0}     35    1
101   934    28    29  0.093184  {0,2,0}     26    0
123   934   106   108  0.219299  {0,1,1}     26    0
5     946    24    25  0.844950  {0,1,0}     20    1
110   947   176   179  0.953456  {0,2,0}     22    1
25    960    88    96  0.224983  {0,2,0}     20    0
100   989    25    26  0.687760  {0,2,0}     20    1
50    989   118   119  0.292293  {0,2,0}     29    0
85    994    18    19  0.770549  {0,1,0}     39    1
81    995   156   162  0.290036  {1,1,0}     35    1
63    999   240   242  0.118881  {1,1,0}     36    1
72   1006    37    74  0.309934  {0,1,0}     22    0
127  1016    65    91  0.499069  {1,2,0}     32    1
32   1017     3     4  0.564230  {1,0,0}     28    1
62   1034   231   236  0.452056  {0,2,0}     34    1
15   1035   215   216  0.878881  {0,3,0}     38    1
10   1044    18    19  0.515621  {1,0,0}     26    1
124  1049    67    68  0.625633  {0,1,0}     36    1
77   1059   174   175  0.612602  {0,1,0}     23    0
126  1062   188   189  0.864043  {0,0,1}     23    1
14   1065   129   136  0.131732  {0,2,0}     34    0
102  1068    42    43  0.745107  {0,2,0}     27    0
68   1074   116   117  0.675309  {1,1,0}     35    1
104  1074    43    45  0.594793  {1,0,0}     21    1
42   1076   165   166  0.437952  {1,1,0}     32    1
78   1078   123   124  0.168439  {0,3,0}     24    0
95   1079    28    29  0.000380  {1,1,0}     27    1
11   1080    54    55  0.703884  {0,1,0}     29    1
107  1083    34    41  0.965920  {0,1,0}     29    0
0    1087   100   111  0.771375  {0,1,0}     28    1
117  1088   204   209  0.122446  {0,3,0}     21    0
97   1113   107   108  0.879721  {0,1,1}     35    1
9    1119   153   156  0.197763  {1,1,0}     37    1
57   1164   144   145  0.529716  {1,1,0}     20    1
119  1175   124   125  0.717394  {0,1,0}     29    0
55   1177    16    18  0.340515  {0,0,1}     35    1
73   1193   106   107  0.987261  {0,2,0}     32    1
54   1201     4    22  0.228115  {1,0,0}     20    1
20   1213   150   151  0.508101  {1,1,0}     26    1
84   1217   130   131  0.685730  {0,3,0}     20    1
103  1218   119   169  0.102413  {1,0,0}     21    1
88   1219   103   113  0.801922  {1,0,0}     20    1
99   1221   152   153  0.677717  {0,1,0}     25    0
92   1247   234   235  0.614458  {0,1,1}     35    0
41   1275   128   137  0.604621  {1,1,0}     31    1
109  1278   243   244  0.149696  {0,1,0}     22    0
67   1309   197   198  0.921383  {0,1,0}     23    0
111  1312    85    86  0.933414  {0,1,0}     35    0
18   1324    19    25  0.758445  {0,2,0}     21    1
52   1340    88    96  0.182943  {0,1,0}     20    0
23   1350   206   207  0.541206  {0,2,0}     25    1
66   1356    92    93  0.194913  {0,1,0}     33    1
89   1357    92    93  0.041330  {0,3,0}     37    0
46   1400   211   213  0.303617  {0,3,0}     39    0
122  1403    62    63  0.669817  {1,0,0}     37    1
