map EGL-G2-E
fac 5 10 {0,103,221,67,166}
hosp 2 {0,245}
n_ALS 8 1 {2:0,3:103,3:67}
n_BLS 20 1 {5:0,1:103,6:221,3:67,5:166}
n_CLS 9 0 {2:0,3:103,1:221,3:166}
      c_m  head  tail      c_af      c_d  c_tau  c_h
17      4    89    90  0.047188  {1,1,0}     26    1
91     11    81    89  0.387473  {0,2,0}     35    1
0      52   117   121  0.127468  {1,0,0}     21    1
111    59   156   157  0.838101  {1,0,0}     27    1
47     61    27    28  0.955992  {0,2,0}     36    0
13     68    34    41  0.601381  {0,1,0}     23    1
73     69    19    25  0.046433  {0,2,0}     40    0
62    111    46    47  0.488705  {0,2,0}     27    1
14    113    35    36  0.406442  {0,2,0}     36    0
36    120    30    33  0.134113  {1,1,0}     38    1
11    156   189   190  0.539828  {0,2,0}     24    1
6     192   126   127  0.206946  {0,2,0}     25    0
9     202   223   224  0.686558  {0,3,0}     34    0
96    204    91    92  0.582300  {0,0,1}     21    1
38    263   208   210  0.790212  {0,1,0}     40    1
119   309   209   216  0.555158  {0,2,0}     35    0
72    316   234   235  0.335796  {0,2,0}     22    1
57    351     7     8  0.498917  {0,1,0}     22    1
56    377   102   111  0.921135  {0,1,0}     28    1
5     377    48    57  0.408477  {1,0,0}     21    1
53    379   111   114  0.225327  {1,0,0}     40    1
24    393    63    65  0.046412  {0,2,0}     40    1
98    400    11    42  0.015840  {1,1,0}     27    0
110   418   165   166  0.334822  {1,1,0}     39    1
80    435   124   125  0.974451  {0,0,1}     38    0
88    438   133   134  0.778238  {0,1,0}     37    1
55    476   146   147  0.868185  {1,1,0}     28    1
85    494    30    33  0.618362  {0,3,0}     28    1
92    504    97    98  0.660585  {0,3,0}     35    0
10    521    68    69  0.004877  {0,2,0}     25    1
114   523    58    59  0.146505  {1,1,0}     24    1
74    527   179   180  0.556654  {1,0,0}     27    1
120   534   219   223  0.291437  {0,3,0}     34    0
45    540   157   161  0.910412  {0,0,1}     20    1
23    542    90    91  0.013345  {0,3,0}     20    1
21    547    66    93  0.580230  {0,3,0}     33    0
105   555    93    94  0.020607  {0,2,0}     32    1
108   557   161   164  0.802496  {0,3,0}     33    0
97    566    38    40  0.832589  {0,2,0}     26    0
49    569   215   221  0.619501  {1,1,0}     23    1
37    572   156   162  0.475693  {0,2,0}     28    0
8     589    37    75  0.734690  {0,0,1}     34    1
15    616   118   119  0.193694  {0,3,0}     25    1
64    637   157   161  0.480737  {0,1,0}     33    1
20    639    81    89  0.883716  {0,3,0}     20    1
35    643   210   215  0.367408  {0,3,0}     33    1
102   643   211   212  0.953313  {0,2,0}     23    1
22    655   164   169  0.189912  {0,1,0}     24    1
66    656    85   101  0.756944  {0,2,0}     26    1
71    668    96    98  0.106581  {1,1,0}     39    1
51    681    32    33  0.093503  {0,2,0}     37    1
125   695   152   155  0.324711  {1,1,0}     31    1
27    697   221   222  0.829747  {0,2,0}     23    0
82    728   240   241  0.795304  {0,1,0}     34    0
113   744    34    41  0.605601  {1,3,0}     28    1
103   746    98   127  0.486879  {0,1,0}     35    1
126   764   157   161  0.765942  {1,0,0}     34    0
33    764   117   119  0.637522  {0,1,0}     22    1
109   777   140   142  0.217088  {1,1,0}     30    1
34    784     2     3  0.032145  {0,2,0}     34    0
40    790   166   175  0.972954  {0,1,0}     35    0
19    797   174   182  0.274038  {0,3,0}     37    0
76    801   198   199  0.018698  {0,3,0}     29    1
100   805   136   146  0.767734  {1,3,0}     26    1
18    808   161   164  0.832124  {0,1,0}     32    0
32    821     5    26  0.387913  {0,1,0}     31    0
50    837     5    23  0.884461  {0,1,0}     39    0
127   842   180   181  0.232737  {0,2,0}     38    0
90    845     0     1  0.503824  {0,3,0}     29    1
101   848    61    62  0.617534  {0,3,0}     23    0
78    857   166   178  0.555670  {0,1,0}     21    1
7     863   179   184  0.642054  {0,3,0}     25    0
29    872   188   189  0.778680  {0,3,0}     32    0
52    884    38    40  0.294137  {1,0,0}     22    1
58    887    16    18  0.553514  {0,3,0}     38    0
31    889   166   167  0.727531  {0,0,1}     20    1
83    895   195   196  0.995723  {0,3,0}     24    1
60    898    70    71  0.558501  {1,0,0}     32    1
39    914   188   189  0.001036  {0,2,0}     37    0
30    925   152   155  0.994343  {0,1,1}     34    0
70    927   218   225  0.245020  {0,3,0}     38    1
59    932     4    22  0.211440  {0,3,0}     22    1
79    936   210   211  0.952670  {0,0,1}     39    1
84    937   102   111  0.278093  {1,1,0}     29    1
107   937   175   176  0.928969  {0,3,0}     24    1
46    977   200   201  0.958438  {0,0,1}     27    1
122   987   117   119  0.413930  {1,1,0}     24    1
12    991    36    38  0.409308  {0,3,0}     23    1
