map EGL-G2-D
fac 5 10 {0,71,236,93,202}
hosp 1 {0}
n_ALS 10 1 {6:0,3:71,1:93}
n_BLS 15 1 {3:0,3:71,2:236,3:93,4:202}
n_CLS 8 0 {1:0,4:71,1:236,2:93}
      c_m  head  tail      c_af      c_d  c_tau  c_h
105    14   174   183  0.712887  {0,2,0}     29    0
87     20   147   148  0.886458  {0,3,0}     36    1
42     21   168   176  0.100329  {1,3,0}     24    1
61     48    76    78  0.179293  {0,2,0}     33    0
124    77   117   121  0.072358  {0,2,0}     36    0
116   118     6     7  0.848517  {1,0,0}     29    1
94    144   216   217  0.096503  {0,2,0}     38    1
23    152     4    22  0.562902  {0,3,0}     23    0
54    154    89    90  0.467594  {1,1,0}     33    1
104   248   103   104  0.499384  {0,2,0}     30    1
43    261    50    52  0.739267  {1,0,0}     22    1
9     294    58    59  0.006961  {0,0,1}     20    0
35    300   130   131  0.833260  {1,1,0}     21    1
46    302   190   191  0.071327  {0,3,0}     31    1
44    374   128   139  0.481938  {0,1,0}     22    1
58    431   252   253  0.748282  {0,1,0}     25    0
38    433    82    83  0.397396  {0,1,0}     24    1
60    433   125   150  0.754440  {1,0,0}     21    1
71    447    53    55  0.104696  {0,1,0}     38    1
16    463    29    30  0.480589  {0,3,0}     27    1
4     470    19    20  0.210399  {0,3,0}     23    1
74    494   212   213  0.909117  {0,3,0}     21    1
77    529    48    57  0.979180  {0,2,0}     37    1
76    533     1     2  0.992280  {0,2,0}     21    0
67    537    97   115  0.543355  {1,1,0}     23    1
98    548   166   175  0.064664  {1,1,0}     25    1
59    558    59    60  0.019049  {0,2,0}     22    0
52    597   125   150  0.084236  {0,1,0}     21    1
11    598   227   233  0.282089  {0,0,1}     34    1
39    614    31    32  0.720450  {0,1,0}     38    1
92    616   132   133  0.912566  {0,2,0}     37    1
97    634   204   205  0.610584  {1,0,0}     22    1
75    637   248   249  0.759550  {0,1,0}     36    1
103   650   117   121  0.925471  {0,1,0}     31    1
121   653    16    18  0.427554  {1,0,0}     36    1
56    654   226   227  0.992767  {0,2,0}     31    1
10    658   111   114  0.708261  {0,3,0}     24    1
81    721   179   183  0.612904  {1,0,0}     29    1
101   722   102   103  0.858865  {0,3,0}     23    1
69    733    17    19  0.648631  {1,0,0}     39    1
6     734   151   152  0.915812  {0,2,0}     24    1
73    736    80    81  0.913043  {0,1,1}     21    1
93    740   101   102  0.661891  {1,1,0}     26    1
28    744   217   218  0.834724  {1,0,0}     33    0
