map EGL-G1-B
fac 5 10 {0,140,165,242,49}
hosp 2 {0,173}
n_ALS 5 1 {3:140,1:165,1:242}
n_BLS 21 1 {5:0,3:140,3:165,4:242,6:49}
n_CLS 9 0 {4:0,2:140,1:165,1:242,1:49}
      c_m  head  tail      c_af      c_d  c_tau  c_h
14     30   124   149  0.048864  {1,0,0}     27    1
23     68   241   242  0.567586  {1,1,0}     27    1
122   170    43    45  0.485651  {0,2,0}     39    1
49    174   126   127  0.199892  {0,1,0}     33    0
5     193    12    13  0.806089  {0,1,0}     24    0
105   202   169   170  0.541845  {1,0,0}     36    1
52    217   115   122  0.321438  {0,3,0}     32    1
36    227    94    95  0.412761  {0,2,0}     28    1
89    272    68    79  0.036616  {0,2,0}     32    1
83    286   207   209  0.378240  {1,1,0}     36    1
46    318   138   139  0.788627  {0,3,0}     31    1
73    384    53    54  0.714441  {0,0,1}     36    1
2     392   135   145  0.662187  {1,0,0}     38    1
8     409   163   168  0.350402  {1,1,0}     38    1
126   416   123   124  0.340873  {0,2,0}     38    1
82    446    93    94  0.287498  {0,2,0}     21    1
76    459   140   141  0.372742  {0,2,0}     21    1
98    493    27    28  0.268048  {1,1,0}     27    1
1     524    56    57  0.579291  {1,1,0}     29    1
93    533   237   240  0.539083  {0,1,0}     23    1
121   552   215   216  0.300160  {1,0,0}     38    1
45    584   102   110  0.649067  {0,3,0}     26    0
61    586    30    33  0.575409  {1,1,0}     32    1
22    604   160   163  0.693524  {0,2,0}     31    1
30    617    17    19  0.691769  {1,2,0}     28    1
64    619   197   198  0.788544  {0,1,0}     31    1
4     621   117   118  0.171703  {0,2,0}     36    0
124   623    89    90  0.152392  {1,0,0}     24    1
113   631     5    26  0.258931  {0,0,1}     30    1
77    633   140   149  0.240770  {0,3,0}     24    1
127   664   150   151  0.193840  {0,2,0}     29    1
57    673   142   144  0.841865  {0,2,0}     36    1
43    683   158   159  0.547214  {0,3,0}     37    1
125   687    16    18  0.531115  {1,1,0}     38    1
11    695   154   155  0.222856  {0,1,0}     35    0
