map EGL-G1-C
fac 5 10 {0,118,113,4,221}
hosp 2 {0,144}
n_ALS 9 1 {2:118,3:4,4:221}
n_BLS 21 1 {3:0,4:118,6:113,4:4,4:221}
n_CLS 7 0 {2:0,2:113,1:4,2:221}
      c_m  head  tail      c_af      c_d  c_tau  c_h
8       5   138   139  0.787088  {1,0,0}     37    1
114    32    10    41  0.054825  {0,1,0}     29    1
33     32    29    30  0.963880  {0,2,0}     32    1
75    104   244   249  0.526545  {0,3,0}     39    1
65    127    92    93  0.396158  {1,1,0}     32    1
1     161    89    90  0.548900  {0,1,0}     26    0
87    234    85    86  0.108406  {0,3,0}     28    1
99    244    82    83  0.263536  {0,0,1}     32    0
0     281    10    41  0.750027  {0,0,1}     27    1
62    299   232   234  0.534069  {1,1,0}     21    1
121   330   125   126  0.161272  {0,1,0}     32    1
91    347   110   113  0.938370  {0,3,0}     24    0
93    422    18    19  0.817446  {0,1,0}     37    0
59    434   149   150  0.517829  {1,1,0}     29    1
104   436    14    15  0.106067  {1,1,0}     27    1
19    444   211   213  0.932035  {0,1,0}     20    1
16    465   185   186  0.971909  {0,3,0}     35    1
51    465   106   107  0.385955  {1,0,0}     37    1
54    488   116   117  0.849564  {1,0,0}     40    0
80    518   237   240  0.982842  {0,1,0}     38    1
100   522    48    57  0.524657  {1,0,0}     25    1
9     523    29    30  0.448221  {1,1,0}     25    1
53    537    11    42  0.050456  {0,3,0}     31    1
46    546     6     7  0.858227  {0,2,0}     32    1
18    546   197   198  0.724491  {1,0,0}     40    1
67    565    16    18  0.189483  {0,2,0}     36    1
107   573   178   183  0.302957  {1,1,0}     32    1
15    577   232   233  0.877448  {0,0,1}     36    1
69    589    78    79  0.465691  {1,0,0}     27    1
110   591    68    79  0.302073  {1,0,0}     21    1
119   594    85    86  0.810679  {0,2,0}     20    0
35    606    46    47  0.941666  {0,3,0}     31    0
32    615     2     3  0.961683  {1,1,0}     31    1
60    622   169   173  0.226537  {0,1,1}     28    1
50    622   212   218  0.263553  {0,0,1}     38    0
74    624    49    50  0.042581  {1,0,0}     21    1
76    632   232   234  0.758999  {1,3,0}     24    0
108   648    96   111  0.179787  {0,2,0}     29    1
42    649     0     1  0.310718  {0,1,0}     35    0
38    651    17    22  0.547392  {1,1,0}     36    0
36    658   125   126  0.324350  {0,2,0}     39    0
126   661    55    56  0.933634  {1,0,0}     36    1
85    665     7    30  0.833224  {0,1,0}     22    1
98    680   119   161  0.471321  {0,2,0}     27    0
120   710   178   183  0.324045  {0,1,1}     31    0
63    720    51    52  0.135126  {0,1,0}     40    1
52    721   136   137  0.891565  {0,2,0}     39    1
13    724    59    71  0.098451  {0,0,1}     33    1
48    743    28    29  0.229808  {1,2,0}     21    1
28    748    98   130  0.428307  {0,1,0}     22    0
102   770   141   142  0.473111  {0,1,0}     24    0
125   773    50    53  0.697526  {0,2,0}     25    0
77    774   144   145  0.471888  {0,1,0}     35    0
30    801   202   204  0.408823  {1,1,0}     32    1
23    805    18    19  0.500465  {0,1,0}     21    1
101   807   153   157  0.625278  {0,1,1}     31    1
96    826   238   240  0.299299  {0,1,0}     20    1
106   835   240   241  0.405269  {0,2,0}     27    0
21    837   169   173  0.531147  {1,0,0}     20    1
66    839   240   241  0.076085  {1,1,0}     35    1
90    854    86    87  0.190786  {0,2,0}     23    0
109   859   147   148  0.539305  {0,2,0}     26    1
79    861   188   189  0.364932  {0,2,0}     26    0
6     869     2    14  0.183861  {0,0,1}     30    1
94    872    83    84  0.715789  {0,1,0}     38    0
55    874    97   126  0.953004  {0,2,0}     39    1
22    874   101   102  0.239384  {0,2,0}     26    1
105   882   210   212  0.633223  {1,1,0}     40    1
26    885    71    72  0.002582  {0,1,1}     28    0
44    886   225   226  0.019483  {1,0,0}     37    1
81    890    96   111  0.889715  {1,1,0}     37    1
58    890   117   118  0.455692  {1,1,0}     35    1
61    908   219   221  0.167751  {0,1,1}     24    1
84    912   179   180  0.378661  {0,1,0}     34    0
