map EGL-G1-C
fac 5 10 {0,245,238,176,211}
hosp 1 {0}
n_ALS 6 1 {1:245,2:238,3:211}
n_BLS 17 1 {4:0,3:245,2:238,4:176,4:211}
n_CLS 7 0 {1:0,4:238,1:176,1:211}
      c_m  head  tail      c_af      c_d  c_tau  c_h
125     4    24    26  0.264253  {1,0,0}     27    0
2      16   139   141  0.325164  {0,1,0}     35    0
66     19   103   113  0.881766  {0,3,0}     38    1
117    25   157   158  0.523871  {0,3,0}     33    1
53     42    68    79  0.049364  {1,1,0}     32    1
54     60    50    53  0.968998  {0,3,0}     27    1
102   109    40    41  0.776719  {1,0,0}     27    1
59    142   192   193  0.390711  {0,1,0}     37    0
110   185   193   194  0.788206  {0,1,0}     21    0
48    217   216   217  0.888321  {1,0,0}     25    1
81    218    66    67  0.642540  {1,0,0}     23    0
57    270    14    15  0.056999  {0,2,0}     23    1
61    272     8    33  0.112334  {0,1,0}     36    0
101   287   223   224  0.970581  {0,1,1}     27    0
23    335    47    48  0.479265  {0,1,0}     20    1
106   348    50    51  0.287589  {0,3,0}     20    1
76    349   135   136  0.281748  {1,0,0}     34    1
98    449   237   238  0.661773  {0,3,0}     22    1
28    464   178   179  0.062806  {0,2,0}     28    1
43    470   137   138  0.615582  {0,1,0}     31    1
73    475    16    18  0.117256  {0,2,0}     23    0
99    485   103   104  0.868076  {0,2,0}     39    0
82    486   196   197  0.086447  {0,1,1}     30    1
19    507   202   204  0.951847  {0,1,0}     30    1
1     508   165   166  0.691607  {0,1,0}     20    1
72    539   103   104  0.557917  {0,2,0}     34    0
77    548    38    40  0.198977  {1,0,0}     25    1
12    552   228   230  0.922251  {1,0,0}     40    1
30    555   222   223  0.595671  {1,0,0}     27    1
123   564   119   169  0.979962  {0,3,0}     21    1
34    567     2     3  0.825991  {0,2,0}     40    0
31    569   213   214  0.811722  {1,1,0}     39    1
63    574   130   131  0.008910  {0,1,0}     37    1
55    576    23   229  0.485172  {0,2,0}     36    1
47    604   124   149  0.244053  {0,1,0}     24    1
9     605   139   140  0.348697  {1,1,0}     38    1
26    615    43    44  0.426357  {1,1,0}     27    1
16    620   231   236  0.385329  {0,3,0}     28    1
60    628   184   185  0.214804  {0,1,0}     26    0
4     635   144   145  0.026812  {1,1,0}     35    1
78    637   117   118  0.901995  {1,1,0}     38    1
21    644    80    88  0.292161  {0,1,0}     32    1
105   651    50    52  0.972843  {0,0,1}     30    1
38    655   175   176  0.846943  {1,1,0}     21    1
115   660    90    95  0.862018  {1,1,0}     38    1
113   680    16    17  0.447739  {0,1,0}     36    1
25    682    30    33  0.539316  {0,1,0}     33    0
68    714    68    69  0.558549  {1,1,0}     35    1
64    715    56    57  0.080524  {0,1,0}     35    1
46    729    57    61  0.764578  {0,1,0}     21    1
42    729   157   159  0.645540  {1,1,0}     25    1
22    734   213   216  0.488124  {0,2,0}     26    1
70    735   191   194  0.950499  {0,1,0}     31    0
6     744    13    14  0.030249  {0,0,1}     40    1
8     757   204   205  0.207614  {0,3,0}     40    1
122   780   163   168  0.222957  {0,2,0}     29    0
126   806   103   113  0.584408  {0,3,0}     25    1
120   827     0     1  0.161269  {1,1,0}     24    1
20    828    75    77  0.998379  {0,2,0}     25    1
119   862   142   144  0.922888  {1,1,0}     32    1
80    862    35    36  0.880521  {0,3,0}     22    1
97    877   112   113  0.275086  {1,1,0}     40    0
10    877    77    78  0.916155  {0,2,0}     37    1
62    877   246   248  0.027154  {0,0,1}     25    0
108   882    29    30  0.902102  {1,0,0}     21    1
7     892   202   203  0.099706  {0,3,0}     39    0
84    902     4    22  0.054072  {0,3,0}     20    1
87    923   191   194  0.123861  {0,3,0}     24    1
65    940   194   195  0.924054  {0,0,1}     37    1
17    944   120   121  0.453739  {1,0,0}     23    1
39    948    45    64  0.378117  {0,2,0}     22    0
41    951    46    47  0.811686  {1,0,0}     39    1
3     951   229   230  0.260920  {1,3,0}     23    1
27    963   195   197  0.108308  {1,1,0}     32    1
15    970    37    74  0.098744  {1,1,0}     33    1
11    974   115   116  0.123505  {0,3,0}     33    1
37    984   219   220  0.305419  {1,1,0}     30    1
111   990   129   130  0.618226  {0,2,0}     25    0
92    991    71    72  0.844331  {1,1,0}     29    1
83   1007   228   230  0.634007  {0,2,0}     26    1
24   1011    15    17  0.361072  {0,2,0}     23    1
79   1014   135   145  0.982489  {1,1,0}     36    1
51   1017    69    70  0.711493  {0,1,0}     37    0
116  1022   207   209  0.714893  {0,1,0}     21    1
35   1032   100   101  0.258319  {1,1,0}     25    1
103  1042    55    56  0.497837  {0,3,0}     31    0
104  1043    32    34  0.557873  {0,1,0}     26    0
89   1051   156   160  0.086588  {1,1,0}     26    1
29   1051   237   238  0.831609  {1,0,0}     22    1
107  1061    75    77  0.554450  {0,1,0}     28    0
112  1071   222   223  0.867486  {0,1,0}     31    1
93   1073   179   180  0.785989  {1,1,0}     38    1
124  1083    50    53  0.378883  {0,1,0}     39    1
118  1087     1    12  0.289865  {0,1,0}     36    1
96   1090   185   192  0.250242  {0,3,0}     24    1
32   1093   114   115  0.508320  {0,1,0}     22    1
94   1116   154   155  0.038388  {0,1,0}     32    0
91   1121    78    79  0.009477  {0,1,0}     21    0
52   1123   231   236  0.300502  {0,1,0}     38    1
85   1131    91    92  0.870370  {0,1,0}     37    1
121  1135   178   182  0.308181  {1,0,0}     23    1
36   1136   178   183  0.559135  {1,2,0}     34    1
86   1138    71    72  0.551964  {1,0,0}     35    1
5    1140     3    23  0.860212  {0,1,0}     23    0
127  1147   125   126  0.165244  {0,1,0}     36    1
109  1149    26    28  0.842937  {1,0,0}     25    1
67   1150   126   127  0.558398  {0,1,0}     21    1
71   1166   196   197  0.775463  {0,3,0}     23    1
45   1180   196   197  0.954347  {0,1,1}     20    0
49   1182   223   224  0.863545  {0,2,0}     28    0
74   1184    53    54  0.778628  {0,3,0}     37    1
18   1190    96   111  0.674657  {0,1,0}     20    1
40   1194    53    54  0.561222  {1,0,0}     26    1
13   1197    96    97  0.386363  {0,1,0}     38    1
95   1202   103   104  0.292320  {0,2,0}     26    1
33   1209   163   168  0.718812  {1,0,0}     40    1
88   1210   162   166  0.042148  {0,2,0}     35    1
90   1240    16    17  0.143170  {0,3,0}     38    1
114  1282   189   241  0.543174  {0,2,0}     35    0
69   1288    88    96  0.210927  {0,3,0}     40    1
0    1299    59    60  0.231719  {0,3,0}     23    0
100  1305   146   147  0.328656  {0,2,0}     38    1
75   1307   179   180  0.141845  {0,3,0}     35    1
14   1312    35    36  0.281495  {0,1,0}     24    1
58   1317   146   147  0.052375  {0,2,0}     24    0
56   1404     4    22  0.829789  {0,3,0}     31    1
44   1410   155   161  0.769114  {0,2,0}     29    1
50   1429   100   101  0.196666  {0,1,0}     35    1
