map EGL-G2-A
fac 5 10 {0,19,105,203,48}
hosp 1 {0}
n_ALS 5 1 {2:0,1:203,2:48}
n_BLS 15 1 {2:0,5:19,4:105,2:203,2:48}
n_CLS 7 0 {3:0,1:19,1:203,2:48}
      c_m  head  tail      c_af      c_d  c_tau  c_h
1      80     3    15  0.508963  {1,3,0}     31    0
122    89     4    22  0.978062  {0,1,0}     32    1
62    173    23   237  0.443896  {0,2,0}     35    1
40    198    91    92  0.831943  {0,0,1}     36    1
51    218   244   245  0.750662  {0,3,0}     27    1
119   245   220   221  0.182300  {0,1,0}     26    0
79    248   141   142  0.861965  {0,1,1}     28    0
36    267   121   122  0.015183  {0,2,0}     30    1
124   275    21    35  0.921838  {0,1,1}     28    1
19    299   135   136  0.490460  {1,0,0}     26    1
13    352    90    91  0.318641  {0,3,0}     22    1
100   407   113   114  0.915192  {0,2,0}     36    0
63    427    69    80  0.646845  {0,2,0}     30    1
117   436   202   209  0.631850  {0,1,0}     28    1
114   446   185   187  0.339032  {0,0,1}     32    1
0     461   105   106  0.350473  {1,0,0}     36    1
10    470    26    28  0.866148  {0,2,0}     25    0
111   479   126   150  0.647159  {0,2,0}     22    1
66    488   101   102  0.146499  {1,1,0}     34    1
84    509   195   248  0.378912  {0,2,0}     21    1
43    511   136   137  0.272960  {0,2,0}     25    1
107   527    66    67  0.138440  {1,0,0}     35    1
5     542    59    72  0.331459  {1,1,0}     25    1
44    580    23   171  0.110043  {0,0,1}     38    0
57    581    36    37  0.084617  {0,3,0}     29    1
21    594    45    46  0.199196  {0,2,0}     36    1
77    596   196   198  0.556555  {0,2,0}     34    1
3     622   242   243  0.306866  {1,0,0}     39    1
121   628   177   180  0.348989  {1,0,0}     24    1
38    633    23   237  0.178343  {0,1,1}     29    1
56    648   177   181  0.513609  {0,1,0}     34    1
53    649   165   166  0.111930  {0,1,0}     28    1
7     660    15    17  0.134123  {0,1,0}     21    0
80    661   252   253  0.156171  {0,1,0}     29    1
75    662     5     6  0.521807  {0,1,1}     36    1
113   669   120   170  0.723526  {0,2,0}     33    0
101   671   178   179  0.592761  {0,3,0}     25    1
103   675    86    87  0.423843  {0,1,1}     37    0
11    676    94    95  0.593580  {1,1,0}     32    1
24    687    63    65  0.877684  {1,0,0}     33    0
30    695    81    82  0.008334  {0,1,0}     31    1
