map EGL-G1-C
fac 5 10 {0,124,134,197,242}
hosp 3 {0,13,23}
n_ALS 8 1 {1:0,3:124,2:134,2:242}
n_BLS 24 1 {5:0,3:124,5:134,7:197,4:242}
n_CLS 9 0 {4:0,1:124,1:134,2:197,1:242}
      c_m  head  tail      c_af      c_d  c_tau  c_h
94     28   206   207  0.196165  {0,1,1}     30    0
65     46    29    30  0.956208  {0,3,0}     36    1
58     72   135   145  0.148196  {0,2,0}     24    0
11    110    24    26  0.753939  {0,2,0}     37    1
19    125    29    31  0.652466  {1,0,0}     33    1
69    135    46    47  0.283561  {0,1,0}     27    1
12    136   241   242  0.759593  {1,0,0}     23    1
21    140     4    22  0.812684  {0,3,0}     40    1
64    140   234   235  0.232241  {0,2,0}     30    1
122   172    53    55  0.304790  {1,0,0}     40    1
16    205   237   240  0.236444  {0,1,0}     20    1
30    223   246   248  0.509131  {0,1,1}     38    0
46    227   103   104  0.234998  {0,1,0}     37    1
96    230   176   179  0.109713  {0,3,0}     36    1
81    272   135   136  0.485745  {0,1,0}     29    0
108   285   121   123  0.103476  {0,3,0}     39    1
43    307   184   185  0.378264  {0,1,0}     25    1
78    322    57    61  0.637565  {0,2,0}     31    1
123   333     7    30  0.443350  {0,2,0}     32    0
6     337   156   162  0.132021  {1,1,0}     31    1
112   337     9    34  0.503345  {0,2,0}     36    1
0     340     3     4  0.155559  {0,2,0}     30    0
67    356    12    13  0.593795  {0,2,0}     28    1
121   379   124   151  0.794630  {1,1,0}     20    1
99    413    73    74  0.102600  {1,0,0}     24    1
106   424   162   167  0.013615  {1,0,0}     36    1
8     495   151   154  0.018479  {0,1,0}     30    1
90    510   225   227  0.110008  {0,0,1}     25    1
72    518    29    31  0.048681  {0,2,0}     20    1
7     526   174   175  0.416098  {0,1,0}     25    0
25    534    13    14  0.433030  {0,2,0}     25    0
126   538    35    36  0.925547  {1,1,0}     28    1
5     544    80    88  0.513288  {0,1,0}     38    1
42    549    85    86  0.564199  {1,0,0}     31    1
1     553   220   222  0.121073  {0,2,0}     26    1
57    577     5    26  0.231766  {1,0,0}     38    1
102   584   178   182  0.537860  {0,1,0}     40    0
39    602   140   141  0.374488  {0,1,1}     25    0
86    619   216   217  0.486061  {0,1,0}     28    0
104   623    28    29  0.087085  {0,3,0}     36    0
66    628    25    26  0.140191  {0,1,0}     22    1
74    629    88    96  0.770444  {0,1,0}     34    0
54    629   165   166  0.971317  {0,1,1}     23    0
48    638    48    57  0.317353  {0,2,0}     24    0
77    642    50    51  0.814545  {0,2,0}     20    0
49    644   222   223  0.034796  {0,1,1}     25    1
92    651   151   152  0.704524  {0,2,0}     39    0
80    660     5     6  0.752819  {0,1,0}     23    1
27    666   228   229  0.128984  {0,2,0}     32    1
59    667     5    23  0.572084  {0,1,0}     23    1
79    673   189   241  0.155377  {0,1,1}     30    0
68    674   139   141  0.075321  {0,1,0}     20    1
34    691    30    33  0.941281  {0,1,0}     25    1
109   695   128   137  0.913214  {0,2,0}     22    0
71    713    39    72  0.001436  {0,2,0}     24    0
107   714   210   211  0.189386  {0,1,0}     29    1
40    719   232   234  0.062708  {0,2,0}     26    1
75    729   108   109  0.744028  {0,1,0}     40    0
120   766   125   149  0.844485  {1,1,0}     32    1
125   777     8     9  0.210434  {0,0,1}     24    1
33    779   102   103  0.068040  {1,0,0}     36    1
103   790   158   159  0.644151  {1,0,0}     23    1
2     793   105   117  0.325478  {1,1,0}     39    1
50    803    85    86  0.880251  {0,3,0}     26    0
95    806   244   245  0.867405  {0,1,0}     20    1
100   824    23   170  0.238397  {1,1,0}     30    1
20    825   185   192  0.809066  {0,1,0}     32    0
127   854    18    19  0.291392  {0,2,0}     29    1
91    855   204   209  0.170126  {0,2,0}     32    1
83    879    13    14  0.261274  {1,1,0}     28    1
29    880    50    53  0.506259  {1,3,0}     37    1
53    889   226   231  0.405312  {1,0,0}     35    1
115   891   150   151  0.649202  {0,2,0}     23    1
51    897   185   192  0.788552  {0,2,0}     31    0
93    907    90    95  0.160820  {0,1,0}     29    1
84    907    17    22  0.665525  {0,1,0}     40    0
63    920   176   179  0.206688  {0,2,0}     24    1
114   928   122   123  0.942557  {0,1,0}     26    1
73    933    67    68  0.384057  {1,1,0}     22    1
36    934   206   207  0.747092  {0,3,0}     23    0
23    939   165   174  0.256283  {0,2,0}     36    0
38    949    56    57  0.305185  {0,3,0}     32    1
117   953    36    38  0.658933  {1,1,0}     33    1
26    961   163   164  0.812290  {1,1,0}     32    1
101   964    81    82  0.635609  {0,1,0}     35    0
13    975   167   175  0.059594  {0,2,0}     27    1
118   977   135   145  0.209688  {1,1,0}     40    1
31    984   142   144  0.613794  {1,0,0}     23    1
88    991    26    28  0.615144  {1,0,0}     40    1
113   993   104   105  0.109188  {0,2,0}     40    1
97   1010   212   218  0.501270  {0,2,0}     35    1
55   1014   138   139  0.988432  {0,0,1}     34    0
24   1015   163   164  0.623006  {1,0,0}     21    1
22   1018    23   149  0.424712  {1,3,0}     37    1
45   1023    11    42  0.787009  {0,3,0}     26    0
62   1031    36    39  0.338386  {1,1,0}     21    1
44   1041   124   149  0.909725  {1,1,0}     25    1
60   1046    94    95  0.303297  {1,0,0}     34    1
111  1051    91    92  0.949093  {0,1,1}     38    1
15   1055     9    10  0.895812  {0,1,0}     40    1
3    1056   140   141  0.998129  {0,3,0}     30    1
17   1057    48    57  0.804867  {1,1,0}     23    1
82   1060    20    21  0.894896  {0,1,1}     21    0
98   1062   139   141  0.354206  {1,0,0}     28    1
18   1070   210   212  0.762774  {0,1,0}     24    0
32   1079    40    41  0.670854  {0,3,0}     27    1
41   1085   146   147  0.288518  {0,3,0}     25    1
89   1102    80    88  0.785433  {0,1,1}     23    0
105  1120   166   167  0.297234  {0,1,0}     27    1
119  1125    91    92  0.952928  {1,1,0}     38    1
4    1128    83    84  0.426544  {0,2,0}     29    0
76   1130   211   212  0.290550  {0,1,0}     23    1
85   1144   216   217  0.138094  {1,0,0}     35    1
56   1172     2     3  0.176631  {1,0,0}     39    1
52   1184   219   221  0.994331  {1,1,0}     27    1
9    1200   105   107  0.486915  {1,0,0}     26    1
10   1211   232   234  0.189465  {0,3,0}     25    1
116  1226    63    64  0.464858  {1,0,0}     22    1
70   1227   171   172  0.375002  {1,1,0}     21    1
124  1238   102   110  0.974638  {1,0,0}     36    1
61   1287     6    27  0.660817  {0,2,0}     22    0
87   1301   179   180  0.542497  {0,2,0}     27    1
35   1351   108   109  0.108062  {0,1,1}     21    1
28   1354     4    22  0.552062  {0,1,0}     33    1
14   1365   150   151  0.124368  {0,0,1}     20    1
47   1370   204   205  0.412366  {1,0,0}     27    1
110  1391   160   164  0.562345  {0,2,0}     30    1
37   1403   144   147  0.415971  {0,3,0}     33    1
