map EGL-G2-E
fac 5 10 {0,223,230,183,203}
hosp 2 {0,141}
n_ALS 6 1 {3:230,2:183,1:203}
n_BLS 19 1 {5:0,2:223,3:230,5:183,4:203}
n_CLS 6 0 {1:0,2:230,1:183,2:203}
      c_m  head  tail      c_af      c_d  c_tau  c_h
90      0   228   229  0.026987  {1,1,0}     38    1
92      2     9    34  0.463627  {1,0,0}     31    1
115    26   179   184  0.805858  {0,2,0}     35    1
42     86   249   250  0.925703  {0,3,0}     25    0
58     89    98   127  0.773398  {0,1,0}     40    1
33     93   174   182  0.291585  {0,2,0}     40    1
46    101    69    80  0.859860  {0,2,0}     36    0
111   111   154   158  0.672998  {0,2,0}     36    0
87    126    39    52  0.008765  {0,1,0}     30    1
107   136   239   243  0.293701  {0,0,1}     32    0
51    152     3    23  0.140930  {0,2,0}     22    1
48    161   174   182  0.662899  {0,0,1}     24    1
105   213   125   126  0.483020  {1,1,0}     38    1
112   217   234   239  0.392375  {1,1,0}     21    1
10    220    98   127  0.529397  {0,0,1}     39    0
59    289    36    39  0.568052  {0,2,0}     30    1
118   339    38    40  0.869177  {0,1,0}     33    1
57    376    91    92  0.061007  {1,0,0}     35    1
71    410   151   152  0.339462  {0,1,1}     22    0
62    423   239   244  0.643576  {1,0,0}     36    1
86    439   120   162  0.131253  {0,3,0}     22    0
108   456   195   196  0.097752  {1,0,0}     21    1
116   458   218   225  0.792312  {0,3,0}     30    0
7     470   213   214  0.226927  {0,0,1}     38    1
26    481   208   210  0.181384  {1,0,0}     20    1
60    486    40    41  0.557378  {0,2,0}     22    0
102   514     0     1  0.410152  {0,1,0}     24    1
19    515   233   254  0.194078  {0,0,1}     27    1
49    517    71    72  0.470492  {1,0,0}     38    1
40    549   143   145  0.349572  {0,2,0}     40    1
3     554   236   238  0.851669  {0,2,0}     30    0
27    556     3     4  0.200009  {0,1,1}     33    1
113   565    51    52  0.561893  {0,0,1}     34    0
73    588   193   246  0.533806  {0,3,0}     20    1
28    593   136   146  0.412168  {0,1,0}     40    1
125   600    97   115  0.404424  {0,0,1}     36    1
100   610   251   252  0.096068  {1,1,0}     21    1
18    617   245   247  0.550903  {0,1,0}     24    0
22    627   101   102  0.436895  {0,1,0}     36    0
66    630   146   147  0.288290  {0,2,0}     23    0
109   642    73    74  0.578897  {0,1,0}     25    1
1     648   178   179  0.117334  {1,0,0}     36    1
85    654   178   179  0.355425  {0,1,0}     34    0
55    655    84    86  0.588156  {0,2,0}     30    0
80    661    76    78  0.904754  {0,3,0}     25    1
65    688    23   171  0.901085  {0,1,0}     40    1
114   699    50    51  0.922499  {0,1,0}     29    0
12    701   234   239  0.253834  {0,3,0}     36    0
37    728   130   131  0.472665  {1,0,0}     38    1
56    729   200   201  0.613467  {0,0,1}     22    1
79    740   152   155  0.530410  {1,0,0}     21    1
8     742   192   193  0.415216  {0,1,0}     20    1
68    749   116   117  0.604151  {1,0,0}     22    1
47    751   140   141  0.588048  {0,1,1}     31    1
16    757   186   188  0.512904  {1,3,0}     27    1
103   759   186   198  0.880800  {0,2,0}     34    1
17    760   151   152  0.948206  {0,0,1}     24    1
121   761    43    46  0.843060  {0,1,1}     28    1
99    762   212   213  0.481394  {1,1,0}     21    1
67    775   125   126  0.365868  {0,0,1}     27    0
25    789    18    20  0.080549  {1,0,0}     24    1
106   790   219   220  0.828535  {1,0,0}     28    1
9     792   162   163  0.458472  {0,1,0}     38    0
41    793   122   123  0.794348  {0,2,0}     29    0
61    801   221   222  0.017889  {0,2,0}     34    0
94    804    78    79  0.585834  {0,3,0}     24    1
122   805   148   149  0.745022  {0,2,0}     35    1
120   812   212   213  0.576205  {0,2,0}     38    1
0     817   111   114  0.523111  {1,0,0}     32    1
21    821    78    82  0.177616  {0,2,0}     30    1
29    826   251   254  0.839110  {1,0,0}     34    1
11    828   179   184  0.382220  {0,1,0}     35    0
43    833   240   242  0.268778  {0,1,0}     25    1
5     857   163   168  0.150491  {1,0,0}     31    0
93    857     6    27  0.755201  {0,2,0}     30    0
97    864   116   123  0.270345  {0,1,0}     25    1
30    866   178   179  0.585569  {0,2,0}     30    0
78    874    97   112  0.945005  {0,2,0}     21    0
75    876   217   218  0.501602  {0,1,0}     32    1
69    883   125   126  0.653133  {0,1,0}     35    1
84    893    72    73  0.236285  {1,0,0}     30    1
72    899    29    30  0.152273  {1,0,0}     38    1
4     903   249   252  0.297178  {1,1,0}     24    1
82    914   113   114  0.043039  {0,1,0}     34    0
63    926   167   168  0.009018  {1,0,0}     33    1
52    931     0    21  0.361823  {1,1,0}     21    1
32    942   105   106  0.417375  {0,2,0}     37    1
117   945    81    89  0.949463  {1,1,0}     35    1
20    949     5     6  0.337858  {1,0,0}     21    1
38    951   202   203  0.538126  {0,1,0}     35    1
89    952   201   202  0.602134  {0,2,0}     31    0
123   952   205   207  0.646892  {1,1,0}     34    1
95    991   190   191  0.439845  {0,2,0}     36    1
126   993   174   183  0.600214  {0,3,0}     26    0
76    993   237   238  0.406268  {1,3,0}     21    1
98   1016   146   147  0.347090  {0,2,0}     31    0
96   1018     5     6  0.974453  {1,0,0}     25    1
23   1041    76    78  0.862895  {0,2,0}     34    1
54   1057     1    12  0.409605  {0,1,1}     30    0
2    1058   179   180  0.612670  {1,1,0}     34    1
64   1059    80    81  0.244317  {0,3,0}     25    0
35   1065   190   192  0.650246  {0,2,0}     39    1
124  1082   152   153  0.646465  {0,1,1}     34    1
104  1086    66    93  0.527800  {0,3,0}     21    0
45   1087    78    79  0.692070  {0,1,1}     22    1
127  1093   140   141  0.327887  {1,0,0}     39    1
36   1101   192   194  0.234660  {0,1,0}     34    1
88   1118   216   217  0.240507  {0,1,1}     40    1
110  1122    97    98  0.494289  {1,0,0}     28    1
14   1125   243   245  0.060826  {0,2,0}     32    1
101  1133    84    86  0.964034  {0,1,0}     33    1
34   1137    29    31  0.123566  {0,3,0}     40    0
44   1180   233   234  0.137941  {0,2,0}     34    0
77   1185   112   113  0.395551  {0,1,0}     26    1
31   1190   112   113  0.578308  {0,1,1}     32    1
39   1206   177   181  0.494770  {0,1,0}     25    0
15   1222    43    46  0.872105  {0,2,0}     25    0
6    1227    27    28  0.409190  {1,1,0}     33    1
81   1228   139   140  0.922853  {0,2,0}     36    1
50   1235   202   203  0.062720  {0,3,0}     22    1
53   1239    23    87  0.386072  {0,1,1}     21    0
24   1241   217   219  0.122829  {0,3,0}     40    0
13   1255   105   107  0.238342  {0,1,0}     21    1
119  1260   119   120  0.589298  {0,1,1}     20    0
91   1296    29    31  0.707029  {1,0,0}     38    1
74   1313   249   252  0.832633  {0,1,1}     40    0
83   1321   189   190  0.771669  {1,0,0}     37    1
70   1323   198   199  0.735975  {0,3,0}     28    1
