map EGL-G1-E
fac 5 10 {0,60,230,125,107}
hosp 2 {0,38}
n_ALS 9 1 {3:0,2:230,4:107}
n_BLS 23 1 {1:0,5:60,5:230,6:125,6:107}
n_CLS 7 0 {4:0,2:60,1:125}
      c_m  head  tail      c_af      c_d  c_tau  c_h
118    10   162   167  0.307474  {0,1,0}     33    0
18     72    19    20  0.728829  {0,0,1}     40    1
31     85   188   189  0.234554  {0,1,0}     33    0
85     98    20    21  0.960939  {0,1,0}     31    0
19    105    55    56  0.697502  {0,3,0}     30    1
102   147   154   155  0.584270  {1,0,0}     24    1
46    150   204   205  0.897206  {0,2,0}     35    1
104   195   102   110  0.438718  {0,2,0}     36    1
120   230    39    52  0.271905  {0,1,0}     36    1
109   284    23    86  0.336496  {0,3,0}     31    1
5     299     7    30  0.095892  {0,0,1}     33    0
3     302   173   181  0.022885  {0,1,0}     31    1
35    337    68    79  0.461005  {0,1,0}     22    1
53    367   198   199  0.048831  {1,0,0}     31    1
61    403   237   238  0.000893  {0,1,0}     31    1
100   422   140   149  0.726199  {0,2,0}     35    0
123   444   120   121  0.623094  {0,2,0}     21    1
36    446   226   231  0.669909  {0,1,1}     25    0
10    457     5     6  0.888067  {0,2,0}     29    0
81    496    25    26  0.138446  {0,1,0}     36    1
11    510   162   166  0.937562  {0,2,0}     40    1
8     515   204   209  0.390513  {1,0,0}     25    0
95    524    98    99  0.624104  {0,2,0}     26    1
55    563   144   145  0.800934  {0,2,0}     35    1
113   569   184   185  0.625253  {0,1,1}     40    0
60    578    72    73  0.397610  {0,1,0}     23    0
51    583    59    71  0.701156  {0,2,0}     22    1
79    588   232   233  0.604378  {1,0,0}     31    1
90    590   222   225  0.599595  {0,1,0}     27    1
63    590   171   172  0.282269  {1,1,0}     28    1
98    601     6    27  0.756959  {0,1,1}     30    0
39    615   155   156  0.048645  {0,1,0}     36    0
40    624   234   236  0.354279  {1,3,0}     25    1
114   629    50    52  0.661465  {0,0,1}     23    1
30    633    26    28  0.835914  {1,0,0}     28    1
88    641   131   132  0.614210  {0,2,0}     26    1
70    647    94    98  0.075475  {1,0,0}     25    1
87    679    94    95  0.519524  {0,1,1}     30    0
122   685   161   162  0.671101  {1,1,0}     21    1
1     687   178   179  0.908429  {0,3,0}     23    1
47    688    31    38  0.324396  {0,3,0}     22    0
94    688    67    68  0.131311  {1,0,0}     24    0
49    694   134   135  0.693646  {1,1,0}     30    1
