map EGL-G1-A
fac 5 10 {0,38,84,236,248}
hosp 2 {0,178}
n_ALS 8 1 {3:38,2:84,3:236}
n_BLS 16 1 {1:0,3:38,2:84,4:236,6:248}
n_CLS 6 0 {1:38,2:84,3:248}
      c_m  head  tail      c_af      c_d  c_tau  c_h
33      5    88    96  0.359382  {0,1,0}     26    0
82      7   190   191  0.222137  {1,1,0}     38    0
91     37    80    88  0.507554  {0,1,0}     22    1
62     39   216   217  0.880257  {1,2,0}     40    1
70     42   144   145  0.438234  {1,1,0}     28    1
80     51    94    98  0.255577  {1,1,0}     37    1
16     71   134   135  0.846895  {0,3,0}     37    0
43    108    30    33  0.144841  {0,1,0}     35    1
86    110    16    17  0.301454  {1,1,0}     35    1
24    135    69    78  0.696150  {0,1,1}     36    0
47    156   147   148  0.889573  {0,2,0}     31    0
72    251    70    72  0.973788  {0,2,0}     31    1
44    274   135   136  0.708687  {1,0,0}     24    1
102   308   126   127  0.796729  {0,0,1}     31    1
55    388    18    20  0.129950  {1,0,0}     25    1
32    419    31    32  0.533245  {1,0,0}     24    1
10    445    50    52  0.489670  {1,1,0}     28    1
75    450   119   161  0.740318  {1,0,0}     26    1
45    461    22    24  0.029391  {1,0,0}     24    1
99    485    54    58  0.238095  {0,2,0}     33    1
109   498   207   208  0.059329  {0,3,0}     26    1
118   502   197   198  0.840360  {0,1,1}     26    0
84    509   119   161  0.108903  {0,1,0}     39    0
77    512   176   180  0.804622  {0,2,0}     30    1
22    517   220   222  0.669647  {1,0,0}     27    1
107   517    47    48  0.893974  {0,3,0}     22    0
98    520    60    67  0.605221  {0,1,1}     21    1
26    522    48    57  0.285395  {0,1,1}     27    0
30    531    32    34  0.987299  {1,0,0}     28    1
95    533   245   246  0.887173  {0,1,1}     37    1
12    537    46    47  0.957041  {0,2,0}     29    0
87    552    84   100  0.024353  {0,2,0}     23    0
127   553   124   149  0.302135  {1,0,0}     28    1
20    575   244   245  0.387423  {0,2,0}     20    1
113   576    38    40  0.084123  {1,1,0}     32    1
81    578   127   128  0.366446  {1,0,0}     25    1
3     619   165   177  0.487598  {1,1,0}     23    1
79    622   153   156  0.968529  {0,2,0}     35    1
14    632    10    41  0.155671  {0,3,0}     35    0
35    639   106   108  0.843741  {0,2,0}     25    1
5     640   107   108  0.976532  {0,1,0}     26    0
48    675   228   230  0.110507  {0,3,0}     22    1
119   676   104   105  0.167288  {0,0,1}     33    1
108   676    90    95  0.096547  {0,1,0}     34    1
111   680    53    55  0.159239  {1,1,0}     37    1
73    685   193   194  0.731695  {0,2,0}     34    1
106   689   115   116  0.612985  {0,3,0}     22    1
42    696    53    54  0.875332  {0,2,0}     22    1
123   700    80    88  0.182948  {0,1,0}     26    1
122   701   191   194  0.959019  {0,1,0}     24    1
126   702   124   125  0.829902  {0,2,0}     35    0
