map EGL-G1-B
fac 5 10 {0,172,24,151,152}
hosp 1 {0}
n_ALS 5 1 {1:0,3:172,1:152}
n_BLS 25 1 {5:0,6:172,8:24,2:151,4:152}
n_CLS 7 0 {2:0,1:172,1:24,2:151,1:152}
      c_m  head  tail      c_af      c_d  c_tau  c_h
78     15   225   248  0.555707  {1,1,0}     32    1
79    120   231   232  0.096184  {0,3,0}     40    1
125   124   180   181  0.115279  {1,0,0}     35    1
17    128   207   208  0.231753  {0,1,0}     38    0
15    149   215   216  0.903920  {0,1,1}     21    1
19    154   204   209  0.716388  {0,2,0}     40    1
81    190   114   115  0.928379  {0,3,0}     37    0
101   286   216   217  0.175211  {1,0,0}     36    1
34    336    65    91  0.807074  {0,0,1}     32    1
68    362   169   173  0.432654  {0,1,0}     28    1
115   386    34    41  0.538797  {0,1,0}     37    1
24    388   106   107  0.129613  {1,3,0}     39    1
113   397   223   224  0.645019  {0,3,0}     20    1
111   423    23   229  0.282116  {1,1,0}     36    1
18    426   165   177  0.964689  {0,1,1}     34    1
3     433    32    34  0.802747  {0,3,0}     39    1
50    434   154   155  0.398657  {0,3,0}     34    0
54    435    77    78  0.852371  {0,1,0}     20    0
106   464   155   156  0.425061  {0,2,0}     28    0
29    473   132   133  0.113306  {1,1,0}     24    1
9     506    19    25  0.062719  {0,1,0}     33    1
105   519   178   182  0.525093  {0,2,0}     27    1
49    521   185   192  0.234146  {1,0,0}     34    1
25    534    17    19  0.028585  {0,3,0}     36    1
52    551    42    43  0.830178  {1,0,0}     38    1
72    553   157   159  0.209258  {0,3,0}     38    1
67    556   153   156  0.648036  {0,0,1}     20    1
127   562    96   111  0.774404  {1,0,0}     24    1
114   562    51    52  0.397988  {0,2,0}     24    0
87    563   124   125  0.434202  {0,1,1}     38    1
44    572   240   242  0.559088  {0,1,0}     40    1
22    573     7    30  0.534790  {0,1,0}     28    0
31    578   116   118  0.560952  {1,1,0}     24    1
95    611   231   236  0.765398  {1,0,0}     30    1
112   628   130   131  0.557860  {1,1,0}     39    1
30    631   156   160  0.857332  {0,1,1}     34    1
62    644   240   242  0.888668  {1,0,0}     39    1
123   665   100   101  0.924856  {0,0,1}     22    0
120   669   219   221  0.129180  {1,1,0}     21    1
96    674   135   136  0.853034  {1,1,0}     35    1
55    682   102   103  0.674691  {1,1,0}     39    1
116   682   137   138  0.698786  {0,1,0}     29    1
39    682   121   123  0.337699  {0,2,0}     27    1
58    685   238   239  0.884190  {0,2,0}     29    1
94    685   188   189  0.722628  {0,2,0}     20    0
37    687    40    41  0.237728  {0,1,0}     39    0
27    692   219   220  0.417780  {0,3,0}     38    1
41    711   211   213  0.715568  {1,1,0}     34    1
53    713    47    48  0.725786  {1,0,0}     27    1
5     717   125   149  0.690951  {0,2,0}     26    0
108   727   144   145  0.185837  {1,0,0}     34    1
13    734   231   232  0.486472  {0,3,0}     38    0
11    747    45    46  0.090925  {0,1,0}     23    1
43    748   119   169  0.396740  {0,1,0}     33    0
102   761   103   104  0.145693  {1,1,0}     28    1
126   763   245   246  0.271222  {1,1,0}     36    1
47    776    70    72  0.561035  {0,2,0}     32    1
70    780   234   235  0.589268  {1,0,0}     29    1
103   800   244   248  0.616047  {0,3,0}     40    1
122   812   176   180  0.562279  {1,0,0}     38    1
28    835   160   164  0.178978  {0,1,0}     29    0
45    840   162   167  0.172892  {1,1,0}     38    1
83    842   242   243  0.818722  {0,3,0}     37    0
40    842     2    14  0.790019  {1,1,0}     35    1
1     849    81    84  0.019027  {0,1,1}     39    1
119   850    78    79  0.026252  {0,2,0}     27    0
89    853    67    68  0.769651  {1,1,0}     21    1
73    856    72    73  0.015596  {0,3,0}     31    1
100   859   132   134  0.604240  {0,1,1}     28    1
104   863   237   238  0.175244  {1,0,0}     31    1
86    868   174   175  0.036217  {0,1,0}     22    1
6     870    68    69  0.696198  {0,0,1}     33    1
63    879    18    20  0.677961  {0,2,0}     40    0
60    884    83    85  0.573349  {1,1,0}     37    1
110   889   234   235  0.281525  {0,2,0}     35    0
7     891    81    84  0.821212  {0,3,0}     20    0
38    915   196   203  0.254780  {1,0,0}     29    1
20    921    12    16  0.999721  {0,2,0}     26    1
75    936   222   225  0.170478  {0,2,0}     40    0
16    950   163   168  0.048022  {0,1,0}     40    1
76    955   210   212  0.205748  {0,2,0}     37    1
90    967   124   151  0.070426  {0,1,0}     28    0
97    980   240   241  0.950564  {0,2,0}     34    1
98    984   151   154  0.598927  {0,1,1}     37    0
93    992   106   108  0.552889  {0,1,0}     27    1
82    995   163   164  0.561094  {0,2,0}     32    0
80    996    23   229  0.152409  {0,2,0}     40    1
71    998    35    36  0.405132  {0,3,0}     21    1
33   1001   232   233  0.307120  {0,1,1}     40    1
85   1003   222   223  0.665147  {0,1,0}     33    1
117  1015    36    38  0.028500  {0,0,1}     27    1
48   1018   202   203  0.820409  {0,1,0}     27    1
74   1021   121   123  0.052399  {0,1,0}     26    1
14   1023   155   156  0.539535  {1,0,0}     29    1
57   1034    39    52  0.198742  {0,3,0}     30    0
61   1039   115   116  0.804604  {0,2,0}     23    0
69   1042   132   134  0.794631  {1,2,0}     30    1
124  1057    34    41  0.327145  {0,2,0}     33    1
36   1064   166   167  0.894888  {0,2,0}     31    1
35   1070    10    41  0.382701  {1,0,0}     23    1
66   1074    38    40  0.887353  {0,2,0}     20    0
107  1076   194   195  0.527972  {0,1,0}     38    1
121  1083   169   170  0.466567  {0,0,1}     35    0
12   1084    58    59  0.051643  {1,0,0}     40    1
8    1104   138   139  0.752596  {0,1,0}     29    1
51   1106   122   123  0.486852  {0,3,0}     31    1
77   1124    81    82  0.392874  {1,1,0}     34    1
32   1126   142   144  0.048129  {0,1,1}     26    1
109  1135   232   233  0.728212  {0,0,1}     39    1
26   1153    26    28  0.573247  {0,1,1}     24    0
0    1155    31    32  0.210350  {0,2,0}     20    1
118  1174   153   157  0.359891  {1,0,0}     21    1
64   1203   199   202  0.270920  {0,1,0}     40    1
91   1224   106   108  0.071298  {0,1,1}     30    0
2    1226    59    71  0.535491  {0,1,0}     32    1
4    1236   142   143  0.103282  {1,3,0}     33    1
84   1252   158   159  0.975752  {0,1,0}     35    0
92   1261    98   131  0.475940  {0,1,0}     36    1
10   1265   231   232  0.018207  {0,1,0}     25    1
21   1291    69    70  0.518934  {0,3,0}     22    1
99   1306   231   232  0.098650  {0,2,0}     26    1
65   1309    48    49  0.896371  {1,2,0}     33    1
42   1328    11    42  0.189747  {0,2,0}     21    1
46   1353   192   193  0.326259  {0,3,0}     32    1
56   1407   103   113  0.941713  {0,1,0}     26    1
23   1414    48    57  0.579870  {0,2,0}     29    1
88   1436    30    33  0.575492  {1,0,0}     21    1
59   1439    39    52  0.898426  {0,1,0}     37    1
