map EGL-G1-B
fac 5 10 {0,77,127,191,135}
hosp 2 {0,48}
n_ALS 5 1 {2:77,2:191,1:135}
n_BLS 22 1 {8:0,5:77,5:127,3:191,1:135}
n_CLS 6 0 {2:77,1:127,1:191,2:135}
      c_m  head  tail      c_af      c_d  c_tau  c_h
58      5   140   141  0.779761  {0,3,0}     33    0
0      43    73    74  0.701198  {0,2,0}     22    1
106    68   192   193  0.235196  {1,0,0}     22    1
74    110    38    40  0.251082  {1,1,0}     27    1
90    163    36    38  0.168957  {0,2,0}     29    0
1     197    90    91  0.485024  {0,1,0}     26    1
36    208    72    73  0.217494  {1,0,0}     23    1
125   213   132   134  0.306414  {0,2,0}     20    0
34    292    23   229  0.855037  {0,1,0}     30    1
23    345    90    91  0.897962  {0,3,0}     29    0
27    410    50    53  0.675291  {0,1,0}     24    0
28    426     0     1  0.864608  {1,1,0}     29    0
44    427   121   122  0.242356  {0,1,1}     30    1
59    432   108   109  0.577148  {0,2,0}     20    1
39    434   225   227  0.763526  {1,0,0}     28    1
11    436    96    97  0.997808  {0,2,0}     37    1
82    473    66    68  0.103562  {0,2,0}     20    0
78    483   198   199  0.836534  {0,1,0}     38    1
73    483   118   119  0.263119  {1,0,0}     32    0
109   484    68    69  0.807320  {0,1,0}     24    0
79    505    92    93  0.865180  {0,0,1}     37    0
71    515    16    17  0.903906  {0,2,0}     35    1
18    516   142   143  0.947156  {0,1,0}     20    1
104   520   127   138  0.404667  {0,0,1}     32    0
103   520   213   216  0.788997  {1,1,0}     38    1
15    531    80    81  0.322311  {1,0,0}     35    1
123   536   165   166  0.691170  {1,1,0}     21    1
6     538    27    28  0.094028  {1,0,0}     32    1
61    538   234   236  0.395157  {1,0,0}     25    1
66    548   207   209  0.054197  {0,1,1}     24    0
21    560   150   152  0.583517  {1,1,0}     22    1
116   561   193   194  0.844499  {0,2,0}     28    0
49    564    72    73  0.401814  {0,1,0}     21    1
4     568    66    68  0.231082  {1,1,0}     21    1
60    573   178   179  0.747546  {0,3,0}     21    1
120   579   142   144  0.829473  {0,3,0}     40    1
68    582   108   109  0.563192  {0,2,0}     35    1
122   582    63    64  0.583074  {0,3,0}     38    1
19    594   171   172  0.853150  {0,2,0}     24    1
113   595   189   241  0.837133  {0,3,0}     22    0
38    608   176   180  0.095921  {0,1,0}     27    0
72    611     4     5  0.434248  {0,0,1}     40    1
57    612     5    26  0.743835  {0,1,0}     32    1
114   620    78    79  0.991653  {0,0,1}     30    1
88    624   157   159  0.137549  {0,3,0}     30    1
30    639    96   111  0.957500  {0,1,0}     33    0
53    646     5     6  0.943888  {0,1,0}     21    1
67    655   237   238  0.093907  {1,0,0}     38    1
83    657    65    66  0.382315  {0,2,0}     38    1
62    672    58    59  0.184349  {0,2,0}     30    1
108   675    27    28  0.717369  {1,1,0}     40    1
100   679    41    51  0.560076  {0,1,0}     29    1
33    682   212   243  0.478629  {0,2,0}     24    1
47    683   238   239  0.343265  {0,3,0}     24    1
121   691   190   192  0.265623  {1,0,0}     25    1
81    695    95    97  0.275702  {0,1,0}     20    1
56    721    96   114  0.375313  {0,1,0}     27    1
52    722   102   103  0.362161  {0,1,1}     31    1
63    726   188   189  0.730017  {0,1,1}     22    1
9     727   104   106  0.712996  {0,2,0}     23    1
84    729    92    93  0.941725  {1,1,0}     33    1
31    738    98   130  0.970215  {0,1,0}     22    0
65    740   135   145  0.554753  {0,3,0}     30    1
14    742    68    69  0.137054  {0,3,0}     37    1
127   747    36    38  0.280142  {0,1,0}     40    1
111   752    23   149  0.755184  {0,1,0}     29    0
94    761   154   155  0.076709  {1,1,0}     26    1
50    765   196   197  0.596347  {0,2,0}     37    1
8     765    13    14  0.318976  {0,1,0}     29    0
92    776   237   238  0.948961  {1,0,0}     28    1
110   804    59    71  0.973671  {1,1,0}     23    1
107   815   157   159  0.321013  {1,0,0}     21    0
46    817   153   156  0.179195  {0,1,0}     25    1
48    818   125   126  0.494007  {0,2,0}     20    1
13    856   180   181  0.861602  {0,1,1}     35    0
101   857   156   162  0.370671  {1,1,0}     31    0
41    859   140   141  0.886312  {1,0,0}     30    1
86    878    96   114  0.610708  {0,2,0}     23    0
25    894    39    72  0.260598  {1,1,0}     26    1
29    897   246   247  0.450490  {0,2,0}     29    0
93    902   165   166  0.955961  {1,3,0}     37    1
97    913   108   109  0.398601  {0,1,0}     39    0
75    918    47    48  0.640753  {0,0,1}     32    1
5     926   241   242  0.239626  {0,1,0}     27    0
87    926    54    58  0.458657  {1,0,0}     24    1
105   931   178   182  0.607422  {0,1,1}     26    1
24    937    43    46  0.080715  {0,3,0}     25    1
96    944    83    85  0.927698  {0,1,0}     36    0
17    945   116   120  0.022606  {0,2,0}     35    0
54    964    42    43  0.591477  {0,1,0}     27    1
118   967    63    64  0.727824  {1,1,0}     23    1
91    970    94    98  0.799688  {1,0,0}     37    1
51    986   243   244  0.895073  {0,0,1}     30    0
102   989   225   248  0.291165  {0,2,0}     29    0
112   994   242   245  0.240060  {1,0,0}     22    1
89   1010   124   125  0.809790  {1,0,0}     22    1
99   1021   107   108  0.044672  {0,2,0}     40    1
115  1026   202   204  0.194141  {0,1,1}     40    1
95   1035   115   116  0.569017  {0,3,0}     40    1
22   1041    43    45  0.541189  {1,1,0}     38    1
10   1045   112   113  0.737977  {1,1,0}     40    1
20   1054   151   152  0.985418  {0,1,0}     20    0
26   1054     5     6  0.757113  {0,2,0}     33    1
124  1064   176   180  0.464014  {1,1,0}     30    1
12   1079   169   170  0.042948  {0,2,0}     26    1
2    1080    58    59  0.777774  {0,1,1}     26    1
80   1083    56    57  0.799416  {0,2,0}     33    1
45   1105    31    32  0.430131  {0,0,1}     23    1
37   1117    81    84  0.181635  {0,3,0}     28    1
3    1139   206   207  0.800581  {0,3,0}     32    1
126  1147   107   108  0.007542  {0,1,0}     27    0
7    1150    68    79  0.212004  {0,2,0}     25    1
77   1160    23    86  0.627095  {0,2,0}     31    1
42   1163    27    30  0.492747  {0,3,0}     28    1
40   1225   184   185  0.468005  {0,1,0}     31    0
119  1225   223   224  0.672382  {0,0,1}     38    1
32   1259   207   209  0.257812  {0,3,0}     31    0
98   1259   105   117  0.198386  {0,1,0}     34    1
35   1266   139   141  0.258869  {0,1,0}     20    0
64   1274   149   150  0.155625  {0,1,0}     20    1
85   1277     3    15  0.232165  {0,1,1}     32    1
16   1281   128   137  0.586910  {0,1,0}     24    0
43   1300   125   126  0.711466  {0,2,0}     24    0
70   1346    31    32  0.410932  {0,1,1}     38    1
76   1360   242   245  0.442396  {0,1,1}     22    0
69   1417   164   165  0.513597  {1,0,0}     29    1
117  1418   202   204  0.757659  {0,0,1}     24    0
55   1437   176   179  0.826796  {0,3,0}     23    0
