map EGL-G1-D
fac 5 10 {0,22,111,110,117}
hosp 1 {0}
n_ALS 8 1 {3:111,4:110,1:117}
n_BLS 19 1 {4:0,3:22,6:111,2:110,4:117}
n_CLS 8 0 {1:0,3:22,1:111,3:117}
      c_m  head  tail      c_af      c_d  c_tau  c_h
21     25   226   227  0.636791  {0,2,0}     27    0
93     59    51    52  0.111249  {0,0,1}     34    1
8      74   166   167  0.763407  {1,1,0}     38    1
36    120   139   140  0.892640  {1,0,0}     28    1
96    198   204   205  0.379554  {1,1,0}     35    1
38    222   188   189  0.271545  {0,1,0}     36    1
81    235    18    19  0.761834  {0,2,0}     34    0
31    260    69    78  0.392293  {0,1,0}     37    0
13    273   165   177  0.202808  {0,1,0}     40    0
118   317   231   232  0.089943  {0,1,1}     34    1
7     358   154   155  0.800552  {0,3,0}     23    1
24    364   162   166  0.516850  {0,3,0}     32    1
4     373     1     2  0.212374  {0,3,0}     26    1
106   377    12    13  0.653841  {1,1,0}     35    1
79    387    36    38  0.380425  {1,1,0}     30    1
124   407   144   145  0.052767  {0,2,0}     33    1
16    412   231   232  0.847822  {1,0,0}     31    1
20    420    96    97  0.298437  {1,0,0}     34    1
80    427     5     6  0.514378  {0,3,0}     21    1
26    457   102   103  0.597592  {1,2,0}     28    1
35    466    93    94  0.907282  {1,0,0}     25    1
103   468    25    26  0.168828  {0,0,1}     23    1
90    481    68    69  0.828200  {1,1,0}     25    1
46    501   212   243  0.842156  {0,3,0}     26    1
56    524   165   174  0.032421  {0,1,0}     36    0
34    532   242   245  0.746860  {0,1,0}     22    0
15    541     5    23  0.002435  {0,2,0}     23    0
11    561    54    55  0.726445  {0,3,0}     35    1
10    597    62    63  0.943515  {0,1,1}     28    0
112   611   164   165  0.807243  {1,1,0}     28    1
98    620    70    72  0.450647  {0,3,0}     28    1
40    624   156   160  0.416020  {0,2,0}     21    1
39    630     3    15  0.531924  {0,3,0}     24    1
29    633    68    69  0.123235  {0,2,0}     39    0
113   649   104   106  0.262249  {0,1,0}     23    1
126   650    89    90  0.642227  {0,3,0}     37    0
19    663    72    73  0.192823  {0,1,0}     40    1
66    666   106   107  0.492085  {1,1,0}     28    0
84    669    77    78  0.025986  {1,1,0}     40    1
53    683    54    55  0.571212  {1,0,0}     21    1
68    686    58    59  0.917123  {0,1,0}     35    1
32    695    95    97  0.405567  {1,1,0}     36    1
100   696   135   136  0.759609  {0,2,0}     21    0
43    698   154   155  0.590680  {0,2,0}     26    0
94    708   195   197  0.011399  {0,2,0}     30    0
83    719   211   212  0.573671  {0,3,0}     24    0
3     721   189   190  0.484101  {0,0,1}     40    1
125   737   167   175  0.746475  {0,2,0}     33    0
48    744   157   159  0.242805  {1,0,0}     29    1
71    746   119   169  0.582698  {1,0,0}     30    1
63    760   191   194  0.041684  {0,0,1}     25    0
123   760   156   160  0.950144  {1,1,0}     33    1
97    771   142   144  0.039053  {0,0,1}     36    0
61    772   101   110  0.614804  {1,0,0}     27    1
64    777   174   175  0.006122  {0,2,0}     40    1
28    794   167   175  0.124915  {0,2,0}     32    1
104   802   242   245  0.995023  {0,2,0}     25    0
122   814   135   136  0.289852  {0,1,0}     31    1
25    829   139   140  0.078288  {0,2,0}     38    1
109   831   149   150  0.910694  {0,3,0}     36    1
74    838    72    73  0.049762  {0,1,0}     26    1
99    839    70    72  0.070819  {0,2,0}     22    0
5     839     5    23  0.450962  {0,1,0}     37    1
115   841    12    16  0.918919  {0,1,0}     30    1
101   841   140   149  0.564218  {1,0,0}     28    1
9     844   134   135  0.213342  {0,1,0}     33    0
45    845    92    93  0.452417  {1,1,0}     29    1
59    854    69    70  0.335361  {0,3,0}     21    0
78    863   107   108  0.553004  {1,1,0}     22    1
89    867   102   110  0.737054  {1,1,0}     29    1
50    877     5     6  0.529105  {0,2,0}     30    1
37    884    23    86  0.544886  {0,2,0}     36    0
86    903   245   246  0.060441  {0,3,0}     30    0
95    909   100   101  0.514031  {1,0,0}     29    1
107   916    89    90  0.325929  {0,0,1}     20    1
120   926    77    81  0.275254  {0,1,0}     38    1
75    931   140   149  0.346740  {0,3,0}     37    1
121   942   108   109  0.512970  {0,1,0}     39    1
14    944   101   102  0.504124  {0,3,0}     37    1
85    973    81    84  0.563072  {0,3,0}     33    1
119   985   190   191  0.866658  {1,0,0}     21    1
2     986    23   149  0.140823  {0,2,0}     22    1
88    995   102   103  0.771426  {1,2,0}     35    1
57   1009    60    67  0.129601  {0,1,0}     40    0
30   1020   129   130  0.457061  {1,0,0}     29    1
69   1027   215   216  0.501160  {0,1,0}     20    0
1    1034   107   108  0.369864  {0,2,0}     30    1
127  1044    80    88  0.008012  {0,2,0}     24    1
58   1044   160   163  0.587292  {0,3,0}     22    1
55   1046    51    52  0.724891  {0,2,0}     26    1
60   1075   180   181  0.527448  {1,1,0}     24    1
114  1093    50    52  0.721953  {0,0,1}     36    1
44   1100    46    47  0.675696  {1,3,0}     37    1
52   1103    31    38  0.038700  {0,3,0}     29    1
108  1108    81    84  0.891794  {0,1,0}     31    0
91   1125   188   189  0.190237  {0,2,0}     31    0
0    1136    88    89  0.238507  {1,1,0}     36    1
110  1136   166   167  0.843136  {0,1,0}     31    1
22   1144    73    74  0.903049  {1,1,0}     39    1
17   1144   102   103  0.417532  {0,3,0}     25    1
6    1148   225   227  0.403644  {0,1,0}     24    1
62   1154    62    63  0.503375  {1,1,0}     31    0
70   1155    43    46  0.139484  {0,0,1}     30    0
73   1167    28    29  0.594278  {0,1,0}     22    1
27   1172   244   249  0.732252  {1,0,0}     34    0
76   1172    51    52  0.358995  {0,2,0}     25    1
65   1199   110   113  0.818800  {0,1,0}     27    1
77   1203     7     8  0.653063  {1,1,0}     32    1
47   1223   226   231  0.028055  {0,1,0}     20    1
12   1228   174   175  0.356602  {0,3,0}     33    1
102  1257   174   176  0.637022  {0,1,0}     30    0
87   1257    28    29  0.460829  {0,1,0}     33    1
33   1273    36    38  0.272933  {0,1,0}     27    0
117  1289   177   184  0.587599  {0,0,1}     32    1
67   1301   127   128  0.689172  {0,2,0}     37    1
72   1310    66    67  0.842743  {0,2,0}     33    1
92   1311   232   234  0.095148  {0,0,1}     29    1
42   1320    96   111  0.798702  {0,3,0}     20    0
51   1337    12    16  0.292036  {0,1,0}     25    1
49   1350    16    17  0.655125  {1,1,0}     23    1
111  1366     8    33  0.137760  {0,0,1}     39    1
41   1375   178   182  0.606227  {0,1,0}     37    0
105  1379    35    36  0.242322  {0,1,0}     28    0
18   1386   116   118  0.340778  {0,2,0}     30    1
82   1403   128   137  0.159271  {0,2,0}     34    0
54   1409   140   141  0.226624  {1,1,0}     20    1
116  1414   246   248  0.940673  {1,0,0}     37    1
23   1415     3    15  0.567758  {0,0,1}     25    1
