map EGL-G1-B
fac 5 10 {0,212,162,170,222}
hosp 2 {0,80}
n_ALS 5 1 {1:212,1:162,3:170}
n_BLS 21 1 {3:0,4:212,4:162,6:170,4:222}
n_CLS 10 0 {1:0,1:212,2:162,1:170,5:222}
      c_m  head  tail      c_af      c_d  c_tau  c_h
61     22   188   189  0.262295  {0,1,0}     37    0
91     51   206   207  0.410642  {0,1,0}     29    0
121    55    90    91  0.974595  {1,1,0}     36    1
21    172    84   100  0.380008  {0,1,0}     34    1
65    188    70    72  0.549762  {0,1,0}     28    1
88    206   128   137  0.812054  {0,1,0}     32    0
120   235    72    73  0.345586  {1,0,0}     20    1
2     241   242   245  0.045751  {1,0,0}     31    1
67    256   195   196  0.744738  {0,0,1}     28    1
117   269   166   167  0.104229  {0,1,0}     20    0
45    285    25    26  0.039836  {1,2,0}     30    1
84    302    29    31  0.716890  {1,1,0}     26    1
116   309    75    77  0.241721  {1,0,0}     30    1
3     324   134   135  0.745668  {1,1,0}     35    1
44    332    29    30  0.899458  {0,2,0}     31    0
28    340   213   214  0.619883  {1,1,0}     24    1
22    385    66    68  0.732565  {0,2,0}     40    1
36    428   155   156  0.818028  {1,1,0}     32    1
24    436   135   145  0.821639  {0,1,0}     32    0
59    471    35    36  0.068591  {0,3,0}     32    0
29    473   178   182  0.180127  {0,0,1}     22    0
94    507   203   210  0.665516  {0,2,0}     32    1
53    532   157   159  0.902831  {0,2,0}     25    0
34    547    13    14  0.948919  {0,0,1}     39    1
5     565     8     9  0.508975  {0,2,0}     39    1
87    590    43    46  0.655995  {0,1,0}     24    1
85    609    55    56  0.288348  {0,1,0}     31    0
109   610    96   111  0.696203  {1,1,0}     26    1
31    612     2    14  0.526144  {0,0,1}     37    0
1     616    83    85  0.933063  {1,0,0}     28    1
64    617   155   156  0.191368  {1,0,0}     30    1
13    619   211   212  0.177152  {0,2,0}     37    0
46    620    73    75  0.572415  {0,3,0}     27    1
110   625    63    64  0.272513  {0,2,0}     28    0
27    630   156   162  0.238690  {1,0,0}     21    1
25    639    49    56  0.689775  {0,3,0}     22    1
75    650   162   167  0.058605  {1,0,0}     37    1
58    658   129   130  0.943575  {0,1,0}     21    1
55    658    89    90  0.951555  {0,1,1}     31    0
23    659   165   166  0.498850  {0,1,1}     29    1
76    669   156   162  0.911987  {0,3,0}     34    1
95    669   101   102  0.896995  {1,0,0}     25    1
49    675   138   139  0.997959  {0,1,0}     22    1
39    683   157   159  0.894868  {0,2,0}     24    1
124   689    38    40  0.429658  {0,1,1}     28    1
123   692   204   205  0.459497  {0,2,0}     40    1
60    693   158   160  0.235655  {1,1,0}     22    1
99    701    35    36  0.528545  {1,2,0}     36    0
62    713   136   137  0.965791  {0,1,1}     34    0
16    713   102   103  0.845428  {0,2,0}     38    0
114   715   176   180  0.389601  {0,3,0}     22    1
107   732     3    23  0.576021  {0,1,0}     40    1
0     744    70    71  0.330274  {0,2,0}     25    1
96    751    16    17  0.392448  {0,3,0}     22    1
42    760   232   233  0.521159  {0,2,0}     25    0
118   769    90    95  0.313985  {1,0,0}     27    1
93    773   116   120  0.213389  {0,2,0}     22    0
103   773   100   101  0.198118  {1,0,0}     20    1
90    779   166   167  0.986982  {1,1,0}     22    1
54    790   131   132  0.827633  {0,2,0}     20    0
86    790   125   149  0.390671  {0,0,1}     27    0
17    798   211   213  0.617114  {0,0,1}     28    0
37    809   108   109  0.584564  {0,1,0}     39    1
72    827   238   240  0.676979  {0,2,0}     29    1
35    834   234   235  0.832961  {1,1,0}     30    1
