map EGL-G2-C
fac 5 10 {0,240,181,2,243}
hosp 1 {0}
n_ALS 8 1 {3:181,3:2,2:243}
n_BLS 23 1 {7:0,5:240,4:181,4:2,3:243}
n_CLS 7 0 {4:240,1:2,2:243}
      c_m  head  tail      c_af      c_d  c_tau  c_h
19     33    45    64  0.128319  {0,3,0}     21    1
116    47   197   199  0.685977  {0,1,0}     27    0
112    69   243   245  0.918391  {0,1,0}     32    0
14     84   140   142  0.449761  {1,1,0}     26    1
15     86   127   128  0.348920  {1,1,0}     22    1
127   113     4    22  0.084409  {1,1,0}     36    1
100   164   213   215  0.308614  {0,1,0}     37    0
105   206   226   229  0.085740  {1,0,0}     40    1
33    209    21    35  0.574841  {0,1,1}     39    0
55    229    93    94  0.755280  {1,0,0}     40    1
10    295    71    73  0.626884  {0,1,0}     33    1
4     337   248   249  0.791850  {0,3,0}     25    1
119   352   120   162  0.525412  {0,2,0}     20    0
122   371   210   211  0.012904  {0,1,1}     31    0
12    392    90    92  0.278933  {0,2,0}     20    1
44    420     6    27  0.255727  {1,1,0}     20    0
108   467   201   202  0.327496  {0,2,0}     22    1
110   469   237   238  0.462253  {1,0,0}     30    1
31    509   139   140  0.467313  {1,2,0}     35    1
32    512   125   150  0.808047  {1,1,0}     38    1
95    521    32    34  0.116493  {0,2,0}     30    1
67    525    15    17  0.596028  {0,1,0}     32    1
82    558    99   131  0.440012  {0,3,0}     24    1
51    562   116   117  0.089611  {0,1,0}     34    0
93    565    21    35  0.867608  {1,0,0}     29    1
39    572   117   119  0.009889  {0,1,0}     40    0
123   577    68    69  0.598783  {1,0,0}     39    1
118   592     1     2  0.313231  {1,1,0}     30    1
0     600    59    60  0.927924  {1,0,0}     26    1
3     620     5     6  0.277590  {1,1,0}     29    1
60    631   120   162  0.390794  {1,0,0}     23    1
98    635   132   133  0.942657  {0,3,0}     40    0
69    637   242   243  0.379252  {0,3,0}     33    0
70    647   195   248  0.959227  {0,3,0}     37    1
17    649   189   190  0.586593  {0,2,0}     35    1
74    657    50    52  0.481790  {1,1,0}     26    1
89    675   233   234  0.781219  {1,0,0}     30    1
1     680    17    19  0.496541  {0,2,0}     21    1
77    684    41    51  0.204048  {0,2,0}     33    1
107   690   132   133  0.868484  {0,2,0}     39    1
92    694   195   196  0.081132  {0,0,1}     30    1
35    695   129   138  0.832501  {1,1,0}     23    1
64    701    18    20  0.386032  {1,1,0}     25    1
50    708    36    39  0.025855  {1,0,0}     38    1
83    709   125   126  0.887675  {0,1,1}     22    1
25    712    80    81  0.041145  {0,2,0}     24    0
20    713   137   138  0.940439  {0,3,0}     26    1
85    714   196   198  0.477562  {0,1,0}     22    1
42    729   222   223  0.457796  {1,1,0}     29    1
22    737   178   179  0.772107  {1,1,0}     28    1
124   744    39    73  0.685386  {0,2,0}     31    1
5     755   145   146  0.506113  {0,2,0}     29    1
90    774    66    93  0.334239  {0,3,0}     31    0
36    780   129   138  0.598226  {0,2,0}     32    0
26    782    86    87  0.195547  {0,2,0}     35    1
84    783   193   246  0.964666  {0,2,0}     27    0
94    791   243   245  0.512588  {0,3,0}     33    1
68    798    99   131  0.257002  {1,1,0}     37    1
9     799   239   243  0.063775  {0,3,0}     31    0
41    802    32    34  0.390013  {1,0,0}     29    1
86    804    23   237  0.543770  {0,2,0}     22    0
30    817   107   108  0.066956  {0,2,0}     40    1
34    819   107   109  0.771407  {0,1,0}     22    1
96    822    27    28  0.557833  {1,1,0}     35    1
121   851   128   139  0.670014  {0,3,0}     20    0
43    872   106   118  0.453157  {0,3,0}     33    1
87    876    27    30  0.392241  {0,2,0}     39    1
16    878   151   153  0.277441  {0,3,0}     29    0
103   883   185   186  0.293889  {1,1,0}     33    0
117   885   192   193  0.920377  {1,1,0}     23    1
99    887   218   250  0.200550  {1,1,0}     24    1
56    899    71    73  0.988111  {1,0,0}     33    1
88    937    51    52  0.238697  {0,3,0}     23    1
75    938   157   161  0.623601  {1,0,0}     39    1
115   943    57    61  0.210825  {1,1,0}     35    1
63    945   204   206  0.467039  {0,0,1}     20    0
102   950   174   189  0.634948  {1,1,0}     39    1
59    960   217   218  0.715181  {0,0,1}     33    0
40    966   196   198  0.454744  {0,2,0}     36    0
49    979   244   245  0.441634  {0,3,0}     20    1
57    980    70    79  0.076649  {0,2,0}     31    1
76    985   175   177  0.941300  {0,1,0}     27    0
18    992    25    26  0.333241  {0,1,0}     26    1
24    998   190   191  0.267743  {0,2,0}     35    0
52   1002   252   253  0.198917  {0,3,0}     23    1
113  1008    66    93  0.169848  {1,1,0}     27    1
38   1015    35    36  0.745427  {0,2,0}     38    1
45   1018    69    70  0.024168  {0,2,0}     25    0
47   1021   174   182  0.341996  {0,1,1}     32    0
11   1022    56    57  0.053523  {0,2,0}     36    0
54   1035    90    92  0.371322  {0,0,1}     33    1
71   1041   145   148  0.095471  {0,2,0}     26    1
109  1053    15    17  0.249597  {0,1,1}     35    0
23   1087   162   163  0.073261  {0,1,0}     30    1
27   1100    59    72  0.682441  {0,3,0}     39    0
61   1115   251   252  0.256844  {0,2,0}     34    0
101  1119    76    77  0.347702  {1,0,0}     36    1
66   1125   117   119  0.813406  {1,1,0}     27    1
81   1143    29    31  0.176193  {1,1,0}     34    1
21   1145    69    70  0.297422  {0,1,0}     34    1
80   1149   148   149  0.013558  {0,3,0}     27    0
73   1169   176   177  0.218044  {1,1,0}     26    1
