map EGL-G1-B
fac 5 10 {0,141,248,98,50}
hosp 3 {0,43,196}
n_ALS 5 1 {1:0,1:248,2:98,1:50}
n_BLS 19 1 {3:0,8:141,5:248,1:98,2:50}
n_CLS 7 0 {3:0,2:141,1:248,1:50}
      c_m  head  tail      c_af      c_d  c_tau  c_h
68      7   112   113  0.875993  {0,2,0}     39    0
35     20   149   150  0.321447  {0,3,0}     37    1
65     40    77    81  0.208176  {0,1,1}     23    1
76     57   144   147  0.440555  {1,1,0}     23    1
6      65   207   209  0.925938  {0,2,0}     32    0
59     70     6     7  0.438247  {1,1,0}     21    1
9      82   116   120  0.837833  {0,2,0}     26    0
48    108   186   187  0.170203  {0,3,0}     26    1
2     158   174   175  0.267772  {0,1,0}     20    1
113   232   157   158  0.402287  {0,1,1}     32    1
107   234   211   212  0.437048  {0,2,0}     23    1
3     264   124   125  0.511498  {0,1,1}     40    1
19    282   231   236  0.453804  {0,1,0}     39    1
34    334    12    16  0.127108  {0,1,0}     36    0
44    383   162   167  0.727627  {1,1,0}     33    1
122   384   150   152  0.035050  {0,1,1}     28    1
125   397    47    48  0.069634  {0,2,0}     39    1
62    401   210   211  0.076240  {0,1,0}     35    0
74    401    43    46  0.493266  {0,2,0}     23    0
112   407    77    81  0.109880  {0,1,0}     20    1
85    421   129   130  0.644305  {0,2,0}     35    1
72    422    20    21  0.048009  {0,1,0}     24    1
81    481    37    74  0.822409  {0,0,1}     30    0
60    484    45    64  0.075432  {0,2,0}     32    1
124   497   102   103  0.861629  {0,1,0}     31    0
91    501    65    66  0.704316  {0,1,0}     35    0
20    513   163   164  0.892436  {0,3,0}     25    1
116   513   215   216  0.817953  {1,1,0}     30    1
45    520   134   135  0.527244  {1,0,0}     22    1
97    541    32    33  0.470467  {0,1,0}     21    1
119   568   167   175  0.925483  {0,2,0}     35    0
115   569    48    49  0.432761  {0,1,0}     26    0
67    577    48    57  0.262348  {0,2,0}     28    0
99    582   189   190  0.239280  {0,3,0}     33    0
78    588    69    78  0.659499  {0,1,0}     30    0
4     592    31    32  0.871521  {0,3,0}     22    0
103   603   120   154  0.757751  {1,0,0}     35    0
84    606   185   192  0.023887  {1,1,0}     20    1
64    609   129   136  0.119202  {0,3,0}     29    1
42    615    37    74  0.953040  {0,2,0}     23    0
39    617   174   176  0.302156  {0,3,0}     34    1
1     617    88    89  0.704841  {0,3,0}     28    1
92    619    73    74  0.373101  {0,2,0}     37    0
94    625   198   199  0.659229  {1,0,0}     31    1
86    625    25    26  0.600818  {0,2,0}     26    0
121   640   228   230  0.625023  {0,2,0}     40    1
49    652   178   179  0.159654  {0,1,1}     26    1
127   652   116   118  0.542744  {0,3,0}     32    1
30    658    51    52  0.678337  {1,2,0}     20    1
70    660   178   182  0.881442  {0,2,0}     37    1
96    665    27    28  0.739256  {1,0,0}     30    1
21    667   140   149  0.040934  {0,3,0}     24    1
29    693    94    98  0.216017  {1,0,0}     38    1
17    705     4    22  0.402505  {1,1,0}     21    1
100   735   107   108  0.026673  {1,1,0}     21    1
15    745   111   112  0.672707  {0,2,0}     31    0
5     772   125   126  0.266244  {0,2,0}     25    1
16    825    75    76  0.017134  {0,3,0}     38    1
12    827   121   122  0.189442  {0,1,0}     35    1
61    834   220   222  0.760148  {0,2,0}     28    0
26    837   165   177  0.290206  {0,0,1}     23    0
0     853   231   236  0.992585  {1,0,0}     31    0
114   856    23   149  0.787543  {1,1,0}     20    1
90    861   165   166  0.424620  {0,2,0}     31    1
95    863   165   174  0.008632  {0,2,0}     29    0
32    864   115   116  0.270082  {1,0,0}     27    1
52    864   211   213  0.797458  {0,2,0}     36    1
98    865    31    32  0.338527  {0,1,0}     27    1
24    874   151   154  0.143191  {0,1,0}     28    0
43    887   177   178  0.525580  {0,2,0}     22    1
77    895    81    82  0.788341  {0,3,0}     30    0
55    903   245   246  0.100517  {0,0,1}     22    0
13    912   238   239  0.991689  {0,1,0}     24    0
18    915    50    51  0.662218  {1,1,0}     20    1
23    940   227   228  0.648942  {0,1,1}     35    1
109   945    42    43  0.383714  {1,2,0}     34    1
36    947   108   109  0.903857  {1,0,0}     36    1
104   965   102   103  0.936371  {0,1,1}     35    0
50    982   207   209  0.514665  {0,1,1}     31    1
80    994    11    42  0.805033  {0,1,0}     39    1
56   1001   101   110  0.252751  {0,3,0}     38    0
101  1005   146   147  0.103160  {1,1,0}     27    1
63   1007    96   111  0.555900  {1,3,0}     35    1
71   1009   178   179  0.884573  {0,0,1}     31    0
31   1014    73    74  0.784821  {0,3,0}     36    0
51   1021   165   166  0.980979  {1,1,0}     29    1
38   1027    65    92  0.943574  {0,2,0}     40    1
75   1043   139   140  0.745624  {0,0,1}     25    0
106  1046   231   232  0.406533  {1,1,0}     27    1
117  1058    24    26  0.251706  {1,1,0}     23    1
73   1062    40    41  0.935118  {1,0,0}     24    1
27   1081   246   247  0.784671  {1,0,0}     32    1
111  1096    42    43  0.738065  {0,3,0}     37    0
41   1103    36    37  0.161459  {1,1,0}     32    1
105  1108    85    86  0.943359  {1,1,0}     39    1
54   1126    39    72  0.402167  {0,3,0}     29    1
40   1128    36    39  0.333275  {1,0,0}     32    1
10   1131   158   159  0.924093  {1,0,0}     29    1
57   1159   163   164  0.490770  {0,2,0}     21    1
88   1159   125   126  0.686086  {1,0,0}     27    1
33   1161    54    55  0.586211  {0,1,0}     31    1
14   1187   144   147  0.243255  {0,2,0}     31    0
93   1216    65    91  0.390169  {0,3,0}     22    1
120  1221   141   142  0.896596  {1,0,0}     24    1
108  1222    48    49  0.654653  {1,1,0}     31    1
37   1224    36    39  0.521656  {1,0,0}     22    1
82   1228    17    22  0.029880  {0,1,0}     25    1
110  1229   147   148  0.539428  {1,1,0}     20    1
69   1234   207   208  0.901124  {0,2,0}     28    0
28   1238     7     8  0.286523  {0,1,0}     32    0
47   1239   191   194  0.991323  {0,1,0}     38    0
126  1257   191   194  0.576396  {0,1,0}     34    1
8    1258   151   152  0.456103  {0,3,0}     40    0
25   1267   131   132  0.437328  {1,1,0}     21    1
102  1274    59    71  0.314076  {1,1,0}     29    1
87   1283   176   180  0.528135  {0,3,0}     35    1
123  1286   186   187  0.350446  {1,1,0}     29    1
66   1287   153   157  0.598244  {0,2,0}     34    0
58   1307   195   196  0.045800  {0,2,0}     37    1
22   1336   155   156  0.892428  {0,1,0}     35    1
53   1342   213   216  0.369104  {0,1,1}     22    1
79   1345    58    59  0.667395  {0,1,0}     31    1
7    1350   246   248  0.982143  {0,3,0}     40    0
11   1373   185   186  0.614559  {1,0,0}     29    0
83   1377    35    36  0.411695  {0,3,0}     31    0
89   1382   191   193  0.603003  {1,0,0}     34    1
118  1389    73    74  0.248403  {1,2,0}     38    1
46   1439    72    73  0.331515  {0,2,0}     21    1
