map EGL-G2-C
fac 5 10 {0,104,156,67,117}
hosp 2 {0,237}
n_ALS 7 1 {3:0,3:156,1:117}
n_BLS 23 1 {3:0,4:104,5:156,6:67,5:117}
n_CLS 9 0 {3:104,2:156,2:67,2:117}
      c_m  head  tail      c_af      c_d  c_tau  c_h
6      49   250   251  0.705924  {0,2,0}     39    1
49     57   240   242  0.175773  {1,1,0}     24    1
7      80   178   185  0.372725  {0,2,0}     34    0
41     88    18    19  0.302650  {0,1,0}     25    0
61     94   231   232  0.928063  {0,1,0}     31    1
48    171    30    33  0.434662  {0,2,0}     32    0
15    188   168   176  0.466442  {0,2,0}     25    0
127   210   109   110  0.955655  {0,1,0}     29    0
3     269     7     8  0.582965  {0,2,0}     25    0
17    284     1    12  0.843609  {0,1,0}     31    1
69    330    36    39  0.729455  {0,3,0}     27    0
16    345   239   244  0.198466  {0,3,0}     29    0
125   352    51    52  0.300583  {0,1,0}     29    0
2     369    43    44  0.419461  {1,1,0}     23    1
102   371   141   150  0.973350  {0,2,0}     33    1
22    374   245   246  0.746638  {0,0,1}     20    1
109   377   236   237  0.115229  {0,2,0}     35    1
116   395   210   211  0.083446  {1,0,0}     38    1
42    438   125   126  0.434696  {0,2,0}     32    0
95    457    85   101  0.570931  {0,3,0}     20    0
104   458   150   151  0.601028  {1,0,0}     34    1
74    460   201   202  0.315240  {0,3,0}     23    1
81    469    97    98  0.610744  {0,0,1}     30    1
94    469   141   150  0.147092  {0,1,0}     34    0
91    498   140   141  0.869186  {0,2,0}     39    1
76    505   103   111  0.690664  {1,1,0}     31    1
100   555   199   200  0.175657  {0,1,0}     32    1
47    558    89    97  0.849834  {1,1,0}     29    1
30    562     3    15  0.029421  {0,2,0}     29    1
62    571    38    40  0.566708  {0,0,1}     40    1
93    577    43    45  0.461184  {0,1,0}     26    1
28    578    36    39  0.271167  {1,0,0}     29    1
97    579   248   249  0.539535  {0,2,0}     29    1
123   595    81    89  0.427511  {1,0,0}     34    1
59    625   217   219  0.565598  {0,2,0}     37    0
88    636    57    61  0.790050  {1,0,0}     31    1
37    653   196   197  0.501715  {1,1,0}     30    1
83    654   153   154  0.536914  {0,1,1}     20    0
25    662    93    94  0.610091  {0,2,0}     36    0
72    666   146   147  0.489097  {0,1,0}     31    1
5     666     5    26  0.665412  {0,2,0}     22    0
103   690   148   149  0.623970  {0,3,0}     22    1
12    714    69    70  0.229345  {0,2,0}     23    1
50    719   251   252  0.289389  {0,1,1}     34    0
24    725   122   124  0.817252  {0,1,0}     26    0
13    729   145   148  0.455090  {0,2,0}     26    0
19    734    82    83  0.175085  {1,0,0}     30    1
77    750   218   225  0.446869  {0,3,0}     21    0
90    765   226   227  0.099545  {0,3,0}     33    1
121   773    50    52  0.598918  {1,1,0}     37    1
20    773   226   229  0.490030  {1,1,0}     33    1
111   788   137   138  0.573434  {1,1,0}     36    1
85    801    99   100  0.078718  {0,1,0}     27    0
43    804    16    18  0.942908  {0,0,1}     31    1
107   807    25    26  0.095326  {0,2,0}     38    1
45    810   223   224  0.216511  {0,1,1}     27    0
64    813   246   247  0.910448  {0,2,0}     36    1
32    832    31    38  0.844684  {0,2,0}     23    1
18    834   106   108  0.121988  {0,1,0}     21    1
54    841   191   195  0.979154  {0,1,0}     36    0
51    847    89    90  0.172198  {1,1,0}     24    1
87    856   156   157  0.302253  {0,2,0}     39    0
23    870   220   221  0.996023  {0,0,1}     20    1
78    874    23   237  0.521545  {1,1,0}     39    1
73    876   213   214  0.875552  {1,1,0}     35    1
82    883   197   200  0.243547  {0,3,0}     29    0
36    897   244   253  0.166397  {0,1,0}     24    1
21    903   212   213  0.304453  {0,2,0}     26    0
53    904   140   141  0.392612  {0,2,0}     31    1
114   911   161   164  0.349677  {1,1,0}     32    1
89    921    20    21  0.891889  {0,1,0}     25    1
60    930   185   187  0.543661  {0,2,0}     37    1
84    932    61    62  0.969270  {0,3,0}     24    1
55    934   141   150  0.660629  {0,2,0}     35    0
108   944   125   152  0.718274  {1,0,0}     36    1
120   950    91    92  0.585817  {0,2,0}     25    1
119   951   174   189  0.215027  {1,1,0}     36    1
80    956    58    59  0.251454  {0,1,0}     23    1
71    961     1     2  0.482827  {0,1,0}     33    1
44    962    50    53  0.422863  {1,1,0}     36    1
68    973   135   136  0.041628  {0,0,1}     33    1
106   975    71    72  0.735296  {0,3,0}     33    1
56    976   116   123  0.529537  {0,1,0}     25    1
117   976   161   164  0.255932  {0,2,0}     39    1
79    983   239   243  0.711347  {1,0,0}     39    1
52    986    67    68  0.684640  {0,2,0}     25    0
38    987   234   235  0.347960  {1,1,0}     33    1
113   995     5     6  0.229350  {0,2,0}     31    0
0    1014    93    94  0.588101  {0,1,1}     30    0
67   1017    59    60  0.848715  {0,1,1}     26    1
65   1022   209   216  0.811014  {0,3,0}     22    1
118  1031    36    38  0.078769  {0,3,0}     39    0
99   1042    81    82  0.947656  {0,2,0}     25    1
10   1054   138   139  0.528866  {0,2,0}     28    0
110  1061    81    89  0.435397  {0,1,0}     36    1
124  1061    63    64  0.113339  {1,0,0}     22    1
35   1086   191   195  0.693023  {1,0,0}     24    1
