map EGL-G2-E
fac 5 10 {0,111,30,64,122}
hosp 1 {0}
n_ALS 6 1 {2:30,2:64,2:122}
n_BLS 16 1 {2:0,6:111,4:30,2:64,2:122}
n_CLS 6 0 {2:0,1:30,3:122}
      c_m  head  tail      c_af      c_d  c_tau  c_h
22     10   228   230  0.908430  {0,2,0}     35    1
80     42    49    56  0.157069  {0,3,0}     38    1
0     191    97   115  0.015524  {0,2,0}     27    0
123   194    17    22  0.118062  {1,0,0}     31    1
108   201   190   192  0.233970  {0,2,0}     33    0
94    212    50    53  0.626782  {0,2,0}     20    1
72    238    50    52  0.884321  {0,1,0}     40    1
19    238    74    75  0.334505  {0,2,0}     34    1
23    289    35    36  0.116899  {1,0,0}     40    1
77    309    35    36  0.300670  {0,1,0}     38    1
110   338   126   127  0.930483  {0,1,0}     30    1
8     345    78    82  0.431262  {1,0,0}     35    1
112   379    83    84  0.806773  {0,3,0}     25    0
21    383   184   188  0.377571  {0,2,0}     27    0
127   403    45    64  0.047798  {0,3,0}     36    1
115   418   168   176  0.794939  {0,3,0}     30    1
58    428    32    34  0.681478  {0,3,0}     31    1
50    466    81    82  0.416284  {0,1,0}     39    0
27    489    23   237  0.766796  {0,0,1}     26    0
37    495   164   165  0.041584  {0,3,0}     37    1
45    496    69    70  0.845845  {0,2,0}     26    1
56    499   163   168  0.455266  {0,3,0}     23    1
35    527   250   251  0.843856  {0,1,0}     21    0
36    532    32    33  0.933227  {1,0,0}     24    1
109   535   217   219  0.819933  {0,2,0}     26    0
76    536   216   217  0.516526  {0,3,0}     24    1
84    547   223   224  0.801297  {0,0,1}     34    1
51    562    31    38  0.963420  {0,1,0}     29    1
10    564    98   127  0.737978  {1,1,0}     28    1
42    567   166   167  0.630384  {0,1,0}     38    1
18    573   202   203  0.418166  {0,1,0}     24    1
54    574   233   254  0.635723  {0,3,0}     32    1
43    589   211   212  0.640408  {1,1,0}     26    1
5     590   199   200  0.856979  {1,1,0}     32    1
71    592    93    94  0.245857  {0,2,0}     36    0
85    595   189   190  0.005363  {0,3,0}     20    0
47    600    76    77  0.857359  {1,3,0}     32    1
33    619   163   167  0.855991  {0,2,0}     29    0
49    633   193   246  0.195549  {1,1,0}     32    1
17    634   145   148  0.716314  {1,3,0}     37    1
70    637   215   221  0.496623  {1,0,0}     29    1
39    658   213   215  0.596311  {1,1,0}     29    1
87    672   223   224  0.107754  {0,1,1}     28    1
30    675   132   133  0.468214  {0,3,0}     35    0
66    688    83    84  0.902205  {0,2,0}     33    1
103   691   125   126  0.754404  {0,2,0}     23    1
29    692   231   232  0.451768  {0,1,0}     35    0
75    700   172   173  0.436453  {1,1,0}     25    1
92    702   146   147  0.452852  {1,0,0}     31    1
120   711   104   114  0.169186  {1,1,0}     30    1
111   732    74    75  0.128001  {0,3,0}     28    0
52    749    16    17  0.261451  {0,2,0}     31    1
117   754   177   181  0.689706  {1,1,0}     28    0
106   775    82    83  0.620887  {0,1,1}     29    1
107   777   240   242  0.018943  {0,0,1}     24    0
