map EGL-G1-B
fac 5 10 {0,93,34,231,114}
hosp 1 {0}
n_ALS 6 1 {4:0,1:34,1:231}
n_BLS 18 1 {3:0,2:93,5:34,4:231,4:114}
n_CLS 5 0 {2:0,1:231,2:114}
      c_m  head  tail      c_af      c_d  c_tau  c_h
28      4   119   161  0.820950  {0,3,0}     29    1
72      5   237   240  0.771173  {1,1,0}     28    1
26      7   174   176  0.566584  {0,1,0}     26    1
44      9    46    47  0.855439  {1,1,0}     34    1
1      29    63    64  0.691608  {0,1,0}     28    0
60     32   116   118  0.485012  {0,1,0}     38    1
52     95   121   123  0.397747  {0,1,0}     22    0
77    160    13    14  0.816742  {0,1,1}     35    1
124   166   186   187  0.818097  {0,1,0}     25    1
32    181   157   159  0.619597  {0,3,0}     22    1
79    183    23   149  0.005114  {0,3,0}     24    1
102   197    49    50  0.906780  {1,0,0}     31    1
110   240   171   172  0.298184  {1,0,0}     35    1
123   317     6     7  0.332833  {1,1,0}     34    1
9     359   219   220  0.194991  {1,0,0}     33    1
39    368    80    81  0.022345  {0,1,0}     35    0
113   394   180   181  0.492551  {0,3,0}     26    1
42    409   102   103  0.108675  {0,2,0}     29    1
12    437   169   173  0.402295  {0,2,0}     33    0
88    444   204   205  0.620489  {0,3,0}     29    0
75    450   194   195  0.952577  {0,0,1}     31    1
20    459   165   166  0.855009  {0,1,0}     22    1
58    462   155   156  0.161501  {0,1,1}     29    0
84    488   203   210  0.893714  {0,1,1}     20    0
3     489   112   114  0.052478  {0,2,0}     37    0
125   502   131   132  0.454077  {0,2,0}     23    0
122   515     9    34  0.692540  {0,3,0}     23    1
108   521    61    62  0.471097  {1,0,0}     26    1
8     576    36    38  0.379654  {0,2,0}     26    1
98    586   161   162  0.144220  {1,1,0}     34    1
59    592    88    89  0.404184  {0,3,0}     36    1
76    595   169   173  0.681796  {0,3,0}     27    1
25    625   211   212  0.869335  {0,1,0}     34    1
43    641    91    92  0.657605  {0,0,1}     38    1
36    648    75    76  0.993549  {0,2,0}     22    1
73    652    66    68  0.039762  {0,0,1}     39    0
95    656    53    54  0.456055  {0,2,0}     38    0
18    670   139   140  0.344826  {0,1,0}     34    0
13    683   100   101  0.790884  {1,1,0}     22    1
116   687   101   102  0.094074  {0,3,0}     32    1
109   690     8    33  0.696799  {1,1,0}     39    1
64    707    65    92  0.831711  {0,2,0}     24    0
35    709   120   121  0.015423  {0,3,0}     30    1
71    717   202   203  0.725568  {1,1,0}     38    1
70    764   147   148  0.424796  {0,3,0}     28    1
117   775   160   164  0.336791  {0,1,0}     23    1
29    780   227   228  0.514690  {1,0,0}     36    1
0     784    19    20  0.931448  {0,2,0}     38    1
46    791   232   233  0.752004  {0,3,0}     26    0
121   793    83    84  0.088965  {0,2,0}     30    1
24    798   134   135  0.650876  {0,1,0}     26    1
67    808   130   131  0.483717  {0,2,0}     35    0
19    822     4     5  0.350975  {1,0,0}     37    1
114   848    48    57  0.128616  {0,0,1}     32    1
111   852    36    38  0.274685  {1,1,0}     36    1
107   862   116   120  0.045859  {0,3,0}     38    0
87    867   150   151  0.279590  {1,1,0}     24    1
56    867    90    95  0.969025  {0,2,0}     21    0
80    876   100   111  0.217561  {1,0,0}     29    1
61    881   157   159  0.463301  {0,3,0}     28    0
49    885    65    66  0.599719  {0,2,0}     39    1
94    889    89    90  0.965370  {1,1,0}     31    1
83    890     0     1  0.159190  {0,0,1}     32    1
85    912   122   123  0.379621  {0,2,0}     32    0
93    914    88    96  0.074235  {0,1,0}     25    1
34    947   139   140  0.303766  {0,1,0}     34    1
54    950    36    39  0.672046  {0,3,0}     35    1
57    962    36    39  0.881795  {0,1,0}     29    1
96    962   199   202  0.753599  {1,1,0}     31    0
90    980   196   197  0.058992  {0,2,0}     36    1
27    981   120   121  0.414322  {0,1,0}     28    1
6    1004    29    31  0.450929  {1,0,0}     21    1
15   1014   120   121  0.485214  {1,0,0}     25    1
45   1020   225   226  0.769678  {1,0,0}     32    1
86   1022   165   177  0.644080  {0,1,0}     21    0
103  1030   153   156  0.349534  {0,3,0}     24    1
104  1035   206   207  0.867448  {0,3,0}     21    1
112  1040    32    33  0.810588  {0,1,0}     35    0
21   1044   104   105  0.180541  {0,1,0}     27    1
65   1046   171   172  0.690681  {0,2,0}     28    0
41   1049   178   182  0.137117  {0,2,0}     36    1
55   1065    31    38  0.081450  {0,2,0}     30    0
68   1066    81    84  0.144168  {0,1,0}     22    1
101  1069   192   193  0.295043  {0,3,0}     28    0
2    1073   135   145  0.139516  {0,2,0}     28    1
10   1081   173   181  0.826109  {0,2,0}     25    1
4    1085   231   236  0.470061  {0,1,0}     39    1
63   1108   104   106  0.390993  {0,1,1}     26    1
51   1114    69    70  0.310547  {0,3,0}     39    0
62   1116    78    79  0.039792  {0,1,0}     26    1
126  1121    26    28  0.955050  {0,1,0}     30    0
100  1121     1    12  0.903539  {1,1,0}     35    1
92   1124   246   247  0.837501  {1,0,0}     39    0
115  1127   155   156  0.346102  {1,1,0}     37    1
89   1130    51    52  0.954497  {1,0,0}     30    1
31   1130    23   149  0.526262  {1,0,0}     31    1
127  1137   152   153  0.135227  {1,0,0}     30    1
119  1148    12    13  0.168119  {0,1,0}     24    1
16   1150    75    76  0.871815  {0,1,0}     28    1
78   1152   137   138  0.659810  {0,2,0}     24    0
82   1161    75    77  0.756095  {0,3,0}     29    1
81   1166   178   179  0.725163  {0,2,0}     24    1
120  1167   111   112  0.274161  {0,1,1}     24    1
53   1169   102   103  0.644311  {0,3,0}     38    1
66   1198   158   159  0.676993  {1,0,0}     36    1
118  1201    63    64  0.183339  {0,1,0}     29    0
22   1218    56    57  0.188813  {0,1,0}     26    1
105  1238    96    97  0.541793  {0,0,1}     36    0
23   1240   228   229  0.304614  {0,3,0}     38    1
7    1243   118   119  0.337831  {0,1,0}     29    1
38   1254   178   179  0.997439  {0,2,0}     37    1
14   1261   228   229  0.027134  {1,0,0}     37    1
50   1264   100   111  0.308941  {0,0,1}     40    0
74   1280   191   193  0.350533  {0,1,1}     29    1
69   1280    39    72  0.847175  {0,1,0}     23    1
40   1280    81    82  0.160062  {1,1,0}     27    1
106  1302   178   183  0.417998  {1,1,0}     20    1
33   1315   128   129  0.429511  {0,2,0}     36    1
48   1317    66    68  0.301500  {1,1,0}     36    1
37   1341   121   123  0.669521  {0,1,0}     27    0
30   1346    37    74  0.875549  {0,1,0}     32    0
47   1356    36    39  0.479042  {0,2,0}     38    0
91   1356     8     9  0.655447  {1,1,0}     26    1
99   1374   155   161  0.291200  {1,1,0}     40    1
97   1375   225   227  0.585834  {0,2,0}     31    0
17   1376   174   176  0.686783  {0,3,0}     24    0
5    1390     8     9  0.425492  {1,1,0}     34    1
11   1403   213   214  0.084512  {0,1,1}     35    1
