map EGL-G1-B
fac 5 10 {0,184,161,229,48}
hosp 3 {0,89,184}
n_ALS 7 1 {3:0,2:184,2:229}
n_BLS 23 1 {3:0,6:184,1:161,5:229,8:48}
n_CLS 10 0 {1:0,2:184,2:161,3:229,2:48}
      c_m  head  tail      c_af      c_d  c_tau  c_h
96      1   131   132  0.847680  {0,2,0}     25    1
121    27   120   121  0.375729  {0,2,0}     33    1
49     35   152   153  0.044824  {0,2,0}     28    0
115    43   215   216  0.109329  {1,1,0}     34    1
47     61   171   172  0.852804  {0,0,1}     38    0
5      82   212   243  0.940615  {0,2,0}     31    1
76    105    23    86  0.464092  {0,1,0}     20    1
15    143   153   156  0.372243  {0,0,1}     30    1
45    156   156   160  0.247493  {1,1,0}     22    1
43    180   206   207  0.663241  {0,3,0}     29    1
7     220   246   248  0.422400  {0,2,0}     35    1
28    226    23   229  0.624201  {0,0,1}     39    1
39    362    57    61  0.865661  {0,1,0}     40    0
32    390   122   123  0.037595  {1,0,0}     32    1
100   390    68    69  0.611659  {1,1,0}     31    1
26    419   176   179  0.083725  {0,1,0}     25    1
110   425    29    31  0.983249  {1,1,0}     37    1
79    426    51    52  0.902168  {0,1,0}     26    1
75    427    56    57  0.480078  {0,1,0}     27    0
50    441   142   144  0.124853  {0,3,0}     37    0
117   443   158   160  0.898168  {0,2,0}     25    0
35    469    39    52  0.700928  {1,1,0}     29    1
56    471    36    37  0.424029  {0,2,0}     37    1
40    471   237   238  0.995194  {0,0,1}     40    1
120   479    57    61  0.317764  {0,2,0}     32    1
92    493    34    41  0.419376  {0,1,0}     21    0
116   511   165   166  0.351535  {0,3,0}     21    0
4     530   213   216  0.557570  {0,2,0}     27    0
77    554   234   236  0.593509  {1,0,0}     32    1
94    555   114   115  0.057101  {1,1,0}     21    1
2     555    54    58  0.281654  {1,1,0}     35    1
41    557   161   162  0.211909  {0,1,0}     20    0
99    575   174   175  0.848178  {0,1,0}     37    0
22    576   203   210  0.076634  {0,2,0}     21    1
54    577   189   241  0.693238  {1,0,0}     39    1
14    601   157   158  0.651690  {1,0,0}     38    1
12    608   215   216  0.829190  {0,1,0}     24    1
104   611   157   159  0.626327  {1,0,0}     33    1
125   621   101   110  0.102500  {0,0,1}     23    1
10    623   100   101  0.322533  {0,1,0}     31    0
85    625    12    16  0.898800  {0,3,0}     34    1
29    641     4    22  0.746761  {1,1,0}     22    1
87    642   120   154  0.049359  {1,1,0}     27    1
88    646    30    33  0.211591  {0,1,0}     23    1
60    649   105   107  0.464422  {1,1,0}     23    0
53    662   160   164  0.707978  {0,1,0}     26    1
124   677   150   151  0.913529  {1,0,0}     39    1
55    680    69    70  0.118080  {0,2,0}     40    1
52    692   177   178  0.764263  {1,0,0}     28    1
19    710   231   232  0.502375  {0,3,0}     40    1
98    716    66    68  0.302182  {0,3,0}     32    1
62    722   124   149  0.249073  {0,2,0}     28    1
59    742   197   198  0.147608  {0,0,1}     20    1
34    756   156   162  0.173564  {0,2,0}     20    1
101   765   123   124  0.544768  {0,2,0}     32    1
95    766   121   123  0.661909  {0,3,0}     21    0
114   770   128   129  0.644574  {1,0,0}     26    1
46    772    20    21  0.419360  {0,2,0}     38    1
0     773   180   181  0.231589  {0,2,0}     26    1
83    779     5    26  0.053833  {0,1,0}     29    1
64    788     7    30  0.784840  {1,1,0}     27    1
103   791   190   191  0.950115  {0,0,1}     25    1
9     796    43    45  0.441326  {0,1,0}     25    1
93    798   162   166  0.300940  {0,2,0}     24    0
3     807    78    79  0.012609  {0,2,0}     36    0
82    808    66    67  0.470947  {0,3,0}     25    1
119   813    45    64  0.412952  {0,2,0}     26    0
44    830    61    62  0.033868  {0,3,0}     37    1
38    851     4     5  0.172673  {0,2,0}     25    0
69    864   231   236  0.342113  {0,2,0}     38    1
31    867   122   123  0.905049  {1,0,0}     39    1
18    869    61    62  0.773899  {0,3,0}     35    0
78    871   196   197  0.202356  {1,0,0}     29    1
33    892   223   224  0.583037  {0,3,0}     39    1
23    900   231   232  0.170471  {0,1,0}     36    1
102   909    90    91  0.433008  {0,3,0}     31    0
97    927   222   225  0.714670  {1,1,0}     26    1
118   928   160   163  0.523714  {0,2,0}     21    0
105   935    43    45  0.160491  {1,0,0}     36    1
86    961   243   244  0.975200  {1,1,0}     26    1
74    972   246   248  0.065985  {0,2,0}     26    1
70    976   156   160  0.630800  {0,2,0}     20    1
113   989    65    92  0.278878  {0,3,0}     30    0
127  1003   245   246  0.841123  {0,2,0}     21    1
91   1004   136   137  0.471083  {0,2,0}     24    0
25   1006    49    50  0.529809  {1,1,0}     24    1
58   1012   157   159  0.406315  {0,3,0}     21    1
126  1020   119   169  0.683760  {0,3,0}     30    1
61   1038   190   192  0.165733  {1,1,0}     23    1
122  1047   226   227  0.202595  {0,3,0}     25    1
16   1048   101   110  0.088136  {0,1,1}     20    1
6    1057    77    81  0.240531  {0,1,0}     33    0
73   1057    29    30  0.301444  {1,0,0}     34    1
1    1071    29    30  0.045969  {0,1,0}     24    0
80   1083   194   195  0.109707  {1,1,0}     24    1
108  1088   125   149  0.363876  {0,3,0}     39    1
68   1098    75    76  0.646150  {0,2,0}     30    0
89   1098    94    95  0.631820  {0,2,0}     31    1
112  1109    68    69  0.325896  {0,3,0}     33    1
37   1113   202   204  0.741636  {1,1,0}     25    1
71   1123   112   113  0.118554  {1,1,0}     32    0
48   1126   202   204  0.069665  {0,3,0}     24    1
65   1130    50    53  0.298975  {1,1,0}     37    1
90   1137   100   111  0.145827  {0,1,0}     38    0
30   1149    19    25  0.567511  {0,2,0}     35    1
123  1161   178   183  0.534395  {1,1,0}     25    1
13   1175    36    37  0.226987  {1,1,0}     29    1
107  1189   244   245  0.196360  {1,1,0}     39    1
109  1197    66    68  0.207630  {0,1,0}     21    1
27   1200   202   204  0.995514  {0,0,1}     26    1
63   1209   100   101  0.716595  {0,1,0}     25    0
11   1224    67    68  0.493485  {0,3,0}     35    1
42   1232   153   157  0.936668  {1,1,0}     38    1
57   1243   121   122  0.968322  {0,1,0}     35    0
