map EGL-G1-E
fac 5 10 {0,123,77,75,152}
hosp 1 {0}
n_ALS 5 1 {1:0,3:123,1:152}
n_BLS 23 1 {8:0,4:123,3:77,3:75,5:152}
n_CLS 10 0 {1:0,1:123,2:77,2:75,4:152}
      c_m  head  tail      c_af      c_d  c_tau  c_h
120     0   165   166  0.850967  {1,0,0}     24    1
11      0   170   171  0.397490  {0,1,0}     32    1
116    86    70    72  0.928882  {0,2,0}     29    1
108   190   130   131  0.141722  {0,3,0}     31    1
115   202    61    62  0.733611  {0,1,1}     39    0
35    206    68    79  0.355497  {0,1,0}     34    0
36    211   163   168  0.180364  {0,1,0}     23    1
109   218    65    91  0.898506  {0,0,1}     38    1
71    229    78    79  0.435268  {0,2,0}     26    1
5     293    22    24  0.568174  {0,1,1}     33    1
63    310    95    97  0.603284  {0,3,0}     31    1
52    406   108   109  0.842849  {0,1,0}     25    0
112   448   245   246  0.318555  {0,2,0}     30    1
50    455   232   233  0.555283  {1,1,0}     37    1
59    487    49    56  0.414578  {0,3,0}     40    1
95    491    90    91  0.552281  {1,3,0}     27    0
37    534   119   161  0.134453  {0,1,1}     39    1
44    537    15    17  0.935519  {0,1,0}     21    1
125   539    43    45  0.279135  {0,1,0}     37    1
126   540   194   195  0.856562  {0,2,0}     20    1
111   548   106   107  0.000648  {0,3,0}     38    1
46    555   184   185  0.527006  {0,2,0}     24    0
104   576    16    18  0.957669  {0,2,0}     30    1
86    577    75    77  0.656395  {0,3,0}     39    1
94    580   128   129  0.069482  {0,2,0}     35    1
33    585   129   136  0.886219  {1,1,0}     37    1
106   592    70    71  0.778594  {1,1,0}     36    1
57    604   232   234  0.964017  {0,1,0}     29    1
20    604    88    96  0.516406  {0,2,0}     21    1
87    604    18    20  0.888777  {1,1,0}     33    1
21    610     7     8  0.861733  {0,1,0}     33    1
62    618   149   150  0.001958  {0,2,0}     30    0
8     628   246   248  0.297465  {1,1,0}     29    1
4     631     5    23  0.251405  {0,3,0}     20    1
13    649    20    21  0.434922  {0,3,0}     28    1
77    659   104   105  0.134822  {0,3,0}     35    1
9     666    65    92  0.794195  {0,1,0}     25    1
22    676   138   139  0.660355  {1,0,0}     24    1
113   678   105   117  0.703122  {0,1,0}     38    1
26    682   112   114  0.970301  {0,3,0}     38    1
79    700    51    52  0.605258  {0,2,0}     32    1
19    703   112   114  0.092354  {0,3,0}     33    1
76    705   146   147  0.724740  {0,3,0}     37    1
61    708    82    83  0.236035  {1,1,0}     34    1
6     719     3    15  0.119999  {0,0,1}     20    1
23    721   155   156  0.425299  {1,0,0}     23    1
0     723   153   156  0.491787  {0,1,0}     29    1
24    723   186   187  0.554468  {0,1,0}     31    1
16    727   165   174  0.973776  {1,0,0}     22    1
27    747   222   225  0.400886  {1,0,0}     29    1
40    750   185   192  0.343423  {0,3,0}     21    1
81    762    27    30  0.617546  {0,1,0}     32    0
3     772    69    70  0.079063  {0,2,0}     37    1
117   776   152   153  0.381482  {0,3,0}     29    1
99    784    37    74  0.268001  {1,0,0}     24    1
92    792    49    50  0.773545  {1,0,0}     37    1
114   817    93    94  0.760083  {0,1,0}     35    0
122   822     5    26  0.807993  {0,1,0}     37    1
105   823   139   141  0.415593  {0,1,0}     27    1
55    827    84   100  0.781200  {1,1,0}     22    1
121   827   136   137  0.311592  {1,3,0}     24    1
80    831   103   104  0.955792  {0,2,0}     24    1
72    848    85    86  0.249873  {0,2,0}     33    0
88    855    36    39  0.167433  {0,3,0}     37    0
58    859   246   248  0.072897  {1,0,0}     40    1
29    869   244   245  0.928985  {1,0,0}     28    1
18    870    34    41  0.361855  {0,2,0}     37    1
1     871    27    28  0.538246  {0,1,0}     20    1
42    873   189   190  0.191581  {0,0,1}     29    0
103   876   134   146  0.709218  {0,1,0}     37    0
102   879   197   198  0.019191  {0,1,0}     36    0
49    884   191   193  0.831722  {0,1,0}     26    1
84    885   240   242  0.859568  {0,2,0}     25    1
2     903    19    20  0.736987  {1,1,0}     30    1
124   909   149   150  0.727249  {0,1,0}     25    1
82    909    81    84  0.822148  {0,0,1}     25    1
100   919   240   241  0.196832  {0,1,1}     35    1
65    925    23    86  0.507570  {0,1,1}     30    0
7     930   132   134  0.217564  {0,2,0}     38    1
54    933    58    59  0.176828  {0,2,0}     26    1
97    940    50    53  0.467856  {0,1,1}     36    1
70    944    68    79  0.102736  {0,1,1}     29    0
98    949   110   113  0.738835  {1,0,0}     22    1
69    972   177   184  0.740163  {0,1,0}     40    1
17    975    98   131  0.474766  {0,2,0}     20    1
78    993   175   176  0.502054  {0,1,0}     28    0
32    995     6     7  0.155229  {0,0,1}     39    0
74    999    23   229  0.638537  {0,1,1}     33    1
15   1019    18    19  0.378496  {0,3,0}     27    1
47   1025     8     9  0.115376  {0,1,0}     21    1
64   1032   117   118  0.986689  {1,1,0}     21    1
56   1068   178   179  0.013253  {0,2,0}     22    1
31   1085   112   114  0.708299  {1,0,0}     27    1
28   1099    49    50  0.354020  {0,2,0}     33    1
45   1102   107   108  0.584266  {0,3,0}     32    1
48   1103   191   194  0.182216  {1,0,0}     40    1
75   1107     9    10  0.394603  {0,1,1}     20    1
96   1109   243   244  0.449115  {0,1,0}     24    1
41   1110   212   243  0.492450  {0,1,0}     24    0
53   1110    72    73  0.228746  {0,2,0}     23    0
107  1115   190   191  0.334673  {0,3,0}     30    1
30   1116    81    82  0.745403  {0,2,0}     31    1
73   1136   102   110  0.972773  {0,2,0}     31    0
14   1142    43    45  0.568793  {0,2,0}     33    1
51   1149   204   205  0.364904  {1,1,0}     33    1
67   1155    30    33  0.357650  {1,0,0}     30    1
89   1155   127   138  0.616510  {1,1,0}     24    1
39   1180    77    78  0.707819  {1,1,0}     30    1
118  1180   164   165  0.895160  {0,2,0}     28    1
12   1188   228   229  0.067426  {0,3,0}     26    0
119  1188   207   208  0.446573  {0,3,0}     31    0
123  1208    92    93  0.950715  {1,0,0}     23    1
25   1209    67    68  0.209246  {1,0,0}     34    1
60   1225   127   128  0.534976  {0,1,0}     26    1
10   1230    39    40  0.648022  {0,1,0}     24    1
93   1236   219   220  0.584757  {0,0,1}     25    1
43   1243    27    28  0.310542  {0,2,0}     28    0
83   1245   222   225  0.986430  {1,3,0}     25    1
68   1264   198   200  0.943194  {1,1,0}     32    1
101  1287    30    33  0.891067  {0,2,0}     37    1
66   1303   101   110  0.475811  {0,1,0}     32    1
110  1339   197   198  0.888474  {0,1,0}     29    1
90   1343    12    13  0.522911  {0,2,0}     26    1
127  1349   129   130  0.195152  {0,1,0}     23    1
34   1367    95    97  0.665616  {1,0,0}     23    1
85   1387   244   249  0.951529  {1,1,0}     22    1
91   1411    66    68  0.052168  {0,0,1}     28    0
38   1432   103   113  0.324653  {0,0,1}     29    0
