map EGL-G2-E
fac 5 10 {0,163,245,209,121}
hosp 1 {0}
n_ALS 7 1 {3:0,2:163,2:245}
n_BLS 16 1 {4:0,3:245,4:209,5:121}
n_CLS 7 0 {2:0,3:163,1:245,1:209}
      c_m  head  tail      c_af      c_d  c_tau  c_h
94     26     3    15  0.219866  {0,3,0}     22    0
127    29    99   100  0.090841  {0,1,0}     37    1
73     37   103   104  0.074252  {0,3,0}     25    1
67     41    39    52  0.573083  {0,1,1}     36    0
53     63   225   226  0.690765  {0,3,0}     22    0
115    90    89    90  0.981269  {0,3,0}     23    1
80    106   188   189  0.612446  {0,2,0}     37    1
36    109   201   202  0.571914  {1,3,0}     37    1
51    117   219   223  0.894657  {1,0,0}     22    1
69    123    29    31  0.112512  {0,3,0}     36    1
108   131    20    21  0.538209  {1,1,0}     34    0
83    187   228   230  0.510526  {0,0,1}     34    1
8     222   225   226  0.619125  {1,0,0}     28    1
6     268    34    41  0.555960  {1,0,0}     21    1
5     302   159   161  0.017371  {0,1,0}     21    0
63    343    46    47  0.440361  {0,2,0}     22    0
20    347    19    25  0.355492  {0,1,0}     30    1
32    362   226   229  0.716610  {0,3,0}     20    1
103   390   211   212  0.681354  {1,0,0}     24    1
92    402   192   193  0.314790  {1,1,0}     24    1
1     416   237   238  0.243931  {1,1,0}     34    1
16    429     7     8  0.762340  {0,3,0}     38    1
123   478     1     2  0.650564  {0,1,0}     36    1
74    484     2    14  0.381060  {0,2,0}     37    0
25    515    74    76  0.382604  {0,1,0}     36    0
126   520   104   105  0.236025  {0,2,0}     20    1
64    527    22    24  0.919153  {1,0,0}     37    1
122   540   226   251  0.932495  {1,1,0}     38    1
97    545    59    60  0.853856  {0,1,0}     35    0
37    555    91    92  0.199770  {0,2,0}     34    0
109   563   245   247  0.684843  {0,1,1}     39    0
106   586   239   240  0.188188  {0,2,0}     39    1
79    589     1     2  0.580605  {0,1,0}     21    1
28    610   175   177  0.311610  {0,3,0}     35    1
110   624   128   129  0.637791  {0,1,0}     38    1
2     626    76    77  0.352611  {1,1,0}     22    1
3     631    23   150  0.653234  {0,2,0}     29    1
30    636     0    21  0.718083  {1,0,0}     26    1
60    645    26    28  0.318139  {0,3,0}     21    0
84    646    32    33  0.458108  {0,1,1}     39    1
85    650    17    22  0.115001  {0,3,0}     38    0
71    655   116   117  0.989034  {0,2,0}     39    0
44    661    41    51  0.937143  {0,1,1}     34    1
0     692    36    37  0.521168  {1,0,0}     28    1
40    695   190   192  0.457252  {1,0,0}     28    1
114   697    99   132  0.475042  {0,1,0}     38    1
7     707   201   202  0.098946  {0,1,1}     38    0
81    719    99   131  0.963887  {1,0,0}     33    0
107   720   185   186  0.747207  {0,2,0}     32    0
100   721    70    79  0.705082  {0,2,0}     29    0
50    725   239   243  0.789779  {0,1,0}     29    0
58    729   157   161  0.710957  {0,1,0}     38    0
33    729   151   153  0.873594  {0,1,0}     22    0
41    729    36    37  0.953358  {0,2,0}     28    1
39    740    72    73  0.047095  {1,1,0}     20    1
52    745    14    15  0.871964  {0,1,1}     25    1
98    749    60    68  0.272746  {0,2,0}     38    1
13    777   151   153  0.680181  {0,1,0}     36    1
90    797    76    78  0.365253  {0,1,0}     40    1
10    798   140   142  0.269666  {1,1,0}     30    1
86    799   154   158  0.587061  {0,0,1}     29    1
105   808   196   197  0.502038  {0,3,0}     34    1
14    820   117   119  0.797127  {0,2,0}     33    1
117   823   195   196  0.193352  {1,0,0}     36    1
113   826   151   152  0.298846  {0,2,0}     35    0
102   826    82    85  0.556116  {0,0,1}     23    0
23    828   174   183  0.451190  {1,0,0}     28    1
4     831   163   168  0.903954  {0,1,0}     37    1
118   835   115   116  0.810918  {1,0,0}     34    1
101   840     9    34  0.667953  {0,1,1}     29    0
47    871   116   123  0.436474  {1,1,0}     37    1
65    874   178   179  0.065246  {0,2,0}     20    1
48    874   204   205  0.436126  {0,1,0}     37    1
61    897   125   126  0.290607  {0,1,1}     22    0
38    900   249   252  0.817573  {0,2,0}     40    1
75    901   175   176  0.430000  {0,1,0}     29    0
96    906   105   107  0.348875  {1,0,0}     23    1
104   908    43    45  0.828973  {0,2,0}     21    1
76    911    24    25  0.725465  {0,1,0}     20    1
22    928   108   109  0.671286  {0,0,1}     22    0
82    948    54    55  0.503491  {1,0,0}     33    1
43    953   190   191  0.885184  {0,3,0}     35    1
49    960   208   210  0.640331  {0,1,1}     21    1
18    977   234   239  0.312080  {0,2,0}     27    1
124   983   179   183  0.362852  {0,2,0}     26    1
112   999   141   142  0.300258  {0,2,0}     27    1
111  1005    83    84  0.250568  {0,2,0}     36    0
42   1010   104   114  0.109354  {0,2,0}     33    0
11   1012     7     8  0.409543  {0,3,0}     25    0
55   1023   181   182  0.589269  {0,2,0}     23    0
34   1035   125   150  0.459701  {0,2,0}     26    1
17   1039   250   251  0.901224  {0,2,0}     28    1
72   1041    79    80  0.906972  {1,1,0}     21    1
24   1057   115   116  0.984520  {0,0,1}     38    1
89   1066    83    84  0.673697  {0,2,0}     39    1
87   1069   125   150  0.541339  {0,3,0}     26    0
95   1086   226   229  0.589014  {1,2,0}     26    1
26   1086   122   123  0.546598  {0,1,0}     39    0
9    1124   120   162  0.891808  {0,1,0}     21    1
99   1140   184   185  0.843305  {0,1,1}     36    0
19   1158    91    92  0.321829  {0,2,0}     23    1
31   1159   249   250  0.575382  {0,1,0}     36    1
66   1170    73    74  0.394438  {0,1,0}     27    1
77   1181   213   214  0.183955  {1,1,0}     30    1
57   1193    46    47  0.716268  {1,1,0}     29    1
91   1200   158   160  0.622912  {0,2,0}     40    0
27   1205   179   180  0.240308  {0,3,0}     27    1
88   1215   239   240  0.675334  {0,2,0}     35    1
70   1215    60    68  0.865314  {0,2,0}     21    1
