map EGL-G2-E
fac 5 10 {0,244,159,5,98}
hosp 1 {0}
n_ALS 6 1 {2:0,1:244,3:5}
n_BLS 18 1 {6:0,6:244,1:159,3:5,2:98}
n_CLS 6 0 {1:0,3:159,2:98}
      c_m  head  tail      c_af      c_d  c_tau  c_h
20     12   165   166  0.214400  {0,3,0}     35    0
70     33   152   155  0.326731  {0,1,1}     27    1
78     43   233   235  0.603817  {0,1,0}     23    0
106    49    40    41  0.091838  {0,3,0}     25    1
119    83    93    94  0.365025  {0,3,0}     34    0
104    97   140   142  0.128020  {0,2,0}     34    1
112   154   208   209  0.109752  {1,0,0}     36    1
18    178   104   114  0.673688  {0,1,0}     32    1
114   187    53    54  0.099409  {1,0,0}     32    1
123   187   247   248  0.880526  {1,1,0}     28    1
126   197   239   244  0.373938  {1,0,0}     37    1
72    209    76    78  0.851615  {0,3,0}     29    1
116   252   151   152  0.509399  {0,2,0}     28    0
30    259   196   197  0.186324  {0,3,0}     30    1
82    339     2    14  0.498341  {1,0,0}     23    1
92    389    95    99  0.141008  {0,3,0}     34    1
107   395   113   115  0.523278  {0,1,0}     31    1
38    397    61    62  0.633382  {0,3,0}     31    0
40    444    46    47  0.116008  {1,1,0}     28    1
81    461    36    39  0.384589  {0,3,0}     34    1
68    462    67    68  0.299633  {1,3,0}     40    1
117   465   202   209  0.372203  {0,2,0}     39    1
0     483   233   234  0.952697  {0,1,0}     29    1
102   483    27    30  0.100245  {1,3,0}     34    1
2     499   104   105  0.299409  {1,0,0}     26    1
29    506    99   100  0.253238  {0,1,1}     34    0
67    509    50    51  0.513610  {0,2,0}     34    0
113   512   186   198  0.528792  {0,0,1}     30    0
47    529   209   216  0.816023  {1,0,0}     37    1
32    566    39    52  0.435224  {0,2,0}     23    0
1     570   137   138  0.588933  {1,1,0}     32    1
124   582   244   253  0.263743  {0,2,0}     38    1
41    585   145   148  0.104297  {0,2,0}     37    0
73    586   101   102  0.777421  {0,1,1}     28    0
120   588   204   206  0.524680  {1,1,0}     39    1
24    593    20    21  0.394240  {1,1,0}     21    1
36    595   204   205  0.917513  {0,1,1}     31    0
65    606   152   153  0.666404  {0,2,0}     30    1
31    614   178   185  0.516626  {0,1,1}     31    1
76    620    94    95  0.544920  {0,1,0}     38    0
127   633    90    92  0.217636  {1,1,0}     31    1
6     635    65    66  0.979448  {0,2,0}     39    0
57    641    18    19  0.200277  {0,2,0}     20    1
105   644   103   104  0.136310  {1,0,0}     32    1
101   648    66    92  0.777528  {0,1,0}     20    0
42    653    37    75  0.526898  {1,3,0}     33    1
93    663    18    20  0.469386  {0,2,0}     33    1
50    663    93    94  0.434452  {1,0,0}     32    1
34    664   112   113  0.912343  {0,1,0}     40    1
22    668   148   149  0.083585  {0,1,0}     24    1
69    670   122   123  0.541923  {1,0,0}     21    1
14    670   146   147  0.195684  {0,0,1}     20    0
61    671     3     4  0.324073  {0,2,0}     22    1
85    672    25    26  0.834496  {1,1,0}     36    1
