map EGL-G1-C
fac 5 10 {0,150,241,64,162}
hosp 2 {0,237}
n_ALS 8 1 {1:241,3:64,4:162}
n_BLS 17 1 {5:0,3:150,3:241,4:64,2:162}
n_CLS 5 0 {1:150,2:64,2:162}
      c_m  head  tail      c_af      c_d  c_tau  c_h
43     62   178   183  0.201229  {0,1,0}     35    1
114    97   174   176  0.132347  {0,2,0}     27    1
83    173   120   154  0.934952  {0,3,0}     23    0
118   189     5    26  0.430968  {0,3,0}     25    1
1     199   147   148  0.552541  {0,1,0}     24    1
111   272   141   142  0.016594  {1,0,0}     39    1
95    303    24    26  0.651619  {0,1,0}     27    0
55    309    29    31  0.230889  {0,2,0}     22    1
9     347   140   141  0.173904  {0,2,0}     24    0
122   360    15    17  0.398902  {0,1,1}     20    1
3     364   121   122  0.511629  {0,2,0}     27    0
12    453    59    60  0.507952  {0,2,0}     39    1
20    467    91    92  0.729314  {0,1,0}     25    0
124   476    50    52  0.449915  {0,1,1}     22    0
103   487   117   118  0.382451  {0,1,0}     40    1
104   504   211   212  0.011952  {0,2,0}     37    1
117   513   169   173  0.712045  {0,1,0}     36    1
31    514   186   187  0.027065  {0,1,1}     39    1
70    521    14    15  0.740102  {0,1,0}     20    1
86    540    10    11  0.114095  {0,1,1}     28    1
21    541    75    76  0.599419  {0,1,0}     29    1
69    544   213   214  0.543888  {0,1,0}     31    1
127   552   100   101  0.913095  {0,3,0}     36    0
67    559   174   175  0.707917  {0,1,0}     38    1
0     566    79    80  0.689923  {0,1,0}     24    1
15    566    40    41  0.828869  {0,1,0}     30    1
35    584   135   145  0.244976  {0,3,0}     21    0
19    594   127   128  0.814569  {1,1,0}     28    1
78    594   211   213  0.405142  {1,0,0}     39    1
113   597    51    52  0.160689  {0,1,0}     40    0
11    604   140   149  0.761853  {0,2,0}     24    1
7     612    90    95  0.267249  {1,1,0}     26    1
98    613     1     2  0.320953  {0,1,0}     35    1
121   616    39    40  0.113258  {0,2,0}     24    1
32    619    94    95  0.853423  {0,3,0}     39    1
17    643   228   229  0.110630  {0,2,0}     22    0
62    664   142   143  0.816302  {0,1,0}     26    1
33    672   125   149  0.764848  {1,0,0}     34    1
75    674   102   110  0.646087  {1,1,0}     36    1
123   678    15    17  0.382139  {0,1,0}     35    1
93    679    45    64  0.738795  {1,0,0}     39    1
120   683   157   158  0.489310  {0,2,0}     32    0
106   686   244   249  0.892507  {1,1,0}     32    1
108   694   177   178  0.028702  {0,2,0}     28    0
91    709   155   156  0.300193  {0,1,0}     37    1
16    712   160   164  0.630922  {0,1,1}     31    1
23    726   120   121  0.345897  {0,3,0}     23    1
37    729    38    40  0.681528  {0,0,1}     31    0
38    731    50    53  0.835979  {0,0,1}     36    1
56    748    39    72  0.801581  {0,2,0}     21    1
54    762    16    18  0.415176  {0,1,0}     32    1
51    764    20    21  0.413267  {0,1,0}     34    0
112   786   226   231  0.819424  {0,2,0}     26    1
68    797   120   121  0.354918  {0,1,0}     27    0
46    800   135   145  0.807159  {1,0,0}     36    1
79    800    53    55  0.153380  {0,1,0}     24    0
8     810   207   209  0.061911  {1,2,0}     29    1
59    811    50    53  0.588678  {1,0,0}     34    1
40    815    47    48  0.616505  {1,1,0}     26    1
5     823    96   114  0.709431  {1,0,0}     27    1
41    825   165   174  0.139856  {0,1,0}     31    1
57    839    40    41  0.430255  {0,1,0}     30    0
88    840   126   127  0.540672  {1,1,0}     30    1
22    845    14    15  0.034449  {1,0,0}     31    0
14    848     6    27  0.024154  {0,1,0}     31    1
125   858     9    10  0.339999  {1,0,0}     33    1
4     859    39    40  0.760166  {0,1,0}     32    0
49    865   229   230  0.351094  {0,1,0}     30    1
94    881    23   149  0.823411  {1,0,0}     33    1
101   894   199   201  0.872247  {0,2,0}     35    1
89    906   169   173  0.113128  {0,3,0}     37    1
77    907    65    66  0.845378  {0,2,0}     34    1
26    915    56    57  0.661344  {0,1,0}     30    0
53    921   145   146  0.074396  {1,1,0}     38    1
58    925   151   152  0.157880  {1,0,0}     21    1
29    936    62    63  0.171596  {0,1,0}     37    0
63    945   229   230  0.361239  {1,0,0}     20    1
73    947   212   243  0.388722  {1,1,0}     37    0
97    960    83    85  0.505719  {0,0,1}     24    0
18    970   120   121  0.857290  {0,2,0}     23    1
87    980   228   230  0.632486  {0,1,0}     29    1
61    985    38    40  0.413831  {0,1,0}     20    0
6     985   117   118  0.258300  {0,1,0}     23    1
82    986    10    41  0.612333  {0,1,0}     36    0
126   989     3    15  0.741782  {0,0,1}     27    1
27    990   245   246  0.320207  {0,2,0}     33    0
90    993    47    64  0.034030  {0,2,0}     24    1
25    997    48    49  0.263386  {0,3,0}     25    0
47   1000    23   149  0.812327  {0,2,0}     32    1
34   1025   170   171  0.583626  {0,1,0}     38    1
48   1026    16    18  0.544918  {0,0,1}     40    1
85   1027    57    61  0.631945  {1,2,0}     35    1
13   1030    11    42  0.877490  {1,1,0}     38    1
50   1039   199   201  0.374621  {0,1,0}     23    0
36   1050    60    67  0.593096  {0,1,0}     25    0
72   1051   103   113  0.762800  {0,2,0}     33    1
45   1058    36    39  0.851842  {0,1,0}     36    0
102  1062    39    52  0.312556  {1,1,0}     27    1
84   1066   105   117  0.295007  {1,0,0}     22    1
60   1086    68    69  0.549587  {1,1,0}     39    1
2    1093    73    75  0.915437  {0,2,0}     40    1
64   1097    89    90  0.404741  {1,1,0}     39    1
39   1109   103   104  0.528582  {0,1,1}     23    1
44   1112   219   221  0.282513  {1,2,0}     33    1
96   1129     7     8  0.702484  {0,2,0}     33    1
10   1130   213   216  0.800037  {0,0,1}     28    1
