map EGL-G2-E
fac 5 10 {0,65,147,85,188}
hosp 2 {0,130}
n_ALS 10 1 {6:0,3:65,1:147}
n_BLS 17 1 {4:0,7:147,3:85,3:188}
n_CLS 7 0 {2:65,2:147,1:85,2:188}
      c_m  head  tail      c_af      c_d  c_tau  c_h
6       5   121   122  0.635801  {0,2,0}     34    0
44      6   186   188  0.466779  {0,1,0}     38    0
93     27    43    44  0.888061  {0,3,0}     35    1
113    67    31    32  0.058846  {1,1,0}     30    1
114    83   154   157  0.305598  {0,2,0}     20    1
96    304    66    93  0.976869  {0,3,0}     39    1
36    346   161   165  0.647462  {0,2,0}     21    1
37    350    74    75  0.493319  {1,1,0}     21    1
89    363   226   229  0.175209  {0,2,0}     35    1
43    376   157   161  0.531230  {0,1,0}     38    0
74    393    90    92  0.341910  {0,3,0}     20    1
69    421   128   139  0.419494  {0,2,0}     25    1
75    432   143   145  0.850693  {0,1,0}     21    1
127   443   139   140  0.638275  {0,1,0}     39    0
23    446   104   105  0.851840  {0,1,0}     35    1
14    459    54    55  0.750939  {0,1,0}     24    1
83    459   188   189  0.059505  {1,0,0}     38    1
16    463   155   156  0.619765  {0,2,0}     34    0
58    478   167   168  0.424100  {0,1,0}     25    1
12    499    34    41  0.387038  {0,3,0}     32    1
32    505    19    25  0.542191  {0,1,0}     32    1
31    511    23   150  0.968713  {0,2,0}     29    1
60    516    36    39  0.633606  {0,0,1}     24    1
48    528   139   140  0.717994  {0,2,0}     23    1
39    535   219   223  0.197421  {0,2,0}     24    1
82    537     9    10  0.568330  {0,1,0}     36    1
70    555   115   116  0.129405  {0,2,0}     30    1
2     563    60    68  0.438834  {1,0,0}     35    1
77    568    65    66  0.988814  {1,3,0}     36    1
52    573    13    14  0.959105  {0,2,0}     24    0
101   586   101   102  0.726444  {0,3,0}     30    0
65    587   205   207  0.463120  {0,0,1}     26    1
117   591    57    61  0.829516  {0,1,0}     40    1
63    600    30    33  0.718699  {0,3,0}     20    1
109   602   227   231  0.050645  {0,3,0}     33    0
41    602   179   180  0.369842  {1,1,0}     21    1
38    620   145   148  0.468432  {0,1,0}     37    1
100   630   190   192  0.559295  {1,0,0}     23    1
15    652    14    15  0.248192  {0,2,0}     32    1
9     665   166   175  0.611583  {0,3,0}     21    1
33    678    36    37  0.806240  {1,1,0}     32    1
66    686    78    79  0.280988  {0,2,0}     35    1
107   690    71    72  0.158455  {1,1,0}     23    1
29    693    11    42  0.786737  {0,2,0}     32    0
13    696   190   192  0.103127  {0,1,0}     24    1
27    702    39    73  0.383107  {1,0,0}     31    1
72    704   109   110  0.477785  {0,1,0}     39    1
34    706    87    88  0.399806  {0,1,0}     25    0
21    712    99   132  0.749307  {0,3,0}     40    1
35    712    78    79  0.585662  {0,1,1}     35    0
78    720   206   207  0.812530  {0,1,0}     34    1
20    731   244   253  0.732716  {1,0,0}     30    1
98    732     5    26  0.130065  {0,2,0}     23    1
85    739   113   115  0.325644  {1,0,0}     39    1
105   755   172   173  0.247158  {0,2,0}     34    1
59    764    99   100  0.186782  {1,1,0}     21    1
7     774   208   210  0.957488  {0,2,0}     39    0
49    786   220   221  0.382052  {0,1,0}     28    0
11    803    61    65  0.899796  {1,1,0}     26    1
84    805     5     6  0.846993  {0,2,0}     33    1
0     810   130   131  0.361784  {0,1,1}     36    1
71    831    61    65  0.218689  {0,1,0}     23    0
