map EGL-G2-A
fac 5 10 {0,193,134,37,150}
hosp 3 {0,8,121}
n_ALS 7 1 {1:0,2:193,2:134,2:37}
n_BLS 20 1 {4:0,6:193,3:134,3:37,4:150}
n_CLS 6 0 {1:0,1:134,2:37,2:150}
      c_m  head  tail      c_af      c_d  c_tau  c_h
112    38     5     6  0.443454  {0,1,0}     22    1
15     85   164   165  0.548505  {0,1,0}     22    1
93    162   174   189  0.589551  {1,1,0}     21    1
110   237   152   153  0.628714  {0,3,0}     37    1
66    238   208   210  0.145587  {1,1,0}     31    1
78    268    82    85  0.746386  {0,1,0}     21    1
115   289   217   218  0.471827  {0,3,0}     22    0
113   295   117   121  0.950423  {0,2,0}     34    0
57    304     6     7  0.430406  {0,2,0}     20    0
73    349   201   202  0.645342  {1,0,0}     25    1
117   356    76    77  0.224047  {1,0,0}     31    1
63    386    35    36  0.093073  {0,1,0}     22    1
39    435   197   200  0.351984  {1,1,0}     28    1
124   441   239   244  0.556841  {1,1,0}     39    1
103   479    99   132  0.292684  {1,1,0}     25    1
16    487    12    16  0.086579  {0,0,1}     39    0
68    495   129   130  0.881499  {0,3,0}     38    1
121   502    21    35  0.828725  {0,1,1}     27    0
27    508   233   234  0.468051  {0,1,0}     36    1
96    516   129   130  0.871877  {0,3,0}     37    1
46    539   140   142  0.566601  {0,1,1}     20    1
55    543   236   238  0.614944  {0,0,1}     30    1
49    546    97   112  0.878519  {0,2,0}     28    1
7     559   118   119  0.677475  {0,1,0}     35    1
126   560    74    76  0.715337  {1,0,0}     22    1
37    572    28    29  0.359794  {1,1,0}     37    1
41    577   213   214  0.666813  {0,2,0}     20    0
28    597    90    91  0.715342  {0,2,0}     31    1
97    616    47    64  0.409115  {0,1,0}     35    0
51    622   101   112  0.051779  {0,1,0}     20    0
119   625    50    53  0.060754  {0,0,1}     21    1
99    641   174   183  0.653149  {1,0,0}     20    1
81    641    82    83  0.522819  {0,3,0}     33    1
22    642    78    79  0.519299  {1,1,0}     20    1
88    658    38    40  0.098479  {0,1,0}     33    1
118   667   102   103  0.797571  {0,1,0}     24    1
3     670   122   123  0.584097  {0,1,0}     22    0
43    674   143   145  0.621515  {0,3,0}     31    1
83    675    81    89  0.694264  {0,1,0}     37    1
53    677    42    43  0.340698  {1,0,0}     21    1
44    691   193   194  0.971582  {0,3,0}     22    1
90    706   240   242  0.042891  {0,0,1}     32    1
5     707    32    33  0.708469  {1,1,0}     33    1
12    728   234   235  0.700618  {0,2,0}     31    0
21    739   233   234  0.763473  {1,1,0}     23    1
62    739    23   237  0.245020  {0,0,1}     35    0
105   740    82    85  0.295888  {0,0,1}     27    1
30    742   215   221  0.961687  {1,1,0}     20    1
11    761    82    85  0.677502  {0,2,0}     29    1
14    787   140   141  0.954133  {0,2,0}     39    0
60    794    26    28  0.322325  {0,2,0}     22    0
1     794    99   132  0.435047  {0,3,0}     28    1
104   798   171   172  0.188714  {0,2,0}     40    1
91    800    59    72  0.678439  {1,0,0}     21    1
123   807   243   245  0.899493  {0,1,0}     35    1
120   829   213   214  0.832654  {0,1,0}     38    0
64    840   245   246  0.800841  {0,1,0}     23    1
125   849   227   231  0.870405  {0,3,0}     27    1
10    855    18    20  0.292549  {0,2,0}     37    1
36    865    23   171  0.756187  {0,2,0}     39    1
72    873   117   119  0.535076  {0,1,0}     21    1
50    875   139   140  0.753900  {0,1,1}     30    1
109   885   198   199  0.388202  {0,0,1}     25    1
31    906   251   254  0.821918  {0,2,0}     31    0
9     911    78    79  0.252096  {1,1,0}     25    1
67    918   155   156  0.208029  {0,1,0}     36    1
76    934    74    76  0.060870  {0,2,0}     40    0
47    942    76    77  0.018923  {0,1,0}     23    0
24    944   157   163  0.029699  {0,1,0}     29    1
58    945    70    79  0.600088  {1,1,0}     23    1
52    947    35    36  0.095940  {1,1,0}     35    0
33    952   121   122  0.422598  {1,0,0}     25    1
85    956   159   161  0.748562  {0,1,0}     21    1
111   958    74    75  0.523714  {0,1,0}     31    1
80    959    23   237  0.532354  {0,3,0}     33    1
25    976   135   147  0.018621  {0,1,0}     39    1
77    977    22    24  0.710076  {1,1,0}     30    1
56    982    91    96  0.846437  {0,0,1}     39    1
86    984   251   252  0.831592  {0,0,1}     30    0
108   984    46    47  0.602680  {0,1,1}     35    1
29    987   233   235  0.055103  {0,2,0}     40    1
38    987   192   193  0.222180  {0,1,0}     40    0
116   994    54    58  0.173797  {0,2,0}     36    1
45    998    95    99  0.636049  {0,3,0}     36    0
61   1003     2    14  0.065361  {0,0,1}     38    1
35   1004    48    49  0.538206  {1,1,0}     30    1
95   1012   174   189  0.974586  {0,2,0}     28    1
40   1024   156   157  0.356727  {0,0,1}     39    0
65   1028    31    38  0.347403  {0,1,0}     20    1
107  1028    97   115  0.073689  {0,1,0}     29    0
20   1029    31    32  0.149725  {0,2,0}     40    0
98   1029   201   203  0.165737  {0,3,0}     20    1
75   1044   146   147  0.374507  {0,2,0}     40    1
32   1056    12    13  0.268619  {1,1,0}     21    1
69   1059   198   199  0.103955  {0,1,0}     35    0
74   1064   140   141  0.755313  {1,0,0}     20    1
54   1070   244   253  0.626085  {0,3,0}     22    1
19   1076    61    65  0.862612  {0,2,0}     34    0
84   1081    84    85  0.448834  {0,1,0}     25    1
71   1081     8     9  0.239736  {0,2,0}     31    0
122  1082   226   227  0.715644  {0,1,0}     39    1
89   1096   219   220  0.961073  {0,3,0}     20    0
6    1106   164   165  0.853718  {0,2,0}     37    1
101  1109    48    49  0.214516  {0,1,0}     33    1
42   1118   199   200  0.211597  {0,1,0}     28    1
2    1147    61    65  0.599970  {0,2,0}     29    1
102  1155   203   204  0.745863  {0,3,0}     23    1
13   1157    84    85  0.115733  {0,1,0}     33    0
4    1166   186   198  0.027375  {0,1,0}     39    0
0    1196     6    27  0.423067  {1,1,0}     28    1
18   1203    27    30  0.058799  {0,2,0}     31    1
100  1204   233   235  0.473483  {0,2,0}     35    0
23   1250   125   152  0.523795  {0,3,0}     37    0
94   1256   171   172  0.170283  {0,3,0}     25    1
17   1276    39    40  0.914095  {0,1,1}     21    0
8    1299   124   125  0.513965  {0,1,0}     21    0
92   1309   237   238  0.230990  {0,2,0}     20    1
48   1314    24    25  0.448577  {0,3,0}     38    1
59   1317    93    94  0.755760  {0,2,0}     30    1
114  1331   129   138  0.245673  {0,1,0}     34    0
34   1354   226   229  0.735636  {0,2,0}     27    0
106  1380   253   254  0.307993  {0,1,0}     26    1
79   1395   167   168  0.721199  {1,0,0}     20    1
82   1398   217   219  0.222311  {1,1,0}     20    1
26   1401   141   142  0.365011  {0,1,0}     38    0
87   1415   102   103  0.267940  {0,3,0}     26    1
127  1421   159   160  0.911222  {0,3,0}     37    1
70   1433   226   227  0.944144  {0,1,1}     24    0
