map EGL-G2-B
fac 5 10 {0,250,3,76,225}
hosp 2 {0,33}
n_ALS 6 1 {1:0,2:3,3:76}
n_BLS 16 1 {3:0,2:250,5:3,3:76,3:225}
n_CLS 6 0 {2:0,1:250,1:3,2:225}
      c_m  head  tail      c_af      c_d  c_tau  c_h
42      9    54    58  0.780995  {0,1,0}     34    1
66     43   117   121  0.396571  {1,1,0}     27    0
105    50    83    84  0.363621  {1,0,0}     39    1
20     58   180   181  0.007883  {0,1,0}     35    1
54    137    74    75  0.564897  {0,3,0}     33    1
23    137   119   120  0.240196  {0,2,0}     23    1
33    149   116   123  0.402164  {0,1,0}     29    0
127   193   157   163  0.764565  {0,1,1}     29    1
99    231    54    58  0.613038  {0,3,0}     38    0
82    242    65    66  0.160574  {1,1,0}     21    1
93    335    23    87  0.574121  {0,1,0}     29    1
97    344    99   132  0.664810  {1,1,0}     25    1
91    347   186   188  0.281538  {0,3,0}     28    1
81    360    26    28  0.970635  {1,1,0}     36    1
51    441   174   182  0.508623  {0,1,0}     37    1
11    455    30    33  0.064071  {0,1,0}     30    0
0     459   244   253  0.010687  {0,3,0}     23    0
112   468    38    40  0.427853  {0,3,0}     36    1
77    514   120   170  0.445926  {1,0,0}     20    1
12    517     1     2  0.483135  {0,1,0}     37    0
52    520    98   127  0.795851  {1,0,0}     29    1
64    555   109   110  0.454307  {0,1,0}     35    0
3     559   223   224  0.684173  {1,0,0}     35    1
30    572   206   207  0.302785  {0,1,0}     21    1
74    586   222   223  0.943534  {0,2,0}     25    0
126   617   109   110  0.041293  {0,1,0}     30    1
117   649    45    64  0.272801  {0,1,1}     23    0
16    659    99   132  0.745780  {0,1,0}     27    1
25    663   240   242  0.030529  {0,3,0}     31    0
72    668   147   148  0.338630  {0,1,1}     25    1
75    671    27    28  0.118649  {0,1,0}     29    1
100   678    23    87  0.723617  {0,3,0}     21    0
80    678    12    16  0.375967  {0,1,0}     31    1
83    696    50    53  0.742386  {1,0,0}     29    1
68    698    22    24  0.129468  {0,1,0}     22    0
46    699   218   225  0.219835  {1,0,0}     33    1
21    702    58    59  0.646645  {0,1,0}     21    0
123   732   165   166  0.014092  {1,0,0}     34    0
28    733   205   208  0.313853  {1,0,0}     31    1
6     744    84    85  0.361987  {1,0,0}     32    1
5     751    30    33  0.471193  {1,0,0}     30    1
86    753   193   194  0.993319  {0,1,0}     21    1
1     756   205   207  0.792532  {0,2,0}     29    1
73    763   210   215  0.875973  {1,0,0}     33    1
106   768   253   254  0.735856  {1,1,0}     40    1
110   774   174   189  0.240974  {1,0,0}     21    1
27    780    37    75  0.226917  {0,1,0}     35    0
125   793   244   253  0.758514  {0,2,0}     36    0
13    803   140   142  0.564653  {1,1,0}     38    1
62    822   195   248  0.409088  {0,1,1}     23    1
121   839   159   161  0.727232  {1,0,0}     20    1
104   848   135   136  0.141874  {0,0,1}     40    1
116   850   205   208  0.648937  {1,0,0}     38    1
92    859   223   224  0.051237  {0,1,0}     38    1
108   864   228   230  0.370345  {0,3,0}     21    1
70    871   132   133  0.906892  {0,1,0}     27    1
53    881   217   219  0.068793  {0,2,0}     34    1
118   895   197   200  0.341883  {0,2,0}     20    1
85    899   122   124  0.157272  {1,1,0}     21    1
63    904    23    87  0.819910  {1,0,0}     36    1
115   905   130   137  0.520023  {0,1,0}     39    1
37    910   206   207  0.975105  {0,1,0}     38    1
38    917   201   203  0.303688  {0,3,0}     35    1
