map EGL-G2-D
fac 5 10 {0,23,50,185,120}
hosp 2 {0,67}
n_ALS 9 1 {3:23,4:50,2:185}
n_BLS 17 1 {2:0,2:23,5:50,3:185,5:120}
n_CLS 10 0 {2:0,3:23,2:185,3:120}
      c_m  head  tail      c_af      c_d  c_tau  c_h
97     13   244   245  0.721423  {0,3,0}     39    0
86     16   239   243  0.772053  {1,1,0}     33    1
29     18    27    28  0.316062  {1,0,0}     36    1
5      30   142   143  0.098986  {1,0,0}     38    1
84     81   205   207  0.686666  {0,0,1}     35    1
27     85   163   168  0.183568  {0,1,0}     36    1
40    110   103   104  0.647611  {0,3,0}     27    0
79    121    54    58  0.009683  {0,2,0}     21    0
28    217   217   218  0.820119  {0,1,0}     38    0
59    257   177   181  0.407285  {0,1,0}     30    1
77    303    73    74  0.818237  {0,3,0}     21    0
45    383    92    93  0.102365  {0,2,0}     26    1
30    401    43    45  0.207582  {1,0,0}     40    1
47    414    91    96  0.163219  {1,1,0}     34    1
17    415   122   123  0.071609  {0,1,0}     27    1
4     438   170   174  0.369509  {0,3,0}     27    1
36    463    84    85  0.732921  {0,2,0}     25    1
92    470   152   153  0.577690  {1,2,0}     29    1
106   479     4    22  0.601275  {0,1,0}     34    0
7     486     5     6  0.949681  {1,1,0}     36    1
66    491   244   253  0.744675  {0,2,0}     25    1
96    492   208   209  0.998864  {1,0,0}     32    1
18    506   128   139  0.316374  {1,0,0}     25    1
61    510    30    33  0.772870  {0,1,0}     37    0
112   525    10    41  0.999427  {0,2,0}     31    0
20    541     9    10  0.052419  {0,1,0}     32    0
9     543   161   164  0.212324  {0,3,0}     25    1
115   543    47    48  0.670302  {0,1,0}     31    1
103   554    45    46  0.216526  {1,1,0}     25    1
73    572   153   154  0.510833  {0,3,0}     33    0
117   575   247   248  0.576207  {0,1,0}     25    1
2     590   111   114  0.727336  {0,3,0}     32    1
83    597   147   148  0.452858  {0,1,1}     30    1
94    605    50    51  0.193994  {1,0,0}     28    1
87    620    15    17  0.174070  {0,0,1}     23    0
26    631    50    52  0.661474  {1,1,0}     22    1
104   636    39    40  0.888724  {1,1,0}     20    1
88    651   227   231  0.325336  {0,3,0}     36    1
44    654   175   177  0.939156  {0,1,1}     23    1
110   674    82    83  0.063235  {0,1,0}     22    1
3     676   109   110  0.878437  {0,1,0}     26    0
101   683   233   235  0.162493  {0,1,0}     31    1
49    685    14    15  0.565907  {0,1,1}     33    0
111   687   209   216  0.979235  {0,0,1}     36    1
107   701    23    87  0.037710  {1,1,0}     22    1
127   718   147   148  0.696610  {0,2,0}     26    0
82    726    69    70  0.576064  {0,1,1}     22    1
13    727   126   127  0.678759  {1,1,0}     34    0
78    735    18    20  0.151867  {1,0,0}     23    1
1     752   190   191  0.641642  {0,1,1}     26    1
95    761    43    44  0.840971  {0,2,0}     24    1
67    769   221   222  0.688453  {0,2,0}     23    0
120   773   163   168  0.005110  {1,0,0}     37    1
43    775    79    80  0.507634  {0,2,0}     22    1
46    786   142   143  0.544621  {0,1,0}     30    0
22    787   151   152  0.933073  {0,1,0}     27    1
126   787   253   254  0.887492  {0,2,0}     38    1
85    809   211   212  0.161373  {1,0,0}     30    1
89    810   222   223  0.575407  {0,2,0}     25    1
98    810    61    65  0.288836  {0,3,0}     33    1
11    812    69    70  0.690808  {0,1,0}     38    0
124   834   205   208  0.766271  {0,3,0}     25    1
64    834   153   154  0.658674  {1,0,0}     33    1
72    839   174   182  0.083266  {0,1,1}     38    1
10    840    84    85  0.680977  {0,1,0}     29    1
122   843    94    95  0.558854  {1,1,0}     20    1
108   882    89    97  0.049627  {0,3,0}     36    1
102   888   234   239  0.698343  {0,3,0}     38    0
21    908    90    91  0.807849  {0,3,0}     23    1
105   915     9    34  0.893677  {0,2,0}     26    0
114   952     0    21  0.703546  {0,1,0}     21    1
48    953   153   154  0.002398  {0,1,1}     25    0
6     968   120   170  0.837485  {0,1,0}     34    0
19    979    23    87  0.333749  {0,1,0}     28    1
116   983   216   217  0.885548  {1,0,0}     21    1
23    991     5    26  0.279680  {1,0,0}     29    1
76    996    95    99  0.013617  {1,1,0}     21    0
53   1021    36    38  0.869596  {1,0,0}     33    1
63   1026   101   112  0.325330  {0,2,0}     37    1
60   1028   171   172  0.685121  {0,1,1}     24    1
52   1034    84    86  0.997283  {0,0,1}     29    1
42   1057   188   189  0.260789  {0,2,0}     39    1
51   1059    12    13  0.897817  {0,3,0}     20    0
24   1063   137   138  0.273159  {0,2,0}     31    0
25   1066   225   228  0.291045  {0,3,0}     34    1
100  1067   218   250  0.077920  {0,2,0}     36    1
32   1069    82    85  0.363229  {0,1,1}     34    0
55   1073   121   155  0.868165  {1,0,0}     34    1
109  1087   197   200  0.748156  {0,1,0}     31    0
74   1087    86    87  0.778462  {0,1,0}     35    1
125  1091    31    32  0.020410  {1,0,0}     30    1
12   1092   107   108  0.919040  {0,1,0}     36    1
34   1094   225   226  0.162540  {0,2,0}     31    0
58   1094    31    32  0.720320  {0,2,0}     28    1
93   1095    22    24  0.511933  {0,1,0}     37    1
71   1108   193   194  0.549517  {0,2,0}     39    1
16   1118    53    55  0.811082  {0,2,0}     24    1
50   1127     1     2  0.230116  {1,0,0}     27    0
14   1128   109   110  0.794245  {0,1,1}     28    1
113  1145   253   254  0.932572  {0,2,0}     22    0
75   1150   204   205  0.287011  {1,1,0}     36    1
80   1171   227   233  0.585617  {0,1,0}     39    0
39   1181     1     2  0.186666  {0,1,0}     33    1
0    1181    71    73  0.905164  {0,2,0}     29    1
37   1182   165   166  0.716251  {1,0,0}     28    1
69   1185    82    83  0.366990  {0,1,1}     31    1
90   1189   105   106  0.621940  {0,2,0}     37    1
31   1199   154   158  0.043877  {0,3,0}     29    1
56   1210     3     4  0.437908  {0,0,1}     40    1
99   1212   174   183  0.952564  {0,1,1}     34    1
65   1223   107   108  0.693047  {1,0,0}     21    1
119  1231   158   160  0.115546  {0,2,0}     38    1
57   1259   213   214  0.957376  {0,3,0}     21    0
33   1277    99   132  0.650951  {1,0,0}     22    1
81   1280   106   108  0.014939  {0,2,0}     31    1
70   1282    95    96  0.538370  {0,2,0}     21    1
123  1289   143   144  0.890655  {0,2,0}     27    1
91   1308   117   118  0.182776  {0,0,1}     35    1
121  1316    84    85  0.998903  {0,3,0}     34    1
118  1323    69    80  0.333147  {0,3,0}     29    0
68   1345   218   250  0.413096  {1,0,0}     21    1
38   1358    66    67  0.298807  {1,0,0}     30    1
62   1378   139   140  0.561815  {0,3,0}     26    0
41   1382    30    33  0.046357  {0,1,0}     34    0
8    1406   196   197  0.423148  {1,1,0}     28    1
35   1420   200   201  0.544544  {1,1,0}     30    1
15   1435   120   162  0.022940  {0,3,0}     22    1
54   1439   252   253  0.162790  {1,0,0}     32    1
