map EGL-G1-D
fac 5 10 {0,1,47,174,248}
hosp 1 {0}
n_ALS 5 1 {1:0,1:1,3:174}
n_BLS 25 1 {7:0,7:1,5:47,2:174,4:248}
n_CLS 8 0 {2:0,2:1,1:47,2:174,1:248}
      c_m  head  tail      c_af      c_d  c_tau  c_h
29     44   156   160  0.919174  {0,1,0}     31    1
98     49    54    55  0.141496  {0,3,0}     26    1
46     59    13    14  0.986601  {0,3,0}     23    0
126    67   135   145  0.363458  {0,3,0}     20    1
93     88    40    41  0.063738  {1,1,0}     38    1
90     96    18    20  0.363531  {0,3,0}     27    1
56     99   211   212  0.817187  {1,0,0}     33    1
0     105   112   113  0.494191  {0,0,1}     36    0
6     110   160   164  0.441782  {0,3,0}     36    0
9     115   222   223  0.636894  {0,3,0}     25    1
113   119   177   178  0.954726  {0,1,0}     37    0
115   129    42    43  0.397860  {0,1,0}     26    0
125   145   189   190  0.255883  {0,0,1}     33    1
99    170   242   245  0.797224  {1,0,0}     22    1
88    216   203   210  0.881925  {0,1,1}     32    1
43    224    35    36  0.071747  {0,1,0}     25    1
33    240    39    40  0.197321  {1,0,0}     33    1
78    263   144   147  0.004996  {0,1,0}     21    1
58    326    66    67  0.585976  {1,1,0}     32    1
15    369    66    67  0.760607  {0,2,0}     33    1
24    405   213   214  0.211980  {1,0,0}     40    1
124   409   232   234  0.874042  {0,1,1}     20    1
62    421   140   149  0.429598  {0,2,0}     35    1
73    449    95    97  0.916734  {0,2,0}     34    1
13    458    36    39  0.860919  {0,1,0}     38    1
48    463   124   125  0.569051  {1,0,0}     39    1
111   469    75    76  0.805157  {1,1,0}     37    1
79    481    50    52  0.404232  {1,1,0}     27    1
65    536   112   114  0.053440  {0,1,1}     29    1
18    568   131   132  0.540158  {1,1,0}     31    1
26    573   162   167  0.265593  {0,2,0}     20    0
19    594    31    38  0.200057  {0,2,0}     30    0
34    630    88    96  0.700617  {1,1,0}     29    1
44    645   211   212  0.095728  {0,2,0}     37    1
2     648    70    72  0.747142  {1,3,0}     20    1
110   649   245   246  0.269682  {0,1,0}     22    0
82    652   180   181  0.554540  {1,3,0}     33    1
76    654   178   183  0.516751  {0,3,0}     36    0
35    670   177   178  0.000657  {0,2,0}     20    0
