map EGL-G1-D
fac 5 10 {0,21,210,185,102}
hosp 2 {0,115}
n_ALS 5 1 {2:0,2:21,1:210}
n_BLS 19 1 {7:0,4:21,3:210,2:185,3:102}
n_CLS 9 0 {1:0,2:21,3:210,2:185,1:102}
      c_m  head  tail      c_af      c_d  c_tau  c_h
53      5   219   220  0.358172  {0,2,0}     21    1
100    31     8    33  0.639456  {0,1,0}     39    1
123    32     7    30  0.229210  {0,1,0}     20    1
62     33    81    82  0.480753  {1,1,0}     22    1
90     36    29    31  0.702733  {1,1,0}     26    1
95     42   106   107  0.297877  {0,2,0}     23    0
111    55   107   108  0.591846  {0,1,0}     33    1
47     79    47    48  0.215562  {0,1,1}     29    1
8      93   151   152  0.731622  {1,1,0}     28    1
45     95    85    86  0.710247  {0,2,0}     25    0
122   147     7     8  0.660593  {0,1,0}     33    1
57    162    50    53  0.068280  {1,0,0}     24    1
37    169    26    28  0.380650  {0,1,0}     26    1
32    178   150   151  0.590491  {0,3,0}     27    1
54    213   112   114  0.080594  {0,2,0}     22    1
108   258   163   164  0.290276  {0,0,1}     39    0
24    263   243   244  0.383456  {0,1,1}     35    1
63    265    57    61  0.325050  {0,1,0}     33    1
82    279    53    55  0.199705  {1,0,0}     37    1
124   305   238   240  0.901729  {0,2,0}     39    1
39    383    42    43  0.788094  {0,1,1}     22    1
94    389   108   109  0.343133  {1,1,0}     22    1
126   406   213   214  0.143520  {0,1,0}     26    0
71    410    60    67  0.475379  {0,2,0}     27    1
50    432   242   243  0.174140  {0,3,0}     30    1
56    451   227   228  0.820464  {0,2,0}     35    1
16    455   131   132  0.288079  {1,1,0}     20    1
38    460    50    53  0.191402  {0,1,0}     27    0
10    469    61    62  0.657344  {0,1,0}     40    1
68    479   102   103  0.739783  {0,2,0}     36    0
27    483   238   240  0.808239  {0,1,0}     40    1
79    484   219   221  0.256587  {1,0,0}     27    1
112   487   203   210  0.714116  {0,1,0}     28    0
77    499   142   143  0.006004  {1,1,0}     33    1
119   507    68    79  0.818704  {0,1,0}     25    0
60    510    50    53  0.902075  {0,1,1}     36    1
84    533   169   173  0.922802  {0,2,0}     30    0
66    557   189   241  0.113063  {1,0,0}     25    1
59    565    73    74  0.929271  {0,1,1}     20    0
46    605    25    26  0.687953  {0,2,0}     37    1
55    610   138   139  0.936384  {0,1,0}     21    1
64    612   185   186  0.683065  {1,1,0}     36    1
12    642    72    73  0.290550  {1,0,0}     29    1
72    650   108   109  0.765875  {0,2,0}     24    0
91    657     8     9  0.578613  {0,1,1}     27    1
80    660    28    29  0.153495  {0,3,0}     20    1
4     663    19    20  0.184636  {0,1,0}     27    1
9     669   162   167  0.360782  {0,1,0}     26    1
87    670   131   132  0.005960  {0,1,1}     40    0
109   683   144   147  0.844296  {0,1,0}     26    1
75    687    36    37  0.908301  {0,2,0}     33    0
20    692    45    64  0.659056  {0,2,0}     36    1
86    696   120   121  0.812270  {1,1,0}     21    1
6     709     7    30  0.910449  {1,1,0}     33    1
85    713   132   133  0.931092  {0,1,0}     39    0
102   727    51    52  0.151736  {1,1,0}     40    1
29    730   153   156  0.539037  {0,2,0}     21    1
31    739   158   160  0.983221  {0,1,0}     31    1
120   748   107   108  0.452109  {0,3,0}     35    1
41    751    80    88  0.564562  {1,1,0}     29    1
115   760     0     1  0.760455  {1,3,0}     40    1
127   765   104   106  0.414277  {1,1,0}     34    1
69    772    24    26  0.399208  {0,2,0}     27    1
113   773   210   211  0.744200  {0,3,0}     29    1
89    775     5     6  0.856090  {0,2,0}     22    0
114   775    68    69  0.401490  {0,3,0}     24    1
67    776   162   166  0.016227  {0,1,1}     30    1
52    789   189   241  0.360857  {0,3,0}     24    0
96    789    19    20  0.539876  {0,2,0}     25    0
99    791   165   177  0.296485  {0,1,0}     22    1
73    812    70    71  0.203533  {1,0,0}     34    1
81    813   238   239  0.124476  {0,1,1}     21    1
28    824    26    28  0.626701  {1,0,0}     20    1
101   824   107   108  0.142766  {0,1,0}     27    0
49    827   154   155  0.840611  {0,1,0}     38    0
2     831   162   166  0.298532  {0,3,0}     20    0
22    838    50    53  0.729964  {1,1,0}     26    1
51    841   228   230  0.876033  {0,2,0}     30    1
35    852    49    56  0.478092  {0,2,0}     20    1
106   872   227   228  0.282402  {1,1,0}     20    1
11    873    51    52  0.589973  {1,0,0}     37    1
0     886   243   244  0.930828  {0,1,0}     33    0
76    894   139   141  0.534410  {0,2,0}     22    0
70    896   179   180  0.365359  {0,2,0}     27    0
19    897    30    33  0.388091  {0,2,0}     32    1
30    897   103   113  0.739160  {0,1,0}     26    1
103   900   123   124  0.145467  {1,0,0}     30    1
36    907   240   242  0.633607  {0,1,0}     32    1
92    912   220   222  0.723770  {0,2,0}     25    0
14    913   145   146  0.289477  {0,3,0}     28    1
17    924     2    14  0.344024  {0,1,0}     26    1
118   927    50    52  0.002082  {1,0,0}     31    0
88    931   116   120  0.080750  {0,1,1}     29    1
98    959     9    34  0.851167  {0,2,0}     36    1
83    971   244   249  0.783065  {0,1,1}     30    1
34    989   125   149  0.620645  {1,1,0}     33    1
42    993    98   130  0.592828  {1,0,0}     21    1
13   1002    37    74  0.058235  {0,2,0}     40    1
1    1003    93    94  0.726106  {0,2,0}     24    1
104  1022    58    59  0.111528  {1,1,0}     33    1
3    1026   243   244  0.579264  {1,0,0}     34    1
61   1028   132   134  0.554247  {0,2,0}     20    1
44   1049   157   159  0.309167  {0,2,0}     26    1
26   1066   165   177  0.755046  {1,0,0}     33    1
93   1110    27    30  0.724378  {0,2,0}     29    1
74   1114   246   247  0.639363  {1,0,0}     29    1
33   1119   116   120  0.449126  {0,3,0}     21    1
117  1119   163   164  0.969993  {0,2,0}     34    1
125  1126    96    97  0.113273  {0,3,0}     27    1
78   1132    53    54  0.473671  {1,1,0}     26    1
116  1133   127   128  0.181173  {0,2,0}     27    0
7    1135   199   202  0.695794  {0,1,0}     27    1
18   1136    96   114  0.660349  {0,1,0}     24    0
48   1173    27    30  0.635295  {0,1,0}     37    1
121  1196   117   118  0.400714  {0,2,0}     24    0
110  1200    53    54  0.241719  {0,1,1}     31    0
25   1212    66    67  0.213567  {0,1,1}     31    1
105  1240   102   103  0.042055  {1,0,0}     24    1
5    1241   199   201  0.041692  {1,0,0}     40    1
40   1247    28    29  0.215646  {1,0,0}     30    1
23   1251    88    96  0.684768  {0,1,0}     29    1
21   1254   189   241  0.017688  {0,1,0}     38    0
15   1257    24    26  0.683573  {0,2,0}     36    1
107  1277   127   128  0.338080  {0,1,0}     36    1
65   1302    79    80  0.962956  {0,2,0}     23    1
97   1322   219   221  0.943552  {0,1,0}     20    0
43   1355    89    91  0.334625  {0,1,0}     38    1
58   1413   225   227  0.285249  {0,3,0}     36    1
