map EGL-G1-A
fac 5 10 {0,123,61,156,212}
hosp 1 {0}
n_ALS 5 1 {1:0,2:156,2:212}
n_BLS 15 1 {6:0,3:123,1:61,2:156,3:212}
n_CLS 6 0 {1:0,4:123,1:156}
      c_m  head  tail      c_af      c_d  c_tau  c_h
126    20   101   110  0.584102  {0,2,0}     39    1
121    40   120   121  0.907380  {0,1,0}     36    1
65     41    69    70  0.180496  {0,3,0}     27    0
0      60     5     6  0.942668  {0,1,0}     30    0
15     71   169   170  0.472160  {0,3,0}     38    1
44     89   216   217  0.648309  {0,1,1}     23    1
28    109   184   185  0.438863  {0,1,0}     33    0
24    138    68    79  0.306423  {0,2,0}     31    1
92    188   124   151  0.204586  {1,1,0}     20    1
74    200    48    49  0.249160  {0,1,0}     29    0
100   237    49    50  0.099973  {1,0,0}     37    1
37    251   144   147  0.894345  {0,3,0}     29    0
85    253   229   230  0.864817  {1,0,0}     24    0
50    253   112   113  0.689176  {0,1,0}     21    1
120   281    75    77  0.870403  {0,1,0}     36    1
19    319   189   190  0.310202  {1,1,0}     39    1
110   327    14    15  0.812688  {0,1,0}     31    1
97    332   150   152  0.088662  {0,1,0}     23    1
13    383   102   103  0.039014  {0,1,1}     40    0
5     422   107   108  0.338301  {0,1,0}     23    1
35    426   157   158  0.163822  {0,2,0}     36    1
105   435    89    91  0.572115  {0,2,0}     38    0
106   473    62    63  0.638873  {0,2,0}     39    0
22    492    88    89  0.518191  {1,0,0}     32    1
114   494   197   198  0.817758  {0,1,0}     40    1
29    496     8     9  0.806562  {0,1,0}     37    1
75    517   190   192  0.915668  {1,1,0}     32    1
88    538   107   108  0.798835  {0,3,0}     35    0
91    545   195   197  0.284980  {1,1,0}     24    1
94    545     5     6  0.075416  {1,1,0}     24    1
112   582   108   109  0.193011  {1,0,0}     27    1
109   584    11    42  0.140364  {0,2,0}     27    0
47    585     1    12  0.965109  {0,1,0}     31    0
71    588   139   140  0.760079  {1,1,0}     26    1
42    594    54    55  0.198386  {0,2,0}     24    1
73    598    79    80  0.187436  {0,2,0}     35    1
9     602   127   128  0.578696  {0,1,0}     26    0
39    614    38    40  0.725084  {0,2,0}     29    0
54    615   149   150  0.020887  {0,3,0}     27    1
7     624   243   244  0.725060  {1,1,0}     26    1
64    629    68    79  0.442793  {1,0,0}     28    1
30    632   139   140  0.977582  {1,1,0}     22    1
84    644   202   203  0.841722  {1,0,0}     29    1
14    646   105   117  0.594484  {0,0,1}     30    1
58    655   225   248  0.794498  {0,2,0}     38    1
79    656   204   205  0.782342  {0,1,0}     34    0
77    665    94    95  0.869461  {0,1,0}     22    0
2     669   227   228  0.776904  {0,1,0}     26    1
83    671   161   162  0.023546  {1,0,0}     26    1
23    673   244   249  0.775561  {0,1,0}     38    1
12    677   120   121  0.641537  {0,2,0}     29    1
61    688   199   201  0.842227  {0,1,0}     28    1
53    689   139   141  0.187516  {0,2,0}     30    1
72    694   114   115  0.869908  {0,1,0}     30    0
11    695   157   159  0.241769  {1,0,0}     26    1
95    695   165   177  0.182768  {0,1,1}     30    1
104   696    98   131  0.137642  {0,1,0}     21    1
1     711    70    72  0.439288  {0,3,0}     37    1
