map EGL-G1-A
fac 5 10 {0,211,53,10,162}
hosp 1 {0}
n_ALS 7 1 {3:0,3:10,1:162}
n_BLS 18 1 {3:0,4:211,4:53,5:10,2:162}
n_CLS 8 0 {4:0,1:53,3:162}
      c_m  head  tail      c_af      c_d  c_tau  c_h
65      4   102   110  0.537432  {0,1,0}     29    0
76     31    67    68  0.940417  {1,0,0}     31    1
35     74    54    55  0.483978  {1,0,0}     29    1
27    104    18    19  0.380977  {1,0,0}     22    1
66    115   232   233  0.038696  {0,1,1}     29    0
6     133   191   193  0.587411  {0,1,0}     38    0
54    159    24    25  0.505809  {1,1,0}     31    0
87    173   124   149  0.912852  {0,2,0}     37    1
13    173    83    84  0.926014  {0,1,0}     24    1
108   185    92    93  0.467771  {1,0,0}     32    1
116   197    50    52  0.153127  {0,3,0}     34    0
0     255    82    83  0.280537  {0,2,0}     21    0
107   269   152   153  0.790387  {1,1,0}     36    1
63    304   161   162  0.818149  {0,0,1}     26    1
21    317   231   232  0.291813  {0,3,0}     30    1
104   397    95    97  0.238795  {1,0,0}     32    1
114   407    59    60  0.312434  {0,0,1}     27    1
126   409   163   168  0.301025  {0,1,0}     21    1
113   411   203   210  0.954778  {0,2,0}     20    0
12    426     5    23  0.065545  {1,1,0}     21    1
120   446   145   146  0.274216  {0,1,0}     23    1
95    453   135   136  0.400451  {1,0,0}     28    1
30    453    53    55  0.097323  {0,0,1}     24    1
101   463    80    81  0.014812  {0,2,0}     34    1
70    464    75    76  0.093486  {1,1,0}     26    1
31    474   153   157  0.329817  {0,3,0}     21    0
34    478   139   141  0.919125  {1,1,0}     20    1
77    487   226   231  0.451058  {0,2,0}     30    1
115   487   116   120  0.882253  {0,0,1}     33    0
92    504    75    76  0.430883  {0,3,0}     22    1
32    514    95    97  0.226284  {0,2,0}     25    1
123   517   138   139  0.531169  {0,1,1}     38    0
64    535    31    38  0.036194  {0,1,0}     26    1
58    561    70    72  0.967921  {0,0,1}     40    0
105   570   157   158  0.227425  {0,1,1}     26    0
24    573    90    95  0.510871  {0,2,0}     31    0
50    577   225   227  0.116941  {0,2,0}     39    0
19    582   177   184  0.080291  {0,3,0}     25    1
119   594   139   141  0.295789  {1,0,0}     28    1
59    653   140   141  0.675587  {0,3,0}     20    0
46    675   225   227  0.134067  {1,2,0}     38    0
52    678   165   166  0.717459  {0,2,0}     27    1
100   684    55    56  0.846911  {0,1,0}     26    1
80    684   216   217  0.433060  {0,3,0}     40    1
22    693   134   135  0.209361  {0,3,0}     28    1
98    705    28    29  0.961095  {1,0,0}     20    1
118   707     5    26  0.061108  {1,1,0}     25    1
9     721    73    74  0.803562  {1,0,0}     32    1
121   729   129   136  0.159902  {0,0,1}     20    0
20    729   119   169  0.134994  {0,0,1}     27    0
