map EGL-G2-D
fac 5 10 {0,166,22,123,115}
hosp 1 {0}
n_ALS 7 1 {1:166,4:123,2:115}
n_BLS 22 1 {6:0,5:166,2:22,4:123,5:115}
n_CLS 9 0 {2:0,1:166,4:22,2:115}
      c_m  head  tail      c_af      c_d  c_tau  c_h
106     1   105   106  0.572702  {0,1,0}     25    1
77     39   163   167  0.969451  {0,2,0}     35    1
30     70   180   181  0.764792  {1,0,0}     22    1
66    163   154   158  0.519146  {0,1,0}     28    1
109   189   190   192  0.391228  {1,1,0}     34    1
33    192   244   245  0.511435  {0,1,0}     24    1
31    247     4    22  0.213490  {0,2,0}     23    1
7     258   154   158  0.419696  {0,1,0}     22    1
105   268   216   218  0.176591  {0,1,1}     33    0
50    316   158   160  0.822991  {0,1,0}     35    1
82    327   170   171  0.754927  {0,1,0}     21    1
29    333   125   152  0.109233  {0,1,0}     34    1
43    366   177   181  0.559620  {0,2,0}     28    1
86    375    74    76  0.000309  {0,0,1}     39    1
48    379   138   139  0.225020  {0,3,0}     35    1
6     386   133   135  0.814333  {0,1,0}     27    0
13    388   236   238  0.672967  {0,3,0}     40    1
12    392     3     4  0.841194  {0,2,0}     21    0
118   408    81    89  0.534576  {0,0,1}     31    1
100   412   124   125  0.354299  {0,1,0}     38    1
115   423   107   108  0.378431  {1,1,0}     25    1
45    435    43    44  0.495780  {0,1,1}     21    1
34    458    99   132  0.307123  {0,2,0}     27    0
44    462    34    41  0.927146  {1,1,0}     37    1
27    476   127   128  0.828840  {0,2,0}     24    0
47    484   127   128  0.510553  {0,1,1}     33    1
90    492   151   153  0.909402  {0,1,0}     39    1
92    493   171   172  0.182920  {0,3,0}     21    1
114   535   136   137  0.248790  {1,0,0}     36    1
28    540    14    15  0.638524  {1,0,0}     22    1
88    543    39    73  0.843189  {1,3,0}     37    1
56    566    82    83  0.004387  {0,2,0}     27    0
63    571    24    26  0.636726  {0,0,1}     38    0
97    572   130   131  0.940836  {0,2,0}     22    0
9     622   123   124  0.737192  {0,3,0}     36    1
23    622   208   209  0.194568  {0,2,0}     37    0
98    660   240   242  0.927890  {0,2,0}     36    0
113   669    28    29  0.809969  {1,0,0}     30    1
79    679     5     6  0.901311  {0,3,0}     37    0
121   679   148   149  0.510168  {1,3,0}     26    1
96    680   165   166  0.182029  {1,2,0}     31    1
104   684    94    95  0.579548  {0,2,0}     31    1
1     697   146   147  0.851964  {0,2,0}     32    1
41    709   132   133  0.748735  {0,1,0}     23    1
