map EGL-G2-D
fac 5 10 {0,22,123,182,36}
hosp 2 {0,6}
n_ALS 6 1 {2:0,2:22,2:123}
n_BLS 17 1 {3:0,1:22,4:123,6:182,3:36}
n_CLS 6 0 {2:0,3:22,1:182}
      c_m  head  tail      c_af      c_d  c_tau  c_h
97     72   140   142  0.666055  {0,2,0}     31    0
0     105   163   167  0.121868  {0,1,0}     33    0
75    108   186   188  0.750803  {1,0,0}     25    1
125   112   128   129  0.542614  {1,0,0}     37    1
66    116   234   239  0.845134  {1,0,0}     20    1
19    200   218   250  0.483570  {0,1,0}     37    0
17    325   199   200  0.683901  {0,0,1}     37    0
88    339   147   148  0.923233  {0,0,1}     34    1
70    349   136   137  0.845148  {1,0,0}     22    1
91    424    89    97  0.326951  {1,0,0}     36    1
56    461   163   167  0.948969  {0,1,0}     21    0
45    461   103   111  0.307249  {1,1,0}     29    1
57    468   225   226  0.208637  {0,3,0}     30    0
92    476   185   187  0.695348  {0,1,1}     31    0
65    482     5    26  0.626928  {0,0,1}     31    0
110   486   128   139  0.755716  {1,1,0}     27    1
119   511    27    30  0.630969  {0,2,0}     34    0
109   538   125   152  0.775478  {0,1,1}     32    1
64    546   103   104  0.484523  {0,1,0}     23    0
71    566     2     3  0.146694  {0,2,0}     26    0
34    575   236   237  0.668254  {0,3,0}     28    0
53    576    59    60  0.120783  {0,1,0}     30    1
59    586   233   254  0.383391  {0,2,0}     26    0
55    590   141   150  0.182952  {0,3,0}     26    0
84    593   191   195  0.382078  {0,0,1}     23    1
21    599   193   194  0.613902  {0,3,0}     23    0
114   601    51    52  0.906608  {0,1,0}     26    1
10    603     0    21  0.395391  {1,1,0}     22    1
46    612   103   111  0.047876  {0,2,0}     36    1
67    614     9    34  0.132614  {0,1,0}     36    0
26    627    16    18  0.918919  {1,1,0}     20    1
117   641   190   191  0.254188  {0,1,0}     22    1
116   665    73    74  0.492512  {0,0,1}     26    1
81    685   127   128  0.849222  {0,2,0}     29    1
63    685    72    73  0.052102  {1,0,0}     40    1
43    703   226   227  0.552104  {1,1,0}     32    1
1     719     2    14  0.801909  {0,2,0}     37    0
40    723   233   234  0.540364  {0,1,0}     29    1
2     723   246   247  0.353004  {0,3,0}     32    1
93    728    23   237  0.534883  {0,3,0}     24    1
123   743   120   170  0.247706  {1,1,0}     28    1
42    769    87    88  0.005970  {1,1,0}     23    1
118   783    53    54  0.835937  {1,0,0}     32    1
7     791   151   152  0.503147  {1,1,0}     21    1
52    798    74    76  0.903202  {0,3,0}     35    0
5     799    50    53  0.143608  {1,0,0}     25    1
79    800    93    94  0.231010  {0,3,0}     35    1
95    802    57    61  0.397762  {0,1,0}     31    1
28    803   191   195  0.378031  {0,3,0}     22    0
103   803   105   107  0.414986  {0,1,0}     22    1
32    806   226   251  0.966355  {1,0,0}     24    1
44    806    39    40  0.965657  {0,2,0}     26    1
