map EGL-G2-B
fac 5 10 {0,161,83,153,121}
hosp 1 {0}
n_ALS 7 1 {2:0,2:161,3:153}
n_BLS 21 1 {5:0,5:161,2:83,5:153,4:121}
n_CLS 9 0 {1:0,3:161,3:83,1:153,1:121}
      c_m  head  tail      c_af      c_d  c_tau  c_h
90     17    37    75  0.498592  {1,1,0}     28    1
17     19     0     1  0.502474  {1,0,0}     27    1
76     61   179   180  0.332910  {0,2,0}     24    0
102    70   226   227  0.779929  {0,2,0}     27    1
73     89    36    37  0.809727  {0,3,0}     24    0
0     114   226   229  0.220586  {0,3,0}     38    1
96    122    11    42  0.545889  {0,3,0}     40    1
39    123    72    73  0.807603  {0,3,0}     21    1
59    125   193   194  0.737748  {0,1,0}     35    0
62    159    91    92  0.268844  {0,1,0}     25    1
92    171   164   165  0.397864  {1,3,0}     22    1
16    172   105   107  0.247110  {0,1,0}     32    1
84    176   216   217  0.352655  {1,1,0}     32    0
61    210   243   245  0.346849  {0,2,0}     37    1
11    224    27    28  0.184271  {0,2,0}     39    1
24    254   212   213  0.166410  {1,1,0}     36    1
8     259    11    42  0.599570  {0,2,0}     37    1
31    273    97   115  0.704443  {0,3,0}     25    1
48    285   171   172  0.661491  {0,2,0}     31    1
43    288   132   133  0.418021  {0,3,0}     23    0
1     323   104   114  0.284045  {0,2,0}     27    0
120   347   227   233  0.253041  {0,3,0}     25    1
108   378   174   189  0.451887  {0,2,0}     32    1
60    428     6     7  0.088547  {0,1,0}     29    1
2     449     9    34  0.527437  {0,1,0}     40    1
101   449   191   195  0.509959  {0,0,1}     25    1
30    449   122   123  0.967629  {1,1,0}     32    1
103   454   166   178  0.970098  {0,2,0}     30    1
35    456    47    64  0.327318  {0,0,1}     23    1
49    497   228   230  0.592185  {0,1,0}     39    0
63    519    51    52  0.403824  {0,1,0}     38    1
22    526   124   125  0.768935  {0,1,0}     40    1
107   545   107   109  0.855430  {0,0,1}     29    0
83    549   215   221  0.247751  {0,3,0}     38    1
20    577    46    47  0.827822  {1,0,0}     40    1
80    577   140   141  0.074906  {0,1,0}     36    1
97    581    17    22  0.980680  {0,2,0}     32    1
38    604    76    78  0.913355  {0,2,0}     35    0
15    628     9    10  0.181471  {0,1,0}     39    1
54    637   248   249  0.531234  {0,2,0}     23    0
71    637   120   170  0.442024  {1,0,0}     23    1
55    639   195   248  0.498100  {0,1,0}     37    0
125   641   240   241  0.365263  {0,2,0}     24    0
51    641   157   161  0.930278  {0,3,0}     24    0
87    642   202   203  0.750564  {0,1,1}     29    0
77    646   250   251  0.383168  {0,2,0}     40    0
116   649    49    56  0.159227  {0,1,0}     37    1
89    659   208   209  0.861397  {0,2,0}     34    0
46    674    56    57  0.036457  {1,1,0}     24    1
105   677   240   242  0.493410  {0,1,0}     22    1
81    683     2    14  0.228456  {1,3,0}     25    1
52    688   233   254  0.845671  {0,1,0}     26    0
