map EGL-G2-E
fac 5 10 {0,206,157,37,1}
hosp 1 {0}
n_ALS 8 1 {1:0,6:206,1:157}
n_BLS 16 1 {3:0,3:206,4:157,1:37,5:1}
n_CLS 6 0 {1:0,1:206,2:157,2:37}
      c_m  head  tail      c_af      c_d  c_tau  c_h
28      5    76    78  0.065433  {0,1,0}     36    0
22     43    16    18  0.409013  {1,3,0}     34    1
65     47    43    45  0.372891  {1,1,0}     39    1
39     48    31    38  0.395072  {0,1,0}     26    1
58     57   107   108  0.241910  {1,0,0}     20    1
26     62   146   147  0.692088  {0,3,0}     21    1
8      78    23   150  0.716887  {0,3,0}     31    0
123   100    41    51  0.810695  {0,0,1}     27    1
94    107    51    52  0.695390  {0,1,0}     36    1
81    110     1    12  0.742301  {0,2,0}     21    1
14    125    10    11  0.850066  {0,1,1}     39    1
51    132     4     5  0.209279  {0,1,0}     36    0
30    159   206   207  0.463948  {0,2,0}     35    1
63    231    50    51  0.178241  {1,1,0}     35    1
78    255    79    80  0.880182  {1,1,0}     22    1
55    313   216   217  0.256461  {0,1,1}     21    1
6     325   215   221  0.100636  {0,3,0}     32    1
108   371   125   150  0.165044  {1,1,0}     37    1
98    425    25    26  0.553430  {0,3,0}     21    1
116   443   189   190  0.933083  {0,2,0}     34    1
37    448   143   145  0.813324  {0,1,0}     21    1
3     451   163   168  0.592714  {0,1,1}     20    1
60    475    70    79  0.572617  {0,1,0}     23    1
12    477    43    45  0.323357  {0,1,0}     36    0
77    512    79    80  0.066074  {0,2,0}     24    0
85    519   231   232  0.120389  {1,0,0}     40    1
53    531    61    62  0.525288  {0,2,0}     28    0
23    536   164   165  0.332409  {0,1,0}     37    1
5     539   227   233  0.240629  {1,1,0}     35    1
102   545    37    75  0.805625  {1,1,0}     27    1
18    572   120   170  0.722064  {1,0,0}     39    1
115   609    99   132  0.516294  {1,0,0}     32    1
41    615   178   185  0.900593  {0,3,0}     40    1
36    625    28    29  0.406605  {0,2,0}     36    0
25    639   253   254  0.795960  {0,2,0}     35    1
57    650   199   200  0.036126  {1,0,0}     23    1
31    651    90    91  0.608402  {0,2,0}     27    1
20    652   184   188  0.644114  {0,3,0}     31    1
32    670   156   162  0.917973  {0,1,0}     36    0
66    670    58    59  0.785771  {1,1,0}     25    1
27    676   239   240  0.438536  {0,1,0}     40    0
75    676    56    57  0.137276  {0,3,0}     32    1
13    677   208   210  0.699622  {1,0,0}     31    1
122   681   164   165  0.513716  {0,3,0}     39    1
47    695    51    52  0.265184  {0,2,0}     40    0
21    699   195   248  0.183774  {0,1,0}     35    1
114   700   236   237  0.151918  {0,2,0}     25    1
97    724   235   236  0.235508  {0,2,0}     33    1
117   729    63    65  0.565802  {1,0,0}     32    1
118   734   213   214  0.830554  {0,1,0}     32    1
50    740    48    57  0.317602  {0,2,0}     22    1
72    770    59    60  0.432079  {0,3,0}     39    1
96    771    84    86  0.747063  {0,2,0}     36    1
124   772    69    70  0.858311  {0,3,0}     36    1
112   793   222   223  0.400165  {1,0,0}     24    1
91    803    32    34  0.681477  {1,1,0}     20    1
44    817    26    28  0.057585  {0,0,1}     20    1
10    819   186   188  0.931780  {0,1,1}     34    0
