map EGL-G1-C
fac 5 10 {0,62,58,146,211}
hosp 1 {0}
n_ALS 6 1 {1:0,2:146,3:211}
n_BLS 15 1 {1:0,7:62,1:58,5:146,1:211}
n_CLS 5 0 {1:0,1:58,3:146}
      c_m  head  tail      c_af      c_d  c_tau  c_h
70      0    77    78  0.873420  {1,0,0}     34    1
110    34    77    78  0.131802  {0,1,0}     33    1
4     103   119   169  0.909898  {1,0,0}     20    1
53    146    50    53  0.081376  {0,3,0}     23    1
59    217    47    48  0.257336  {0,2,0}     40    1
60    224   112   114  0.107572  {0,2,0}     33    0
50    225   185   186  0.038335  {0,3,0}     27    1
84    268   155   161  0.523299  {0,1,0}     23    1
86    287    80    88  0.893664  {0,1,0}     40    0
61    303     2    14  0.984031  {0,1,1}     25    1
118   333   191   194  0.851409  {0,3,0}     37    1
106   336   226   231  0.063869  {0,1,0}     40    1
113   345   166   167  0.069106  {1,0,0}     30    1
48    375   192   193  0.003751  {1,1,0}     27    1
20    389   173   181  0.872957  {0,2,0}     33    0
122   400    85    86  0.454765  {0,1,1}     34    0
41    433    54    58  0.809200  {0,3,0}     26    0
14    443    36    37  0.079460  {0,1,0}     25    0
91    449     5    26  0.904937  {0,2,0}     32    1
69    458    60    67  0.871774  {0,2,0}     26    0
96    479    60    67  0.878862  {0,3,0}     29    1
120   484   196   197  0.748955  {0,2,0}     28    0
116   486   128   137  0.859051  {0,3,0}     40    1
77    495   220   222  0.906564  {0,3,0}     39    1
24    507    75    76  0.301525  {1,0,0}     33    1
100   514    80    88  0.312414  {0,2,0}     37    0
115   530    35    36  0.425259  {0,1,0}     25    1
3     543    80    81  0.671441  {1,0,0}     22    1
78    543    27    30  0.337294  {0,3,0}     23    0
32    548    31    32  0.317944  {1,1,0}     30    1
80    553   246   248  0.000118  {0,3,0}     29    1
47    562   155   161  0.340780  {0,1,1}     36    1
76    567   111   112  0.109889  {0,2,0}     26    0
107   580   153   156  0.794844  {0,3,0}     35    0
22    590   138   139  0.916586  {1,0,0}     27    1
95    602    77    78  0.220199  {1,0,0}     33    1
18    609   210   211  0.353118  {0,1,0}     40    1
97    612   150   151  0.166185  {0,3,0}     32    1
54    615   227   228  0.318704  {1,1,0}     30    1
112   621   190   191  0.241442  {1,0,0}     27    1
64    626    39    52  0.817985  {1,1,0}     20    1
44    629    32    34  0.617051  {0,2,0}     26    0
102   648   164   165  0.456246  {0,2,0}     35    1
33    657   100   111  0.472589  {1,0,0}     25    1
37    662   155   161  0.799957  {0,1,0}     28    1
49    673    48    49  0.112905  {0,2,0}     21    1
127   676   121   123  0.731890  {0,2,0}     30    0
66    687   169   170  0.443410  {1,1,0}     26    1
83    691   134   146  0.852750  {1,1,0}     35    1
94    692   150   152  0.898998  {0,1,0}     36    1
73    711    54    58  0.847280  {0,2,0}     22    1
