map EGL-G2-D
fac 5 10 {0,6,236,123,45}
hosp 2 {0,165}
n_ALS 9 1 {3:0,4:6,2:236}
n_BLS 21 1 {6:0,5:6,3:236,4:123,3:45}
n_CLS 5 0 {1:0,1:6,1:236,2:123}
      c_m  head  tail      c_af      c_d  c_tau  c_h
101     4    16    17  0.527527  {0,3,0}     24    0
126    10   181   182  0.270693  {0,1,0}     40    1
98     13    73    74  0.382193  {0,2,0}     35    0
71     74    69    80  0.396502  {0,2,0}     31    1
75     84   119   120  0.370407  {1,1,0}     36    1
33    103   156   157  0.455803  {0,2,0}     31    0
24    107     9    34  0.839184  {1,0,0}     35    1
13    116   246   247  0.339435  {0,3,0}     40    1
127   126   221   222  0.092965  {0,1,0}     35    0
16    128     7    30  0.204902  {0,3,0}     33    0
10    144     7     8  0.790444  {1,0,0}     40    1
81    160   136   146  0.511479  {1,3,0}     30    1
55    173    48    57  0.016717  {0,1,0}     24    1
23    194   148   149  0.534244  {0,2,0}     29    1
54    219   177   180  0.164452  {1,1,0}     22    1
106   222   233   254  0.472116  {1,0,0}     29    1
17    224   235   236  0.022194  {0,1,0}     22    1
93    280    71    72  0.266657  {0,3,0}     31    0
109   286    10    41  0.547282  {1,3,0}     33    1
62    321   225   226  0.318472  {0,2,0}     29    0
113   373   235   236  0.426843  {0,3,0}     35    0
36    397    61    65  0.503101  {0,1,1}     22    1
64    405    99   100  0.822735  {0,2,0}     35    0
108   405   185   187  0.987386  {0,1,0}     22    0
53    433    89    90  0.180808  {0,1,0}     21    1
119   438    12    13  0.551293  {0,0,1}     40    0
76    439    41    51  0.807042  {0,1,0}     27    0
87    451   193   246  0.092698  {0,2,0}     33    1
100   481   180   181  0.929042  {0,1,0}     39    1
20    493    53    55  0.121314  {0,1,0}     31    0
29    499    22    24  0.926382  {0,2,0}     20    1
112   502     3     4  0.731869  {1,1,0}     40    1
52    502    66    67  0.807606  {1,3,0}     37    1
67    504   115   116  0.477851  {0,2,0}     22    0
90    513   252   253  0.455013  {0,2,0}     28    0
9     522   154   157  0.598899  {0,3,0}     33    1
122   532   137   138  0.165787  {0,2,0}     31    0
21    541    90    91  0.270566  {0,3,0}     39    1
1     544   186   198  0.413458  {1,0,0}     40    1
2     553   103   104  0.371457  {0,0,1}     25    0
46    557   190   191  0.454702  {0,0,1}     29    1
102   563    36    38  0.826246  {1,0,0}     40    1
14    572   136   146  0.081202  {0,3,0}     32    1
77    581    27    28  0.724486  {1,0,0}     40    1
11    597   113   114  0.621639  {1,0,0}     35    1
26    598    84    86  0.360860  {0,2,0}     28    1
31    602    97   115  0.973546  {0,2,0}     29    0
