map EGL-G2-A
fac 5 10 {0,245,104,121,57}
hosp 1 {0}
n_ALS 6 1 {1:0,4:121,1:57}
n_BLS 25 1 {4:0,1:245,5:104,6:121,9:57}
n_CLS 5 0 {3:0,1:245,1:104}
      c_m  head  tail      c_af      c_d  c_tau  c_h
113     2   219   223  0.021607  {1,1,0}     33    1
66      4   140   142  0.611373  {0,1,0}     28    0
127    57   189   190  0.208468  {0,1,0}     25    1
92     65    21    35  0.139187  {0,3,0}     21    1
6     101     5    23  0.394557  {1,0,0}     26    1
120   106   247   248  0.753628  {0,1,0}     20    0
126   135    81    82  0.137643  {1,0,0}     24    1
30    139    91    92  0.423560  {1,1,0}     31    1
36    180    31    38  0.090049  {1,0,0}     28    1
99    182    71    72  0.672991  {0,1,0}     29    0
3     205    32    34  0.321668  {1,1,0}     27    1
45    246   195   248  0.472005  {0,0,1}     27    1
27    350   239   244  0.821640  {0,1,0}     20    1
78    355   188   189  0.573628  {1,0,0}     21    1
24    367    82    85  0.888114  {0,1,0}     24    1
57    431    79    80  0.149931  {0,2,0}     20    1
54    435   107   109  0.725005  {0,2,0}     33    0
77    442   125   126  0.668453  {0,1,0}     21    0
11    460    47    48  0.749774  {0,0,1}     30    0
73    466   191   195  0.094365  {0,3,0}     36    1
61    472    27    30  0.950901  {0,2,0}     37    0
119   476   240   242  0.482683  {0,0,1}     24    0
105   491   157   163  0.933440  {0,0,1}     36    1
62    491    46    47  0.296465  {1,0,0}     33    1
95    492   251   252  0.580362  {0,3,0}     22    0
70    502    27    30  0.621511  {0,1,0}     38    0
42    512   161   164  0.021412  {0,0,1}     30    1
72    522   244   245  0.048869  {0,3,0}     34    0
115   528    96    98  0.560422  {0,1,1}     21    0
65    530    53    55  0.696092  {0,3,0}     37    0
37    537   190   192  0.226194  {0,0,1}     38    0
80    542   201   203  0.953864  {0,1,0}     37    1
0     549    23   171  0.871196  {0,1,0}     38    0
9     555   161   165  0.762475  {1,1,0}     22    1
60    560    16    17  0.921818  {1,0,0}     37    1
22    565    91    96  0.229077  {1,0,0}     34    1
100   567   112   113  0.723406  {0,2,0}     34    1
96    568   128   129  0.787058  {1,1,0}     23    1
88    581   151   152  0.965890  {0,3,0}     29    0
50    593    42    43  0.466024  {1,0,0}     30    1
15    602    87    88  0.461200  {0,0,1}     39    1
7     629    17    19  0.108331  {0,3,0}     38    0
40    648   179   184  0.097864  {0,2,0}     28    1
98    648    17    22  0.163780  {0,3,0}     39    1
10    656   245   246  0.691870  {1,0,0}     23    1
12    665    54    55  0.138828  {1,0,0}     32    1
75    673    20    21  0.158078  {1,1,0}     26    1
59    675   204   205  0.491817  {0,2,0}     26    1
90    677    73    74  0.374327  {0,2,0}     30    1
20    709   108   109  0.959287  {0,3,0}     22    1
109   711    54    55  0.968417  {0,1,0}     29    1
76    721   243   245  0.620869  {1,1,0}     33    1
46    723    63    65  0.755051  {0,1,0}     23    0
43    757   125   126  0.979418  {0,2,0}     27    1
68    777    49    50  0.014528  {0,3,0}     21    0
5     793   219   220  0.878464  {1,1,0}     21    1
86    801    98   127  0.764599  {0,1,0}     33    1
69    809   226   229  0.342927  {0,2,0}     26    0
74    816   154   157  0.596567  {0,3,0}     32    1
71    827   186   188  0.422568  {0,3,0}     24    1
1     831   180   181  0.211855  {1,3,0}     27    1
16    831   118   119  0.723461  {0,1,1}     20    0
111   840     0     1  0.716962  {0,3,0}     29    1
