map EGL-G2-A
fac 5 10 {0,179,112,221,12}
hosp 2 {0,31}
n_ALS 6 1 {2:179,3:112,1:221}
n_BLS 20 1 {3:0,3:179,7:112,3:221,4:12}
n_CLS 6 0 {1:0,2:179,1:221,2:12}
      c_m  head  tail      c_af      c_d  c_tau  c_h
14      1   190   191  0.424928  {0,2,0}     38    0
45     10   245   246  0.845065  {1,1,0}     40    1
93     15   111   114  0.239465  {0,3,0}     28    0
53     29   163   168  0.130501  {1,1,0}     31    1
52     30    49    56  0.773493  {1,0,0}     37    1
0      70   200   201  0.941111  {0,2,0}     33    1
17    117    67    69  0.310668  {0,1,0}     39    1
91    143   129   130  0.486072  {0,3,0}     32    0
18    220    27    30  0.554474  {1,1,0}     31    1
10    319    62    63  0.789702  {0,1,0}     25    0
110   348   143   145  0.857093  {0,3,0}     31    0
34    375   136   137  0.610766  {1,0,0}     38    1
82    377   123   124  0.432298  {0,3,0}     34    0
88    413   177   180  0.368723  {0,1,1}     32    1
114   426     4     5  0.692143  {0,2,0}     22    0
3     437    31    38  0.629237  {0,2,0}     24    1
1     441    18    19  0.346865  {0,3,0}     28    1
48    444    82    85  0.164476  {0,3,0}     23    1
77    473   227   231  0.251993  {0,1,0}     27    1
120   476    89    90  0.770586  {1,1,0}     35    1
115   510    83    84  0.656071  {1,2,0}     34    1
25    514   129   138  0.750526  {0,0,1}     24    1
40    517    78    82  0.131386  {0,2,0}     24    1
112   520   117   118  0.076394  {1,1,0}     39    1
80    520    93    94  0.246085  {0,1,0}     29    1
99    548   129   138  0.795077  {1,0,0}     25    1
37    565    50    52  0.439241  {0,1,0}     21    1
43    604   205   207  0.837636  {0,1,0}     35    1
108   604   244   253  0.998988  {0,1,0}     40    0
31    615    47    64  0.424444  {1,0,0}     27    1
57    616    19    25  0.631763  {1,0,0}     29    1
125   622   240   241  0.785301  {0,3,0}     26    0
72    626   196   197  0.794761  {0,1,0}     40    1
61    635    43    46  0.397443  {0,3,0}     23    1
71    657   151   152  0.240884  {1,0,0}     38    1
118   659    50    53  0.623359  {0,1,0}     39    1
32    660   121   122  0.144678  {0,0,1}     21    1
58    661    76    78  0.933354  {0,1,0}     26    0
117   669     5     6  0.375608  {1,1,0}     30    1
60    684   225   226  0.027832  {0,1,0}     25    0
86    691   204   206  0.598976  {0,1,0}     23    1
78    693   166   175  0.834514  {0,1,0}     26    1
69    695     8    33  0.544893  {0,2,0}     25    1
15    699   120   162  0.286130  {1,1,0}     21    1
12    702   159   160  0.412083  {1,0,0}     33    1
30    715   128   129  0.623548  {0,1,0}     32    0
102   718   138   139  0.737171  {1,3,0}     21    1
73    734    85   101  0.343637  {0,3,0}     38    0
98    737   194   242  0.710252  {1,1,0}     27    1
23    739   190   191  0.715497  {1,0,0}     27    1
35    780    67    69  0.941259  {0,2,0}     35    1
41    787   248   249  0.579412  {1,0,0}     25    1
97    787   133   135  0.158213  {0,0,1}     34    1
33    789   152   155  0.047031  {1,0,0}     33    1
49    797   205   207  0.148946  {1,1,0}     39    1
122   814    34    41  0.594552  {1,0,0}     36    1
64    814   184   188  0.236075  {0,0,1}     40    1
36    816   245   246  0.351352  {0,2,0}     25    0
94    823   170   174  0.485715  {0,2,0}     31    1
26    829   143   144  0.892771  {1,1,0}     38    1
28    862   206   207  0.512769  {0,1,0}     27    1
107   865     3    23  0.301603  {0,2,0}     37    0
22    874   189   190  0.818015  {0,2,0}     40    1
65    884   233   234  0.941123  {1,1,0}     28    1
89    899   223   224  0.083734  {0,2,0}     23    0
126   909   249   252  0.482918  {1,0,0}     21    1
44    914   164   169  0.261352  {1,1,0}     30    1
104   917   125   152  0.797911  {1,0,0}     32    0
67    922   226   227  0.529989  {0,1,0}     39    0
74    922   233   254  0.379095  {0,3,0}     28    1
100   924   205   207  0.502010  {1,1,0}     38    1
106   934   174   182  0.736429  {0,2,0}     34    0
11    935   123   124  0.575789  {0,0,1}     38    1
50    938   150   151  0.589811  {1,1,0}     38    1
20    951   184   185  0.810791  {0,1,0}     38    1
47    970     5    26  0.879185  {1,1,0}     23    1
6     976   125   126  0.812731  {1,0,0}     35    1
59    983    34    41  0.090457  {0,1,0}     27    1
27    985   212   213  0.617736  {1,0,0}     38    1
68    990   174   189  0.792061  {1,1,0}     32    1
103   991   106   108  0.969167  {1,3,0}     30    1
119   992    16    17  0.668055  {1,1,0}     26    1
7     996    49    50  0.841732  {1,0,0}     32    1
19   1006    90    92  0.744465  {1,1,0}     27    1
109  1013   157   163  0.275467  {0,1,1}     34    1
85   1016    89    90  0.811388  {0,1,1}     38    1
96   1017    18    20  0.872985  {0,1,0}     38    0
21   1020    47    64  0.224168  {1,0,0}     20    1
16   1032   148   149  0.616513  {0,1,0}     23    1
38   1040   116   123  0.857100  {0,2,0}     22    0
66   1073    78    79  0.142511  {0,0,1}     38    1
63   1074   225   226  0.531540  {0,0,1}     37    0
105  1089   159   160  0.499068  {0,1,1}     39    1
79   1121   105   107  0.236171  {0,1,0}     22    0
51   1130   170   174  0.140486  {0,2,0}     38    1
42   1131    82    83  0.004189  {0,2,0}     37    1
70   1134    70    79  0.295848  {1,1,0}     20    1
5    1168    47    64  0.603683  {0,2,0}     33    1
39   1196    27    30  0.364790  {1,1,0}     25    1
83   1197   150   151  0.675999  {1,1,0}     28    1
76   1210   104   105  0.412069  {1,0,0}     34    1
75   1212    36    39  0.623258  {0,1,1}     26    1
8    1216    39    40  0.897759  {0,1,1}     28    1
127  1237   171   172  0.577142  {1,0,0}     35    1
54   1246   175   177  0.550514  {0,2,0}     24    1
111  1249    59    72  0.806986  {0,1,0}     39    0
13   1254   165   166  0.010760  {0,3,0}     28    1
62   1258   225   228  0.268685  {1,1,0}     20    1
56   1259    71    72  0.611533  {1,0,0}     22    1
