map EGL-G2-E
fac 5 10 {0,108,39,163,192}
hosp 2 {0,86}
n_ALS 9 1 {1:108,5:39,3:192}
n_BLS 16 1 {1:0,1:108,5:39,7:163,2:192}
n_CLS 7 0 {3:0,4:192}
      c_m  head  tail      c_af      c_d  c_tau  c_h
65      1    81    89  0.332185  {0,1,1}     30    0
37      9   231   232  0.516239  {0,2,0}     30    0
113    11    48    49  0.768001  {0,1,0}     23    0
80     12    76    78  0.980877  {0,1,0}     25    0
93     17    61    62  0.096596  {0,1,0}     38    1
6      27    16    18  0.085124  {1,0,0}     21    1
8      34   121   122  0.224575  {0,1,0}     32    1
0      42    56    57  0.947047  {0,1,0}     23    0
61     64   219   220  0.999291  {1,0,0}     32    1
31     99   250   251  0.081644  {0,1,0}     25    1
68    131   221   222  0.606151  {0,1,1}     35    1
115   136    91    92  0.087747  {0,3,0}     30    0
97    155   158   159  0.473890  {0,1,0}     25    0
23    174   201   202  0.852789  {1,0,0}     39    1
66    222   125   126  0.275194  {0,0,1}     36    0
104   226    69    80  0.860650  {0,3,0}     34    0
73    228    59    72  0.034421  {0,2,0}     31    1
84    232   126   150  0.433438  {0,1,0}     26    1
3     299   130   131  0.187391  {0,0,1}     20    1
87    308   126   150  0.803603  {0,2,0}     33    0
99    339     9    34  0.832656  {1,1,0}     26    1
41    426   176   177  0.622359  {0,3,0}     32    1
53    491   201   202  0.303572  {0,2,0}     22    1
89    495    92    93  0.340263  {1,0,0}     22    1
95    503   125   152  0.827340  {1,1,0}     26    1
38    516    32    34  0.299109  {0,1,0}     23    1
21    534   251   252  0.177543  {1,0,0}     20    1
42    543     2    14  0.182790  {1,1,0}     36    1
59    555   162   163  0.259199  {1,0,0}     22    1
33    560   127   128  0.408759  {1,1,0}     35    1
26    601   130   131  0.358760  {0,2,0}     33    1
106   605   141   142  0.488513  {0,1,0}     39    0
14    616   177   181  0.536408  {0,1,0}     28    0
18    619   129   138  0.405012  {0,1,0}     36    1
43    627    15    17  0.121343  {1,0,0}     31    1
7     632   179   183  0.839737  {0,3,0}     22    1
62    642    83    84  0.807723  {0,2,0}     38    0
117   648   252   253  0.818965  {1,1,0}     38    1
30    651   145   146  0.889229  {1,1,0}     20    1
101   669    24    25  0.006367  {0,2,0}     36    0
2     678     4     5  0.604415  {0,0,1}     26    1
77    685    76    78  0.012245  {0,3,0}     34    1
72    686   247   248  0.635374  {1,1,0}     38    1
58    695   143   144  0.798334  {1,1,0}     37    1
36    710   157   163  0.434856  {0,0,1}     24    1
110   711   196   198  0.534011  {0,2,0}     23    0
52    712   125   152  0.542737  {1,1,0}     30    1
12    721   126   150  0.810740  {0,1,0}     30    0
123   737    63    65  0.349366  {0,3,0}     27    1
15    765   233   235  0.931672  {0,2,0}     29    1
114   784    84    86  0.764721  {0,1,0}     33    0
70    796    24    26  0.407686  {1,0,0}     34    0
82    808    58    59  0.705517  {1,0,0}     26    1
51    808   220   221  0.019694  {0,2,0}     35    0
94    811    63    64  0.416766  {0,1,0}     30    1
64    813   235   236  0.621631  {0,1,0}     24    1
10    825   101   102  0.889011  {0,1,0}     38    1
112   843    93    94  0.461921  {0,2,0}     36    1
45    849   228   229  0.875191  {0,1,0}     35    1
63    850   205   208  0.037246  {0,1,0}     35    0
79    851   201   203  0.989643  {0,2,0}     36    0
50    852    39    73  0.677821  {0,2,0}     36    1
39    873    41    51  0.784926  {0,2,0}     39    1
11    874    94    95  0.801828  {1,0,0}     40    1
67    875     5    26  0.370265  {1,1,0}     33    1
4     884   106   108  0.261859  {0,1,0}     33    0
105   886    63    64  0.191805  {0,1,0}     21    1
46    897     1    12  0.323633  {1,1,0}     27    1
17    900     3     4  0.713989  {0,1,0}     20    0
54    921   125   152  0.112936  {0,2,0}     40    1
1     927   204   205  0.075990  {0,2,0}     40    0
56    940    45    64  0.278223  {1,1,0}     27    1
29    942   111   114  0.952496  {0,2,0}     26    0
103   942   141   142  0.459150  {0,1,0}     35    1
34    947    61    65  0.364483  {1,2,0}     31    1
13    947   175   177  0.272928  {0,2,0}     39    1
57    950   185   187  0.685828  {0,3,0}     26    0
40    951    97   115  0.061007  {1,0,0}     35    1
27    959    92    93  0.608457  {1,1,0}     37    1
