map EGL-G1-C
fac 5 10 {0,213,191,39,5}
hosp 1 {0}
n_ALS 6 1 {1:213,2:191,3:5}
n_BLS 24 1 {7:0,7:213,3:191,5:39,2:5}
n_CLS 5 0 {1:0,1:191,2:39,1:5}
      c_m  head  tail      c_af      c_d  c_tau  c_h
100    13    17    19  0.098236  {0,2,0}     25    1
26     14    48    57  0.691989  {0,2,0}     27    0
39     19   225   227  0.759379  {1,1,0}     33    1
114    37    59    71  0.244330  {0,2,0}     32    1
28     45   114   115  0.762584  {0,1,0}     25    0
51     60   211   212  0.236718  {0,0,1}     36    1
113    67   204   209  0.409381  {0,0,1}     38    0
19     80   161   162  0.521269  {0,2,0}     34    1
103    85    23   229  0.657254  {0,2,0}     37    0
108   105   220   222  0.757988  {0,2,0}     28    0
89    122   139   140  0.506256  {0,2,0}     21    1
121   184    54    55  0.937280  {0,1,0}     31    0
34    229    65    92  0.075433  {1,1,0}     24    1
52    240   175   176  0.200638  {0,2,0}     22    0
11    254   184   185  0.469101  {0,1,0}     25    0
42    325    91    92  0.107286  {1,1,0}     26    1
6     356    31    38  0.881893  {0,2,0}     23    0
21    376   194   195  0.075323  {1,1,0}     32    1
61    381   164   165  0.988361  {1,1,0}     33    1
47    423    91    92  0.493030  {0,2,0}     28    0
23    458   178   179  0.252313  {0,0,1}     24    1
30    458   119   169  0.580033  {1,0,0}     26    1
54    467   106   107  0.409106  {0,1,0}     38    1
29    468    65    91  0.650445  {1,0,0}     28    1
7     484     5     6  0.421174  {0,2,0}     39    0
37    500    81    84  0.240767  {0,0,1}     27    1
101   508    59    60  0.495037  {0,0,1}     28    1
79    524   241   242  0.993062  {0,0,1}     23    0
17    528    83    85  0.050493  {1,0,0}     33    0
64    566   244   248  0.251653  {0,2,0}     32    0
122   567    59    71  0.029510  {0,3,0}     24    1
36    570    28    29  0.791153  {0,2,0}     27    1
10    575    41    51  0.558933  {0,3,0}     35    1
93    588    79    80  0.868830  {0,1,0}     36    1
118   605    70    71  0.720828  {0,1,0}     31    0
94    609   190   191  0.086154  {0,3,0}     31    0
127   617   119   161  0.611376  {0,3,0}     38    1
80    619    83    84  0.702442  {0,3,0}     20    1
78    625   155   156  0.894106  {0,1,0}     35    1
85    628   163   164  0.721310  {0,3,0}     27    0
35    631    65    66  0.004475  {0,1,0}     30    0
109   632   145   146  0.097368  {0,2,0}     32    1
105   632    75    76  0.725435  {1,1,0}     25    1
126   633   142   143  0.347015  {0,0,1}     24    0
15    645    23   149  0.601362  {0,1,0}     30    1
27    647    51    52  0.566465  {0,1,1}     32    0
44    648   146   147  0.121057  {0,2,0}     26    0
116   661     7     8  0.529417  {1,0,0}     40    1
18    664   142   143  0.264885  {0,1,0}     25    0
91    699   225   226  0.484604  {1,0,0}     38    1
22    705    78    79  0.045111  {0,2,0}     39    1
63    713   119   161  0.291826  {0,1,0}     23    1
92    728    15    17  0.425113  {1,0,0}     37    1
120   730   227   228  0.304857  {1,1,0}     31    1
71    739    58    59  0.479012  {0,2,0}     21    1
49    756    50    52  0.156012  {1,0,0}     23    1
5     765   210   212  0.828047  {1,1,0}     36    1
84    767    80    81  0.084525  {0,1,1}     21    0
59    786    53    54  0.149376  {0,1,0}     26    1
25    790    29    31  0.646287  {1,0,0}     23    1
98    792    75    76  0.772950  {1,1,0}     23    1
107   795   176   179  0.650920  {0,1,0}     28    1
110   802   210   211  0.940761  {0,2,0}     38    0
82    803   225   248  0.844906  {0,1,0}     23    1
106   806   103   104  0.077860  {0,1,0}     27    0
112   817   149   150  0.625678  {0,2,0}     36    1
115   828    45    64  0.993959  {0,3,0}     26    1
40    842   211   213  0.499869  {0,2,0}     20    1
81    843    36    37  0.708726  {0,2,0}     21    0
65    846    73    75  0.594328  {0,2,0}     33    1
31    848    32    33  0.946183  {0,2,0}     36    1
62    850   104   106  0.372615  {0,3,0}     36    1
32    854   104   106  0.871817  {0,2,0}     29    1
77    861    97   126  0.450243  {0,2,0}     29    1
41    873   189   190  0.459045  {0,2,0}     35    0
53    874   237   238  0.967621  {1,1,0}     38    0
83    876    50    51  0.261793  {0,1,0}     23    1
50    883    49    56  0.941344  {1,1,0}     29    1
48    889    50    52  0.605665  {1,0,0}     36    1
74    910    10    11  0.940134  {0,1,0}     37    1
88    912    83    85  0.512733  {0,1,0}     29    1
76    928   144   147  0.980295  {0,3,0}     30    0
86    933   139   141  0.937385  {0,1,0}     30    1
4     934   170   171  0.063584  {0,3,0}     26    0
75    934   177   184  0.891892  {0,2,0}     28    0
70    938   125   149  0.208868  {0,1,0}     24    1
124   951   226   227  0.002031  {0,2,0}     21    1
9     973   234   235  0.331610  {0,1,0}     33    0
102  1007    83    85  0.046222  {1,0,0}     39    1
55   1007   211   213  0.730796  {0,1,0}     26    1
