map EGL-G2-E
fac 5 10 {0,57,223,177,30}
hosp 3 {0,223,128}
n_ALS 6 1 {3:57,2:223,1:177}
n_BLS 16 1 {4:0,3:57,5:223,3:177,1:30}
n_CLS 8 0 {2:0,1:57,2:223,2:177,1:30}
      c_m  head  tail      c_af      c_d  c_tau  c_h
28     21   129   138  0.970575  {0,2,0}     30    1
16     50   172   173  0.813441  {0,0,1}     26    1
105    56   108   109  0.029195  {0,2,0}     31    1
7      68     4     5  0.209890  {1,0,0}     36    1
49     74   137   138  0.174905  {0,0,1}     30    0
59    105   181   182  0.366987  {0,1,0}     36    1
107   105    46    47  0.516280  {0,1,0}     26    0
106   120   244   253  0.364166  {0,2,0}     34    1
45    124     6    27  0.621434  {0,3,0}     40    0
95    144    90    92  0.705366  {0,1,1}     24    0
54    148    56    57  0.999791  {0,2,0}     36    0
123   153   112   113  0.850862  {0,2,0}     36    1
73    157   195   196  0.713476  {1,1,0}     37    1
56    160   249   250  0.203827  {1,0,0}     34    1
99    163    25    26  0.419924  {1,0,0}     35    1
24    178     4    22  0.181960  {0,1,0}     34    1
31    180   208   210  0.437423  {0,1,1}     21    0
125   187   189   190  0.503719  {0,2,0}     28    1
83    196   120   162  0.896129  {0,3,0}     27    1
85    203   226   251  0.506529  {1,1,0}     36    1
114   222   166   167  0.443194  {1,0,0}     32    1
103   253    42    43  0.142248  {1,1,0}     39    0
97    263     2     3  0.727473  {0,2,0}     21    1
10    278   122   124  0.420518  {0,2,0}     26    1
79    286   190   192  0.372501  {0,2,0}     40    1
30    308   125   150  0.003473  {0,2,0}     31    1
8     317   225   228  0.531161  {1,0,0}     31    1
19    333     0    21  0.338481  {0,2,0}     40    1
29    343   140   142  0.209725  {1,0,0}     27    1
93    387     3    15  0.441442  {0,3,0}     26    0
86    403   216   217  0.230053  {0,3,0}     37    1
57    406    69    70  0.180838  {1,1,0}     36    1
109   424   138   139  0.877143  {0,2,0}     35    1
119   468   159   160  0.906976  {1,1,0}     24    1
2     470    43    46  0.870271  {1,1,0}     24    1
51    498   244   253  0.607215  {0,1,0}     25    0
13    525    32    34  0.182690  {0,0,1}     33    1
23    525   216   218  0.047449  {1,0,0}     37    1
111   538   247   248  0.657269  {0,2,0}     28    0
69    544    12    16  0.158659  {0,2,0}     22    1
36    555    50    51  0.800120  {0,2,0}     37    1
14    567   217   219  0.304428  {1,1,0}     33    1
68    572   152   155  0.668892  {0,2,0}     28    0
70    583   234   239  0.555522  {0,1,0}     21    1
71    588   117   118  0.929842  {0,2,0}     21    1
48    608    86    87  0.532561  {0,0,1}     25    1
52    610    21    35  0.355405  {0,3,0}     32    1
101   626    69    80  0.268657  {0,1,1}     31    0
66    633     7     8  0.897508  {0,1,0}     40    0
116   635   166   175  0.093774  {1,1,0}     26    1
17    636    43    44  0.147021  {0,2,0}     39    1
12    655   102   103  0.511728  {0,1,1}     33    1
108   664    39    52  0.801163  {0,1,0}     38    0
46    664    12    16  0.897036  {0,2,0}     25    1
100   680    82    83  0.245168  {1,1,0}     29    1
39    681    37    75  0.133060  {1,0,0}     39    1
44    683    46    47  0.822828  {0,2,0}     29    1
121   687   153   154  0.736500  {0,1,0}     34    1
32    690    13    14  0.539332  {0,2,0}     36    1
0     691   179   183  0.016835  {0,1,0}     27    1
91    696    96    98  0.040591  {0,2,0}     30    1
40    698   151   153  0.237020  {0,1,0}     20    0
78    699   161   165  0.040097  {0,3,0}     28    1
26    710   200   201  0.586827  {1,0,0}     28    1
62    714   104   114  0.369605  {0,2,0}     25    1
122   715   112   113  0.887616  {1,1,0}     33    1
