map EGL-G1-D
fac 5 10 {0,142,36,131,158}
hosp 1 {0}
n_ALS 7 1 {1:0,2:142,2:36,2:158}
n_BLS 16 1 {2:0,3:142,3:36,5:131,3:158}
n_CLS 8 0 {2:0,3:142,1:131,2:158}
      c_m  head  tail      c_af      c_d  c_tau  c_h
95     23   157   158  0.407786  {0,3,0}     38    1
102    44    96   114  0.365019  {0,1,0}     27    1
26     45     0     1  0.185836  {0,1,1}     37    0
123    68   178   179  0.706934  {0,2,0}     27    0
40     73    50    53  0.877983  {0,3,0}     29    1
114    80   213   216  0.245945  {0,0,1}     26    1
58     83    85    86  0.164193  {0,2,0}     32    1
117    98    90    91  0.015838  {1,1,0}     25    1
18    161   156   162  0.394901  {0,2,0}     21    0
108   197   124   125  0.632204  {0,3,0}     37    0
1     207   144   147  0.735910  {0,0,1}     28    0
93    268    45    64  0.766227  {1,1,0}     34    1
24    320    23   229  0.679451  {0,1,0}     22    0
78    330    73    74  0.314909  {0,1,0}     34    1
73    336   160   163  0.747940  {0,2,0}     30    1
16    337    83    85  0.025997  {1,1,0}     37    1
11    377    39    72  0.211866  {0,2,0}     40    1
33    392    75    76  0.214961  {1,0,0}     31    1
99    393   142   144  0.588666  {0,1,0}     28    0
104   417   127   128  0.361270  {0,3,0}     40    0
98    420    98   131  0.372524  {0,3,0}     20    1
124   427    16    17  0.040924  {1,0,0}     30    1
23    439    29    31  0.149722  {0,3,0}     38    1
14    456    65    66  0.465924  {1,1,0}     37    1
25    464   121   123  0.615015  {0,1,0}     34    1
27    485     3    23  0.144050  {0,3,0}     40    1
54    498    69    78  0.374842  {0,0,1}     24    0
70    503    18    20  0.793224  {0,2,0}     40    0
76    508   157   158  0.304453  {0,3,0}     25    1
49    526   106   108  0.175057  {0,2,0}     37    0
89    541    65    91  0.038956  {0,2,0}     38    1
65    545   125   149  0.847670  {0,2,0}     39    0
52    546   231   236  0.007248  {0,1,0}     36    1
42    547   115   122  0.065524  {0,2,0}     35    1
67    554   132   134  0.845501  {1,1,0}     34    1
80    580    43    46  0.923994  {0,0,1}     33    1
6     613    45    64  0.769155  {0,3,0}     39    1
81    616   122   123  0.652740  {0,1,0}     20    1
107   624    94    95  0.678525  {1,1,0}     35    1
29    626   246   248  0.398321  {0,2,0}     34    1
101   627    12    16  0.107699  {0,2,0}     29    1
68    650    81    82  0.041041  {1,0,0}     24    1
84    661    29    31  0.745984  {0,2,0}     28    1
60    665     3    23  0.941388  {1,1,0}     22    1
105   669   206   207  0.360916  {0,1,1}     30    1
90    679   204   205  0.737863  {1,1,0}     28    1
8     682    96    97  0.709519  {1,1,0}     20    1
28    688   226   227  0.482314  {0,2,0}     39    1
45    690    30    33  0.089471  {0,1,0}     34    0
36    692    59    71  0.868282  {0,3,0}     39    0
53    697    79    80  0.993730  {0,3,0}     21    0
112   706     7    30  0.756790  {0,0,1}     39    1
38    715    61    62  0.540918  {1,0,0}     21    1
50    724   141   142  0.539749  {0,3,0}     32    1
69    734    54    55  0.735782  {0,2,0}     27    1
111   746   186   187  0.235366  {0,1,1}     35    0
0     747    59    60  0.520566  {1,1,0}     35    1
122   750   222   223  0.919026  {0,1,1}     34    1
72    767   118   119  0.268100  {0,3,0}     27    0
91    784     7    30  0.795518  {0,2,0}     31    0
15    785    23   229  0.184522  {1,0,0}     36    1
17    790    96    97  0.609702  {0,2,0}     27    1
21    790   123   124  0.332203  {0,1,1}     34    1
34    801   174   175  0.783198  {0,1,0}     27    1
63    838   131   132  0.836909  {1,1,0}     39    1
120   843    10    41  0.337979  {0,1,0}     26    1
39    843    29    30  0.632745  {1,1,0}     20    1
41    847   194   195  0.909133  {0,2,0}     38    1
3     856     5    23  0.229077  {0,1,0}     31    1
55    859    37    74  0.755411  {1,0,0}     26    1
46    864   120   121  0.370356  {1,0,0}     36    1
74    868   177   184  0.101910  {0,1,0}     38    1
109   873    22    24  0.928756  {0,0,1}     33    0
20    873    24    25  0.176490  {1,1,0}     30    1
96    887   226   227  0.729689  {0,2,0}     37    0
44    888   105   107  0.298757  {0,2,0}     28    1
4     893   104   105  0.936642  {0,2,0}     26    0
7     897   120   154  0.198437  {0,3,0}     29    1
10    902   136   137  0.761940  {0,1,0}     39    1
88    903   135   145  0.233135  {0,1,0}     29    0
37    910   199   201  0.419132  {0,1,0}     38    0
35    927    63    64  0.305995  {1,0,0}     28    1
62    928   142   144  0.874897  {0,2,0}     20    1
61    940    89    91  0.546705  {0,1,0}     38    0
85    941    40    41  0.575843  {0,1,0}     40    1
100   952   125   126  0.827920  {0,1,0}     30    0
115   975    49    56  0.616106  {1,0,0}     34    1
94    976     6    27  0.039142  {1,1,0}     29    1
97    984    28    29  0.151606  {1,1,0}     27    1
71    989   162   167  0.521790  {1,0,0}     34    1
5     994   188   189  0.275312  {0,3,0}     37    1
19   1002   106   108  0.057531  {0,3,0}     26    1
