map EGL-G2-B
fac 5 10 {0,252,237,179,36}
hosp 1 {0}
n_ALS 8 1 {1:237,2:179,5:36}
n_BLS 23 1 {4:0,5:252,5:237,4:179,5:36}
n_CLS 8 0 {3:0,2:252,3:237}
      c_m  head  tail      c_af      c_d  c_tau  c_h
59      0    43    44  0.947694  {0,2,0}     34    0
84      2   107   108  0.441850  {0,3,0}     39    0
114    11   184   188  0.119917  {1,0,0}     25    1
80     20    50    52  0.179645  {0,2,0}     35    1
116    24   139   140  0.472470  {1,1,0}     30    1
43     44   157   163  0.084326  {1,3,0}     39    1
105    47     1    12  0.510697  {0,3,0}     26    0
98     80   125   152  0.305033  {0,3,0}     25    0
3     101   197   200  0.166512  {0,3,0}     24    0
40    103   147   148  0.667534  {0,3,0}     33    0
67    121    80    81  0.853844  {0,2,0}     23    1
106   127   132   133  0.119581  {0,3,0}     37    1
119   129     7    30  0.134313  {0,1,0}     23    1
42    136   245   246  0.921709  {1,0,0}     26    1
41    156   225   228  0.629343  {0,0,1}     31    1
29    166    12    16  0.083444  {1,0,0}     22    1
60    175   221   222  0.251581  {1,0,0}     20    1
97    206    51    52  0.672914  {1,1,0}     38    1
109   317   141   142  0.923516  {0,3,0}     28    1
30    369    80    81  0.283286  {0,2,0}     20    0
44    387    36    38  0.542734  {0,1,0}     40    1
126   447    29    30  0.090970  {0,1,0}     29    1
53    452   197   200  0.635019  {0,0,1}     20    1
9     454   140   142  0.930960  {0,3,0}     22    1
99    465   192   194  0.162178  {0,2,0}     29    0
58    469    56    57  0.379677  {0,3,0}     39    1
31    481   164   169  0.338019  {0,2,0}     27    1
66    498   201   202  0.439133  {0,0,1}     27    1
35    507   247   249  0.207990  {0,3,0}     21    1
85    521   120   170  0.502263  {0,3,0}     31    1
28    525   231   232  0.570720  {0,2,0}     30    0
70    527   199   200  0.013668  {1,1,0}     32    1
127   541   171   172  0.310989  {0,2,0}     24    1
61    542   125   150  0.213055  {0,2,0}     38    1
107   544   101   102  0.810509  {1,0,0}     33    1
21    545   126   150  0.303272  {1,1,0}     30    1
96    552   199   200  0.193752  {1,1,0}     21    1
71    558   212   213  0.375009  {0,2,0}     29    0
11    560    23   171  0.949627  {0,1,0}     22    0
50    584    66    93  0.638169  {1,0,0}     24    1
118   588    95    96  0.967441  {0,2,0}     33    0
