map EGL-G1-E
fac 5 10 {0,39,66,123,96}
hosp 1 {0}
n_ALS 9 1 {2:39,4:66,3:123}
n_BLS 16 1 {4:0,2:39,5:66,2:123,3:96}
n_CLS 10 0 {3:0,2:39,2:123,3:96}
      c_m  head  tail      c_af      c_d  c_tau  c_h
119     6   213   214  0.406811  {1,1,0}     26    1
66     13    38    40  0.456898  {0,2,0}     31    0
24     49   184   185  0.916697  {0,1,0}     33    1
1      88   241   242  0.538546  {1,1,0}     20    1
99    100    81    84  0.095970  {0,1,1}     40    1
102   122   105   117  0.447235  {0,2,0}     24    1
10    122   211   213  0.063708  {0,1,0}     38    1
12    126    19    20  0.858451  {1,0,0}     22    1
76    135   135   136  0.079579  {1,1,0}     20    1
25    150   189   241  0.350843  {1,0,0}     30    1
77    247    45    46  0.398612  {0,2,0}     28    1
47    248    81    84  0.383147  {1,1,0}     26    1
54    264    22    24  0.781054  {0,1,0}     37    1
93    273   228   229  0.528697  {0,0,1}     27    0
19    324   132   134  0.095832  {0,1,0}     35    1
91    436   108   109  0.465400  {0,1,0}     39    0
15    447   125   149  0.603319  {0,3,0}     33    1
123   463   135   145  0.062713  {0,1,0}     32    1
79    498     4    22  0.812522  {0,2,0}     24    1
81    515   176   179  0.847501  {1,0,0}     30    1
113   522   241   242  0.885786  {0,2,0}     31    1
31    535   139   141  0.074778  {1,0,0}     28    1
58    540     1     2  0.501707  {0,3,0}     30    0
94    540   245   246  0.777119  {1,3,0}     38    1
0     543   147   148  0.404584  {0,1,0}     39    1
105   559   212   243  0.939082  {0,3,0}     38    0
40    567   100   101  0.262623  {1,1,0}     21    1
108   571   118   119  0.957460  {0,2,0}     22    1
52    572    26    28  0.698566  {0,2,0}     32    1
61    596   104   106  0.634871  {0,2,0}     24    1
67    623    18    20  0.769173  {0,1,0}     26    1
36    631     2     3  0.535574  {0,2,0}     37    1
43    631   111   112  0.276614  {0,1,0}     37    1
125   636   151   154  0.120468  {0,1,0}     33    1
64    640   130   131  0.889941  {1,1,0}     32    1
101   645     5     6  0.515490  {0,2,0}     21    0
84    646   234   235  0.240931  {0,1,0}     28    0
120   648   155   161  0.458501  {0,3,0}     37    1
69    656   174   175  0.658773  {0,1,0}     20    0
38    658   178   182  0.325406  {0,2,0}     36    1
55    658    49    50  0.139580  {1,0,0}     23    1
23    675   163   168  0.316929  {0,3,0}     26    1
72    683   244   245  0.158714  {0,1,1}     39    0
56    686    53    55  0.389530  {1,0,0}     34    1
27    694   155   156  0.215003  {0,2,0}     29    1
92    705    35    36  0.970450  {0,1,0}     24    1
90    713    23   149  0.992945  {0,1,0}     37    0
75    729   192   193  0.270538  {0,1,0}     20    0
65    731   135   145  0.821642  {0,3,0}     21    1
118   736   115   122  0.573699  {0,2,0}     32    1
98    750   127   138  0.219230  {0,2,0}     25    0
106   752    98    99  0.555245  {0,1,0}     26    1
6     762   117   118  0.066735  {0,3,0}     25    1
53    778    54    58  0.182080  {0,2,0}     27    0
63    799   178   183  0.761364  {1,1,0}     21    1
116   813    27    30  0.325266  {0,1,0}     40    1
11    823    66    67  0.156784  {0,0,1}     39    1
46    835   107   108  0.968684  {1,1,0}     27    1
111   836    49    50  0.268087  {1,1,0}     31    1
82    843   222   225  0.190966  {1,2,0}     27    1
80    846   175   176  0.403205  {1,1,0}     35    1
71    865    61    62  0.339558  {0,3,0}     39    1
103   867   234   236  0.208386  {0,2,0}     39    1
88    869   127   128  0.891388  {1,1,0}     39    1
35    884   175   176  0.490784  {0,1,1}     25    0
73    897    80    81  0.887199  {0,1,0}     38    1
42    899   207   208  0.994206  {1,1,0}     22    1
50    910   237   240  0.512572  {0,2,0}     24    1
86    911   223   224  0.318715  {0,1,0}     26    1
115   922   161   162  0.707732  {0,3,0}     40    1
107   923    75    76  0.221142  {0,1,0}     20    0
48    930    32    33  0.383035  {0,2,0}     36    1
8     940   176   180  0.003183  {0,1,1}     30    1
16    945   163   168  0.380734  {0,1,0}     27    1
124   952    12    13  0.872537  {1,1,0}     22    1
104   956   199   201  0.691286  {1,0,0}     37    1
7     959   126   127  0.844071  {1,1,0}     21    1
49    970   202   203  0.173076  {0,3,0}     39    0
100   974   107   108  0.272417  {0,1,0}     26    0
2     977   176   179  0.540210  {0,1,0}     26    1
74    979   140   141  0.637522  {0,2,0}     33    1
117   995    43    46  0.202558  {0,0,1}     31    1
26    998   146   147  0.316545  {0,3,0}     34    1
110  1001    59    71  0.853129  {0,2,0}     30    1
39   1019   180   181  0.786188  {1,1,0}     23    1
28   1033    10    11  0.504506  {0,1,0}     32    1
87   1035   223   224  0.880887  {0,3,0}     29    1
60   1036     3     4  0.919714  {0,1,0}     37    0
97   1057    94    95  0.378759  {0,2,0}     30    0
44   1061   169   170  0.971629  {0,2,0}     26    0
13   1062     5     6  0.769720  {0,0,1}     31    1
20   1077    53    54  0.022328  {0,3,0}     37    0
126  1077    39    40  0.030926  {0,3,0}     28    0
4    1083   240   241  0.952649  {0,1,0}     26    1
121  1085   165   166  0.915694  {1,1,0}     33    1
85   1103   166   167  0.134255  {1,1,0}     36    1
112  1106    77    81  0.824557  {0,1,0}     35    0
34   1110    78    79  0.525874  {0,1,0}     26    1
3    1122   104   105  0.007493  {0,2,0}     27    1
96   1136   163   168  0.868350  {0,3,0}     21    0
83   1140     1     2  0.600345  {0,2,0}     35    1
109  1147   151   152  0.285363  {0,1,0}     24    0
30   1152    83    85  0.463816  {0,1,0}     31    1
45   1159   144   145  0.620174  {0,1,0}     20    1
70   1163    45    46  0.273676  {0,1,0}     29    1
62   1181   140   149  0.826360  {0,3,0}     33    1
29   1188   165   166  0.948198  {1,0,0}     31    1
5    1193    10    41  0.081949  {1,0,0}     23    1
33   1195   130   131  0.499575  {1,1,0}     38    0
9    1201   206   207  0.208483  {0,2,0}     27    1
127  1206    48    57  0.263610  {0,2,0}     36    1
95   1245    98   131  0.679391  {0,2,0}     20    0
14   1247   232   234  0.881090  {1,0,0}     31    1
59   1247   163   168  0.725437  {1,1,0}     29    1
114  1285   246   248  0.822811  {0,3,0}     35    0
78   1287   237   240  0.115667  {0,2,0}     39    0
89   1296    53    55  0.522291  {0,1,1}     35    1
57   1301   186   187  0.037041  {1,1,0}     38    1
17   1301    36    38  0.842651  {0,3,0}     21    0
68   1316     8     9  0.138737  {0,1,0}     33    1
21   1319   170   171  0.723257  {0,1,1}     21    1
122  1341   225   248  0.359612  {0,2,0}     40    1
41   1359    30    33  0.181083  {0,1,0}     23    0
37   1364    16    18  0.547096  {0,3,0}     33    1
22   1364   112   114  0.441712  {0,2,0}     35    1
18   1380    66    68  0.598827  {0,2,0}     32    1
51   1418    36    37  0.938285  {0,3,0}     39    1
32   1422    12    16  0.919892  {0,0,1}     25    0
