map EGL-G2-C
fac 5 10 {0,58,226,16,68}
hosp 1 {0}
n_ALS 5 1 {2:58,2:226,1:16}
n_BLS 19 1 {3:0,3:58,5:226,7:16,1:68}
n_CLS 8 0 {2:58,2:226,1:16,3:68}
      c_m  head  tail      c_af      c_d  c_tau  c_h
39      9   124   125  0.899240  {0,3,0}     29    0
10     19    61    62  0.395132  {0,0,1}     32    0
48    141    25    26  0.326528  {0,2,0}     40    0
32    157   225   228  0.221432  {0,3,0}     27    0
62    175    45    64  0.619557  {0,3,0}     21    1
118   178    40    41  0.256258  {1,0,0}     38    1
104   201   240   241  0.857395  {0,1,0}     32    1
121   303    97   112  0.210634  {0,2,0}     30    1
114   306   249   250  0.547662  {0,2,0}     25    1
41    309    32    33  0.813691  {1,1,0}     24    1
106   321    97   112  0.164388  {0,2,0}     30    0
122   338   200   201  0.726997  {0,1,1}     25    0
44    342     5    23  0.100197  {1,1,0}     36    1
25    359    15    17  0.816363  {1,1,0}     40    1
116   412   201   203  0.829308  {0,1,0}     36    0
82    475   218   225  0.638458  {0,2,0}     39    0
26    497    48    49  0.382482  {0,1,0}     24    0
86    503   203   204  0.543393  {1,0,0}     22    1
78    508    76    77  0.585855  {0,2,0}     35    1
105   508   234   239  0.083399  {1,1,0}     23    1
74    521   240   241  0.090379  {0,1,0}     28    0
20    522    32    33  0.701881  {0,1,0}     32    0
127   526   185   187  0.845517  {0,2,0}     36    1
113   541   177   181  0.932463  {0,1,0}     40    0
12    552   185   186  0.820998  {0,2,0}     36    1
100   554   165   166  0.694917  {0,1,0}     28    1
54    555     3     4  0.164795  {0,1,0}     38    1
15    561   234   239  0.964152  {0,2,0}     26    1
42    562   125   152  0.312648  {0,2,0}     20    0
96    571   197   200  0.005902  {0,2,0}     27    1
103   574    69    80  0.490685  {0,3,0}     20    0
19    576   208   210  0.468417  {0,2,0}     40    1
3     583   122   124  0.685778  {0,2,0}     32    1
35    587    27    30  0.485977  {0,1,0}     39    0
4     600   226   227  0.260567  {1,0,0}     22    1
126   600   123   124  0.569637  {1,1,0}     23    1
87    616   138   139  0.077718  {0,3,0}     23    1
59    619    55    56  0.947548  {0,1,0}     35    0
123   621    32    34  0.978505  {1,1,0}     27    1
108   623   203   204  0.793835  {0,0,1}     29    1
94    624   195   196  0.021442  {0,3,0}     23    1
63    624   194   242  0.435027  {1,3,0}     35    1
43    656   186   198  0.855528  {0,1,0}     23    0
21    680   252   253  0.281151  {0,3,0}     27    0
111   691   203   204  0.749627  {1,0,0}     29    1
119   692   133   135  0.021408  {0,2,0}     21    0
98    711    23   237  0.652882  {0,2,0}     32    0
67    723   199   200  0.784337  {0,3,0}     38    1
72    724   135   136  0.682884  {0,3,0}     38    1
17    736   239   243  0.724027  {1,1,0}     20    1
49    737   107   109  0.627812  {1,1,0}     40    1
76    742   166   175  0.854468  {1,0,0}     37    1
37    747   246   247  0.343185  {0,3,0}     23    1
16    763   125   150  0.460602  {0,1,0}     27    1
124   775    82    83  0.517086  {1,1,0}     27    1
40    782    39    40  0.893707  {1,1,0}     39    1
11    783   102   103  0.654337  {0,1,0}     36    0
14    783    51    52  0.297422  {0,1,0}     26    1
107   787    66    67  0.152121  {1,0,0}     26    1
80    789     8    33  0.634379  {0,2,0}     35    1
89    798   181   182  0.721232  {0,2,0}     37    1
68    801   177   181  0.500564  {0,2,0}     26    1
60    814   218   250  0.398081  {1,1,0}     29    1
22    823   157   161  0.676190  {1,1,0}     35    1
112   825   135   147  0.141734  {0,1,1}     36    0
2     833   194   242  0.721477  {1,0,0}     30    1
57    836    70    79  0.603829  {0,2,0}     34    1
23    850    86    87  0.115992  {0,2,0}     37    1
1     855   142   143  0.737103  {0,2,0}     40    0
95    864   163   167  0.620346  {1,1,0}     33    1
85    883    27    28  0.598906  {1,1,0}     24    1
53    896   234   239  0.755289  {1,0,0}     21    1
84    896     2     3  0.902056  {0,2,0}     36    1
110   897    27    28  0.835015  {1,1,0}     34    1
61    899   208   210  0.507709  {0,1,0}     34    1
92    909   158   159  0.064105  {0,1,0}     22    0
38    910    18    19  0.257954  {1,0,0}     32    1
120   911    81    89  0.432768  {0,1,0}     38    1
77    920    18    20  0.800530  {0,3,0}     39    0
58    921    84    86  0.966392  {1,0,0}     35    1
64    932   197   199  0.767309  {0,2,0}     26    1
31    941   234   239  0.577666  {0,3,0}     21    1
90    943   138   139  0.518086  {0,1,0}     25    0
102   947   104   105  0.798117  {0,2,0}     20    1
46    962    26    28  0.018512  {1,1,0}     31    1
51    964   122   124  0.192477  {0,2,0}     27    1
88    965   199   200  0.214073  {0,1,0}     35    1
101   970    63    65  0.029744  {1,1,0}     28    1
109   979   122   124  0.492852  {1,3,0}     25    1
83    986     5    23  0.746483  {0,1,0}     31    0
71    995    40    41  0.378404  {0,3,0}     28    0
47   1010    95    96  0.873271  {1,0,0}     32    1
70   1018   112   113  0.902085  {0,2,0}     25    0
115  1030   172   173  0.732597  {0,2,0}     29    0
66   1049    91    96  0.337045  {0,2,0}     32    1
34   1054     4     5  0.305160  {0,2,0}     29    1
69   1064    74    75  0.888182  {1,0,0}     30    1
24   1073   166   178  0.407785  {1,0,0}     27    1
125  1076   145   146  0.970677  {0,1,0}     33    0
117  1093    11    42  0.851050  {0,1,0}     35    1
45   1101   130   131  0.414489  {0,2,0}     40    1
93   1107    23    87  0.438270  {1,0,0}     40    1
7    1111    92    93  0.965581  {0,1,0}     26    1
27   1134    53    55  0.701968  {0,1,1}     22    1
0    1155    32    34  0.897686  {0,3,0}     28    0
9    1179   172   173  0.557034  {1,1,0}     28    1
6    1185   122   124  0.588505  {0,1,0}     37    1
28   1190   204   205  0.498717  {0,3,0}     36    0
18   1198    67    69  0.450240  {0,3,0}     22    1
97   1201    49    56  0.273846  {1,0,0}     30    1
73   1212   132   133  0.706161  {1,1,0}     40    1
29   1226   153   154  0.917546  {0,1,0}     33    0
75   1233    27    30  0.175327  {1,0,0}     39    1
5    1241   210   215  0.821734  {0,1,0}     22    1
8    1272    68    69  0.076339  {1,1,0}     39    1
65   1273   119   120  0.109524  {0,2,0}     33    0
56   1280    45    64  0.128850  {0,3,0}     20    0
81   1287   184   188  0.365394  {1,1,0}     27    1
36   1322   196   198  0.899435  {0,3,0}     38    0
99   1335     4     5  0.724264  {1,3,0}     20    1
13   1338   227   229  0.678839  {0,1,0}     33    1
33   1351    19    25  0.312042  {0,2,0}     34    1
91   1361   145   148  0.339124  {0,2,0}     31    1
52   1384   227   231  0.011740  {1,3,0}     22    1
79   1391   125   152  0.459957  {0,2,0}     26    0
50   1411   122   123  0.503275  {0,2,0}     28    1
30   1417   240   241  0.193172  {0,1,0}     25    1
55   1434    47    64  0.023405  {1,1,0}     23    1
