map EGL-G1-A
fac 5 10 {0,23,38,197,80}
hosp 2 {0,230}
n_ALS 7 1 {3:0,3:23,1:197}
n_BLS 23 1 {4:0,4:23,4:38,7:197,4:80}
n_CLS 7 0 {3:0,1:38,2:197,1:80}
      c_m  head  tail      c_af      c_d  c_tau  c_h
51     23    73    74  0.866457  {1,0,0}     23    1
13     44   102   103  0.033731  {1,0,0}     26    1
100    45   158   159  0.870216  {0,1,0}     39    0
37     55   100   111  0.268311  {1,0,0}     21    1
105    80   238   240  0.756030  {0,3,0}     35    1
28     82   157   159  0.082112  {1,1,0}     35    1
18    100   134   146  0.745017  {0,2,0}     31    1
124   106   199   202  0.422953  {1,0,0}     27    1
77    118    18    19  0.226409  {0,1,0}     25    0
1     147    96   111  0.831792  {1,0,0}     26    1
103   177   144   147  0.600993  {0,2,0}     26    1
116   178    24    26  0.045344  {0,2,0}     23    1
108   186    69    70  0.540294  {0,2,0}     38    1
29    221   212   243  0.557745  {0,1,0}     30    0
64    316    75    76  0.430771  {1,0,0}     24    1
61    318    60    67  0.793511  {1,1,0}     37    1
3     366    98   130  0.801892  {0,3,0}     27    1
78    373   228   229  0.648446  {0,1,0}     34    0
91    389   134   146  0.094822  {1,0,0}     40    1
19    398   179   180  0.588822  {0,1,1}     23    1
98    432     4    22  0.978981  {0,1,0}     32    1
21    435    77    81  0.509685  {0,3,0}     34    1
45    444    68    79  0.277552  {1,1,0}     28    1
123   447    59    71  0.330561  {1,0,0}     36    1
0     469   202   203  0.283733  {1,0,0}     33    1
111   479   134   135  0.752094  {1,1,0}     29    1
58    489     1    12  0.238484  {0,3,0}     22    1
94    497    73    75  0.340391  {0,0,1}     22    0
22    509    83    85  0.046292  {0,1,0}     36    1
52    511     1    12  0.217528  {0,2,0}     24    0
87    516   116   118  0.964647  {1,0,0}     26    1
93    529    98    99  0.353626  {0,3,0}     25    1
99    545   116   117  0.262045  {0,2,0}     36    1
48    551    81    84  0.835528  {0,2,0}     22    1
24    555   245   246  0.121969  {0,2,0}     24    1
113   560    24    25  0.967943  {0,2,0}     36    0
121   620    14    15  0.864515  {1,1,0}     30    1
65    625     7    30  0.653901  {0,1,0}     36    0
107   626     8     9  0.876407  {0,2,0}     33    1
118   633    35    36  0.735575  {1,0,0}     28    0
127   651    73    75  0.145312  {1,1,0}     23    1
2     658    27    28  0.970568  {0,1,0}     21    1
16    665    46    47  0.363931  {0,2,0}     31    0
12    682    43    44  0.780484  {0,2,0}     35    1
60    685    23   170  0.355255  {0,1,1}     22    0
82    685   178   183  0.472036  {0,3,0}     34    1
97    689   204   209  0.804850  {0,1,0}     24    0
54    691   228   229  0.677272  {0,3,0}     21    1
122   711    61    62  0.944834  {0,1,0}     39    0
5     722    66    67  0.068979  {0,2,0}     32    1
112   731    98   131  0.964835  {1,1,0}     30    1
69    734   245   246  0.719581  {0,1,0}     30    0
104   740    83    84  0.077611  {0,3,0}     35    1
74    750    39    52  0.408230  {1,1,0}     31    1
96    756   178   179  0.371451  {0,2,0}     23    1
59    767   198   200  0.524165  {1,0,0}     40    1
88    782    62    63  0.037010  {0,2,0}     34    0
8     786   178   182  0.837371  {1,1,0}     30    1
84    788    66    67  0.159458  {0,3,0}     26    1
35    792     6     7  0.509705  {1,3,0}     21    1
115   795     7     8  0.157871  {0,1,0}     22    1
9     808     9    34  0.474327  {0,1,0}     40    1
75    816   240   242  0.559828  {0,1,0}     31    1
55    817   170   171  0.531178  {1,1,0}     36    1
41    819   132   133  0.045527  {0,2,0}     26    1
47    822     8    33  0.677269  {0,2,0}     34    0
63    830   171   172  0.660624  {0,2,0}     20    1
39    832   186   187  0.632229  {0,2,0}     25    0
36    838    66    68  0.798707  {1,0,0}     27    1
70    846    37    74  0.706368  {1,1,0}     27    1
44    849    57    61  0.115231  {0,1,1}     38    1
86    851   110   113  0.256830  {0,1,0}     34    1
30    866    80    81  0.208534  {1,1,0}     33    1
81    871   246   248  0.633576  {1,0,0}     20    1
106   883   188   189  0.366424  {0,3,0}     31    0
46    903    90    91  0.396169  {1,0,0}     34    1
102   903   140   149  0.225861  {0,3,0}     40    1
4     907   204   205  0.258083  {0,1,0}     39    1
101   933   240   241  0.685940  {0,2,0}     39    1
79    957   210   212  0.172547  {0,2,0}     36    1
32    969    18    19  0.557546  {0,2,0}     20    1
83    977   207   208  0.020909  {0,1,0}     33    0
11    978   211   212  0.288581  {0,0,1}     20    0
76    981    83    85  0.586852  {0,1,0}     40    1
10    987   153   157  0.910022  {0,2,0}     32    1
50    992   150   152  0.920804  {1,2,0}     21    1
7    1004   177   184  0.819386  {0,1,1}     25    1
125  1015   177   184  0.032219  {1,1,0}     22    1
38   1023    67    68  0.130815  {1,1,0}     26    1
26   1024   210   212  0.358683  {0,2,0}     24    0
43   1025    43    45  0.842386  {0,3,0}     34    0
6    1032   212   243  0.718547  {0,3,0}     28    0
67   1057     3     4  0.809480  {0,1,0}     26    1
27   1058    45    64  0.291586  {0,2,0}     20    1
40   1062   242   243  0.476664  {0,0,1}     39    0
110  1074   122   123  0.311823  {1,0,0}     38    1
126  1079    98    99  0.321750  {0,2,0}     25    0
73   1089   117   118  0.462410  {1,1,0}     23    1
95   1096   128   137  0.394110  {0,1,0}     24    0
80   1099    61    62  0.496261  {0,1,1}     23    1
14   1100     4     5  0.763395  {1,1,0}     39    1
114  1150    58    59  0.784441  {0,1,0}     32    1
23   1154    75    77  0.010979  {0,2,0}     25    0
66   1160    19    20  0.545985  {0,2,0}     22    1
25   1174   199   201  0.302130  {0,3,0}     40    0
109  1179   107   108  0.940842  {1,1,0}     34    1
62   1182     7     8  0.191642  {0,1,0}     30    0
89   1184   166   167  0.210110  {1,0,0}     20    1
120  1185     1     2  0.000360  {1,0,0}     40    0
34   1189     4    22  0.003547  {0,2,0}     23    1
85   1190   116   118  0.924050  {0,2,0}     28    0
33   1201    36    37  0.822438  {0,2,0}     36    1
119  1202   151   152  0.714077  {1,0,0}     23    1
56   1208    89    90  0.103552  {0,2,0}     30    1
68   1237   180   181  0.444098  {0,2,0}     29    1
31   1249    65    66  0.943098  {0,2,0}     37    1
49   1250   120   121  0.134229  {0,0,1}     31    1
17   1258    57    61  0.369164  {0,1,0}     39    1
92   1288   210   211  0.114017  {0,1,0}     38    0
20   1316    77    81  0.984912  {0,1,0}     39    1
117  1323    58    59  0.505156  {0,0,1}     22    1
15   1371   174   175  0.952117  {0,2,0}     20    1
71   1374    23   149  0.953723  {0,1,0}     20    1
72   1376    46    47  0.184434  {0,0,1}     31    1
57   1385   134   146  0.838911  {0,1,1}     23    1
90   1394   132   133  0.399803  {0,2,0}     37    1
42   1412   238   240  0.392757  {1,1,0}     32    0
53   1436   128   137  0.741935  {0,2,0}     28    1
