map EGL-G1-C
fac 5 10 {0,20,190,66,53}
hosp 3 {0,29,211}
n_ALS 8 1 {2:0,1:20,1:190,4:53}
n_BLS 15 1 {2:0,5:20,1:190,4:66,3:53}
n_CLS 10 0 {3:0,2:20,1:190,1:66,3:53}
      c_m  head  tail      c_af      c_d  c_tau  c_h
33      9   139   140  0.965109  {0,1,1}     38    1
77     10   127   138  0.839122  {1,1,0}     39    1
93     10   178   179  0.978868  {0,3,0}     30    0
113    37    96   111  0.101246  {0,2,0}     23    1
36     57    49    50  0.793183  {1,0,0}     36    1
10    116    45    64  0.994156  {0,2,0}     30    0
24    125   100   111  0.561783  {1,0,0}     21    1
8     143    70    71  0.046570  {0,0,1}     29    0
97    146   103   113  0.310013  {1,3,0}     22    1
67    165    75    76  0.525412  {0,1,0}     22    1
68    168    98   130  0.384460  {0,2,0}     31    1
81    170     5     6  0.889964  {1,2,0}     21    1
100   187    12    13  0.377487  {0,2,0}     27    1
49    270   242   245  0.968120  {1,1,0}     39    1
13    287   231   232  0.672323  {0,1,0}     31    1
34    314   225   226  0.715245  {0,2,0}     28    1
55    316   163   164  0.782326  {1,0,0}     40    1
57    320   206   207  0.431329  {0,1,0}     32    1
75    339   149   150  0.840734  {0,1,0}     23    1
4     345    25    26  0.910727  {0,3,0}     22    0
62    370     2     3  0.354971  {1,3,0}     25    0
114   384   122   123  0.611266  {0,2,0}     24    1
71    401   242   245  0.949992  {0,2,0}     32    1
18    405   244   245  0.333601  {1,0,0}     36    1
7     417   177   184  0.986942  {0,0,1}     37    0
17    443    77    78  0.311699  {0,2,0}     35    1
26    473   135   136  0.536219  {0,1,0}     20    1
70    494    61    62  0.068081  {0,2,0}     35    0
124   496   141   142  0.602461  {0,2,0}     39    1
76    509    89    90  0.132241  {0,1,0}     34    0
45    516   137   138  0.704449  {0,2,0}     36    0
1     523   115   116  0.147969  {1,1,0}     22    1
125   525   192   193  0.520403  {0,3,0}     22    0
127   536   116   118  0.151545  {0,0,1}     32    1
83    536    18    20  0.616309  {0,3,0}     31    0
111   544   225   248  0.631158  {0,1,1}     32    0
79    560    39    40  0.543098  {0,0,1}     39    1
25    594   132   133  0.071949  {0,2,0}     29    1
23    594   145   146  0.194826  {1,1,0}     29    1
22    606    56    57  0.815146  {0,2,0}     26    1
126   616   226   227  0.328467  {0,3,0}     38    1
102   621    53    54  0.719077  {0,2,0}     25    0
88    622   134   146  0.181243  {1,1,0}     29    1
94    629   176   180  0.592979  {0,2,0}     21    0
56    634   134   146  0.103320  {1,1,0}     23    1
3     639    36    37  0.585776  {0,2,0}     34    0
66    650   194   195  0.944884  {0,3,0}     28    0
43    655   232   234  0.808482  {0,1,0}     26    0
112   688    58    59  0.148816  {1,0,0}     20    1
63    688    89    91  0.615079  {0,3,0}     31    1
6     692     6    27  0.885088  {0,2,0}     28    0
51    699   234   236  0.039791  {1,1,0}     32    1
53    700    89    91  0.342770  {0,2,0}     33    1
48    729   171   172  0.690257  {0,0,1}     40    0
37    745   122   123  0.398099  {0,1,0}     22    1
84    749    73    74  0.494411  {0,1,0}     35    1
50    774   146   147  0.335553  {0,3,0}     25    1
99    777   140   149  0.341615  {0,1,0}     27    1
32    790   151   154  0.870445  {1,0,0}     28    1
35    793   213   216  0.314669  {0,2,0}     39    1
5     793   226   231  0.943968  {0,1,0}     33    0
119   798    48    49  0.089994  {0,1,0}     35    1
12    807   216   217  0.705820  {0,1,0}     33    1
86    810     3     4  0.172653  {0,2,0}     36    1
98    814    32    34  0.014561  {1,1,0}     24    1
106   823   130   131  0.329429  {0,3,0}     25    0
72    840    36    38  0.263110  {0,1,0}     25    1
110   840    94    98  0.804040  {0,2,0}     23    0
59    851     4    22  0.679813  {0,1,1}     21    1
61    853   152   153  0.000402  {0,3,0}     36    1
64    863   134   146  0.380107  {1,1,0}     25    1
20    863    38    40  0.650260  {0,2,0}     34    0
118   870    94    98  0.235394  {0,1,0}     22    1
74    872   231   236  0.047994  {0,2,0}     29    0
54    878   124   125  0.926485  {0,3,0}     36    0
92    880    93    94  0.664738  {0,2,0}     26    1
89    883   158   160  0.458775  {0,2,0}     32    1
123   884   151   154  0.338809  {1,1,0}     29    1
101   890   161   162  0.619537  {0,3,0}     25    1
103   901    23   170  0.360644  {1,1,0}     38    1
58    902    71    72  0.464895  {1,0,0}     37    1
96    926   228   230  0.305966  {1,0,0}     23    1
80    934   140   141  0.741127  {0,2,0}     27    0
44    935   104   105  0.133915  {0,3,0}     25    0
15    936    69    78  0.592119  {0,2,0}     32    1
39    937    32    34  0.477375  {0,0,1}     32    1
40    967   189   190  0.501387  {1,0,0}     29    1
60    975    17    22  0.829625  {1,1,0}     22    1
115   976    71    72  0.461289  {0,2,0}     31    0
105   988    41    51  0.470855  {0,1,0}     39    0
30   1014   106   107  0.415804  {0,1,0}     21    0
122  1036   105   107  0.371548  {1,0,0}     22    0
16   1043   102   110  0.455234  {0,1,1}     35    0
0    1048   117   118  0.035480  {0,2,0}     29    1
73   1059    36    39  0.913038  {0,1,0}     29    1
19   1062   152   153  0.177063  {1,1,0}     37    1
69   1064    35    36  0.022696  {0,2,0}     25    1
95   1072    53    54  0.126594  {0,3,0}     29    1
120  1077    17    19  0.828334  {0,3,0}     37    1
109  1081   141   142  0.463537  {1,1,0}     39    1
2    1093   231   236  0.647377  {0,1,0}     35    0
21   1101   228   230  0.986741  {0,3,0}     36    1
65   1123   212   218  0.913968  {0,1,0}     22    1
78   1132   127   128  0.456064  {1,0,0}     33    1
82   1136    65    92  0.114036  {0,1,0}     21    1
107  1142   124   151  0.934851  {0,3,0}     32    1
104  1149   179   180  0.778023  {0,2,0}     35    1
41   1149    17    19  0.206814  {1,0,0}     31    1
91   1179    90    91  0.916842  {0,2,0}     34    1
52   1184   106   107  0.606585  {0,1,1}     29    1
47   1189    96   114  0.097908  {0,2,0}     26    1
29   1197   199   202  0.007156  {1,1,0}     25    1
121  1204   215   216  0.962878  {0,1,0}     34    0
116  1204     8    33  0.421969  {0,1,1}     30    0
38   1207   152   153  0.320338  {0,1,1}     21    1
87   1208    42    43  0.501606  {0,1,0}     25    1
9    1208   212   243  0.750570  {0,3,0}     25    1
42   1215    36    37  0.704511  {0,1,0}     37    1
27   1216   112   114  0.585411  {0,1,0}     31    1
46   1228    65    66  0.875217  {0,3,0}     34    0
117  1254   146   147  0.757039  {0,1,1}     20    1
31   1283    85    86  0.364019  {0,1,0}     30    0
14   1291    13    14  0.296102  {0,1,1}     36    0
90   1333     8     9  0.365789  {0,2,0}     28    0
108  1350   174   176  0.995411  {0,1,1}     34    0
28   1360   186   187  0.560814  {1,0,0}     27    1
11   1394   240   242  0.913776  {0,3,0}     33    0
85   1424    27    28  0.438882  {0,2,0}     28    1
