map EGL-G1-A
fac 5 10 {0,175,240,153,7}
hosp 1 {0}
n_ALS 7 1 {1:0,3:240,3:7}
n_BLS 16 1 {6:0,3:175,3:240,2:153,2:7}
n_CLS 9 0 {1:0,2:175,1:240,2:153,3:7}
      c_m  head  tail      c_af      c_d  c_tau  c_h
104     2   127   128  0.362550  {0,1,0}     30    1
78     25    59    60  0.567903  {1,1,0}     33    1
7      74   194   195  0.122453  {0,1,1}     32    1
23     88   195   197  0.158891  {1,1,0}     28    1
66    108   147   148  0.354031  {0,2,0}     26    1
59    114   167   175  0.727733  {0,1,0}     32    1
119   125   125   126  0.819133  {1,1,0}     27    1
49    126    79    80  0.986708  {0,1,0}     38    1
26    136   129   130  0.256261  {0,2,0}     28    1
106   173    65    91  0.987506  {1,0,0}     30    1
105   239   216   217  0.689640  {0,1,1}     25    0
2     247   124   125  0.097984  {0,2,0}     29    0
50    275   124   149  0.455681  {1,0,0}     27    1
108   280    75    76  0.255232  {1,0,0}     36    1
103   331   194   195  0.301758  {0,1,1}     37    0
6     359   237   238  0.951899  {1,3,0}     36    1
62    400   222   223  0.306128  {0,2,0}     22    0
121   420   184   185  0.751926  {1,1,0}     24    1
34    438   115   116  0.001451  {0,1,1}     28    1
46    451    34    41  0.849028  {0,1,0}     22    1
40    470    47    48  0.715194  {1,1,0}     31    1
73    473   190   191  0.213129  {0,3,0}     31    1
80    480   123   124  0.509853  {1,1,0}     27    1
35    507    77    78  0.999427  {0,1,0}     21    1
81    526   242   245  0.403176  {0,1,0}     32    1
86    533   189   190  0.757129  {1,0,0}     26    1
5     572    40    41  0.986899  {1,1,0}     33    1
29    572    57    61  0.135672  {1,0,0}     34    1
8     578    80    88  0.712259  {0,1,1}     22    1
33    583   234   235  0.440716  {1,0,0}     40    1
89    594    84   100  0.153444  {0,3,0}     30    1
48    606   238   240  0.366205  {0,1,0}     32    1
67    607    22    24  0.599133  {1,1,0}     27    1
117   611   242   245  0.954605  {0,1,0}     34    0
111   617   140   141  0.007711  {0,2,0}     38    1
102   624   160   164  0.736751  {1,0,0}     21    1
116   629    43    45  0.555741  {0,1,0}     27    1
20    650   195   197  0.258698  {0,2,0}     24    1
9     666    19    25  0.407088  {0,1,0}     24    0
57    668   207   209  0.092954  {0,1,0}     31    0
127   668    31    38  0.947349  {0,0,1}     26    1
15    674   225   227  0.015455  {0,2,0}     30    1
18    686   244   245  0.115983  {1,1,0}     20    1
87    702    48    49  0.076403  {0,3,0}     25    1
97    735    12    13  0.233290  {1,1,0}     21    1
101   743   246   248  0.040817  {0,1,0}     29    1
83    745   129   136  0.703284  {0,1,1}     39    0
45    750    17    19  0.234383  {0,1,0}     33    1
10    751   103   104  0.494034  {0,3,0}     37    0
125   757   132   133  0.113076  {1,1,0}     20    1
39    759     2    14  0.050724  {1,0,0}     37    1
43    768    49    56  0.398603  {1,1,0}     40    1
118   770     2    14  0.773382  {0,2,0}     40    1
24    771    46    47  0.829804  {0,1,0}     26    1
16    779   195   197  0.606864  {0,3,0}     22    1
96    793   105   107  0.452525  {1,0,0}     35    1
107   801   178   179  0.356081  {0,1,0}     24    0
28    807    46    47  0.223548  {0,1,0}     31    1
51    824   128   137  0.960611  {1,1,0}     39    1
98    837    61    62  0.798548  {0,1,0}     39    1
21    844    27    28  0.000217  {1,1,0}     39    1
38    854   166   167  0.182552  {0,2,0}     36    1
14    855   162   167  0.195159  {1,1,0}     24    1
12    859    17    22  0.005486  {0,1,0}     31    1
53    874   137   138  0.775316  {0,2,0}     29    1
114   875    90    95  0.896274  {0,1,0}     38    1
47    876   139   141  0.912296  {1,3,0}     34    1
61    879   156   160  0.359434  {0,2,0}     23    0
79    889   163   168  0.720243  {0,1,0}     29    0
41    891    77    81  0.571569  {1,0,0}     33    1
93    895   106   108  0.262004  {0,2,0}     37    0
75    899   104   105  0.158871  {0,3,0}     39    1
19    903   231   232  0.260371  {0,2,0}     40    0
88    913   106   107  0.093179  {1,2,0}     24    1
17    924    27    28  0.886360  {0,2,0}     31    1
76    927   191   193  0.191219  {0,0,1}     39    1
95    931   164   165  0.559523  {1,1,0}     31    1
36    935   195   196  0.826551  {0,2,0}     29    1
54    962   152   153  0.027857  {1,0,0}     30    1
37    982   156   162  0.964187  {1,0,0}     31    1
72    983   188   189  0.122685  {0,2,0}     28    0
100   992    96   114  0.153606  {1,1,0}     35    1
52    993    10    11  0.563580  {0,1,1}     31    0
44   1005     3    23  0.389352  {1,1,0}     35    1
25   1009    53    54  0.275483  {1,1,0}     30    1
71   1026    90    91  0.429971  {0,1,0}     28    0
82   1027    45    64  0.046169  {0,1,1}     28    0
11   1041   241   242  0.823878  {0,1,0}     37    0
110  1046   120   121  0.818786  {0,2,0}     20    1
85   1054    11    42  0.061704  {1,0,0}     39    1
94   1063   194   195  0.107816  {0,1,0}     34    1
42   1066   225   248  0.787997  {0,1,0}     34    1
32   1069   102   103  0.317563  {0,3,0}     37    1
58   1083    73    74  0.920995  {0,1,0}     31    1
4    1084   174   175  0.479122  {0,2,0}     35    1
122  1089   189   241  0.535653  {0,2,0}     22    1
126  1102   126   127  0.568130  {0,2,0}     31    1
22   1126    77    81  0.706794  {0,3,0}     27    1
30   1165     4    22  0.653620  {0,2,0}     27    1
60   1168   119   161  0.695000  {1,1,0}     23    1
65   1174   244   249  0.743804  {0,0,1}     39    0
91   1183   215   216  0.153266  {0,3,0}     27    0
63   1185    98   130  0.193336  {1,0,0}     26    1
69   1185    10    41  0.247109  {0,1,0}     35    1
113  1186   165   177  0.151579  {0,0,1}     35    1
27   1190   158   160  0.522128  {1,1,0}     26    1
56   1201     6    27  0.547235  {0,3,0}     26    0
1    1213     1    12  0.487209  {0,1,0}     22    0
84   1214   173   181  0.207573  {1,0,0}     30    1
123  1215   245   246  0.498297  {1,0,0}     23    1
64   1235   128   137  0.781841  {1,0,0}     37    1
99   1236   163   168  0.034634  {1,0,0}     20    1
124  1237   131   132  0.024429  {0,3,0}     35    1
109  1246   154   155  0.515846  {0,3,0}     30    0
92   1265   116   118  0.547821  {1,1,0}     33    1
74   1271   171   172  0.629699  {0,2,0}     27    0
112  1272    56    57  0.824233  {0,2,0}     38    0
68   1272   120   121  0.609961  {1,0,0}     25    1
3    1275   105   107  0.987622  {0,1,0}     36    1
77   1290     1     2  0.195849  {1,0,0}     34    0
70   1301   234   235  0.199800  {0,2,0}     26    1
31   1331   223   224  0.373981  {1,0,0}     36    1
