map EGL-G2-A
fac 5 10 {0,78,99,150,71}
hosp 3 {0,166,248}
n_ALS 8 1 {3:78,1:99,2:150,2:71}
n_BLS 19 1 {8:0,3:78,2:99,2:150,4:71}
n_CLS 6 0 {1:0,2:78,2:150,1:71}
      c_m  head  tail      c_af      c_d  c_tau  c_h
115    35   189   190  0.119787  {1,0,0}     31    1
67     36    12    13  0.872999  {0,3,0}     24    1
79     65    16    18  0.235205  {0,0,1}     23    1
98     67    70    79  0.190684  {0,0,1}     23    0
72     92   216   217  0.637627  {0,3,0}     26    1
6     142    41    51  0.527770  {1,0,0}     28    0
13    185    48    49  0.002068  {0,2,0}     40    0
100   246    60    68  0.402809  {0,1,0}     39    1
14    269   146   147  0.595418  {0,3,0}     22    0
106   289    51    52  0.541003  {0,3,0}     24    1
46    290   179   184  0.789386  {0,1,0}     30    1
85    329   240   242  0.138497  {1,0,0}     31    1
62    339    43    45  0.488632  {0,1,1}     39    0
109   361   157   161  0.569388  {1,1,0}     25    1
113   376    21    35  0.838085  {1,1,0}     24    1
88    387    19    25  0.781938  {0,3,0}     29    0
16    390   161   165  0.608450  {1,1,0}     24    1
54    393   201   203  0.668983  {0,2,0}     20    1
9     400    16    17  0.736286  {1,1,0}     29    1
105   424   227   229  0.032955  {0,1,0}     28    0
70    433   121   122  0.132888  {1,1,0}     26    1
1     434   124   125  0.541986  {1,0,0}     34    1
82    452    96    98  0.152035  {1,1,0}     31    1
3     486    65    66  0.476182  {1,1,0}     33    1
120   487   185   186  0.109359  {0,1,1}     22    1
92    498   135   136  0.313875  {0,2,0}     29    1
112   510    14    15  0.616162  {0,0,1}     20    0
10    513    53    55  0.174595  {1,1,0}     28    1
114   517     9    34  0.373879  {0,3,0}     40    1
89    520   247   248  0.908846  {0,2,0}     21    1
97    542    48    49  0.498432  {0,3,0}     26    0
68    543    87    88  0.917341  {0,0,1}     24    1
58    557   250   251  0.782686  {1,1,0}     32    1
36    558    17    19  0.883587  {1,0,0}     36    1
32    561   117   119  0.664181  {0,3,0}     22    1
117   567   152   153  0.793297  {1,0,0}     22    1
116   576    50    52  0.194542  {0,2,0}     21    1
47    580   178   179  0.514180  {0,1,0}     40    1
4     589   120   162  0.069397  {0,1,1}     31    1
37    603    63    64  0.608428  {1,1,0}     30    1
50    605     5    23  0.172007  {0,2,0}     37    1
53    622   239   244  0.797540  {0,1,0}     28    1
15    628   237   238  0.413668  {0,2,0}     39    1
30    643    18    19  0.672931  {0,3,0}     21    1
101   666   105   107  0.116140  {0,2,0}     26    0
123   668     7    30  0.039515  {1,1,0}     26    1
90    688    78    79  0.877940  {1,0,0}     31    1
44    690   140   141  0.981774  {0,2,0}     39    1
7     714   226   251  0.214260  {0,3,0}     33    1
28    721   202   209  0.514030  {0,1,0}     35    1
2     722   234   239  0.000464  {0,1,0}     20    1
17    732   168   176  0.172751  {1,1,0}     27    1
40    732   140   141  0.314478  {0,1,1}     38    1
43    743    97   115  0.222786  {1,0,0}     27    1
27    756   157   163  0.324723  {0,1,0}     25    1
122   761    82    85  0.761274  {1,0,0}     22    1
83    779    10    11  0.461676  {1,1,0}     37    1
11    783     2     3  0.752540  {0,1,0}     34    0
103   795   170   171  0.575526  {0,2,0}     22    0
66    804   154   157  0.994261  {0,3,0}     35    0
75    806   130   131  0.726653  {1,1,0}     25    1
21    813    34    41  0.128355  {1,0,0}     20    1
94    814   195   196  0.498416  {0,1,1}     25    0
41    815   101   102  0.562288  {0,1,1}     25    1
76    816   179   184  0.564183  {0,1,0}     24    0
52    817   136   137  0.062145  {1,0,0}     40    1
45    818   204   205  0.012905  {0,2,0}     25    0
81    829    30    33  0.387127  {0,2,0}     31    0
95    836   155   156  0.243157  {0,3,0}     20    1
59    843   223   224  0.371935  {0,2,0}     36    1
124   852   175   177  0.383297  {0,1,0}     24    1
24    855    24    26  0.357889  {1,3,0}     37    1
12    855   191   195  0.271584  {1,2,0}     31    1
125   865   152   153  0.008452  {0,2,0}     30    0
48    868   106   118  0.965450  {1,0,0}     32    1
23    886   136   137  0.468501  {0,2,0}     37    0
77    886    53    55  0.969741  {0,2,0}     28    1
126   893   240   241  0.349224  {0,3,0}     36    0
74    902   112   113  0.540616  {0,3,0}     29    1
104   903   198   199  0.752601  {1,1,0}     25    1
57    903    66    67  0.317432  {1,0,0}     25    1
111   926   219   220  0.557918  {0,2,0}     25    1
64    931   239   244  0.990505  {1,0,0}     31    0
55    946    63    65  0.486312  {0,1,0}     22    1
0     949   116   123  0.693051  {0,2,0}     37    1
127   953     1    12  0.785095  {0,1,0}     25    0
121   964   132   133  0.466912  {0,1,1}     27    0
87    988    39    52  0.450925  {1,0,0}     26    1
119   998    36    37  0.850486  {0,1,0}     26    1
91   1016    86    87  0.168777  {1,0,0}     32    1
60   1029   165   166  0.317759  {0,1,0}     38    0
80   1030   103   111  0.194123  {0,1,0}     22    0
