map EGL-G1-B
fac 5 10 {0,181,8,85,88}
hosp 1 {0}
n_ALS 7 1 {2:0,3:181,2:85}
n_BLS 15 1 {2:181,7:8,3:85,3:88}
n_CLS 9 0 {1:0,2:181,3:8,1:85,2:88}
      c_m  head  tail      c_af      c_d  c_tau  c_h
56      5   219   220  0.881690  {0,2,0}     34    1
88     57    88    89  0.987928  {0,2,0}     39    0
49     75   165   166  0.677447  {0,1,0}     31    1
37    109   226   231  0.557100  {0,2,0}     27    0
108   137   106   108  0.288102  {0,2,0}     23    0
91    139    90    95  0.264668  {0,1,0}     33    0
76    148   150   151  0.323331  {1,0,0}     21    1
126   158   129   136  0.581356  {0,1,1}     21    0
116   166   167   175  0.500595  {0,3,0}     36    1
111   193   244   249  0.776636  {0,1,0}     21    0
40    198   244   249  0.224005  {0,1,1}     37    0
84    215   144   147  0.016941  {0,2,0}     34    1
50    246     0     1  0.579276  {0,2,0}     35    1
104   248   223   224  0.365335  {0,1,0}     21    1
44    280   127   128  0.274050  {0,1,1}     25    1
64    292   198   200  0.535878  {0,2,0}     38    1
113   293   125   149  0.638903  {0,2,0}     22    0
72    319   116   118  0.556598  {0,2,0}     32    0
98    358     8     9  0.109510  {1,0,0}     26    1
10    394   156   162  0.681836  {0,2,0}     23    1
30    409    27    30  0.461850  {0,2,0}     24    1
125   417    89    91  0.559760  {1,1,0}     38    1
31    420   199   201  0.097325  {1,0,0}     32    1
66    423   196   197  0.926467  {0,0,1}     30    1
32    427   241   242  0.319860  {0,1,0}     36    1
81    435   162   166  0.838960  {0,1,0}     31    1
83    456   134   146  0.240857  {0,3,0}     32    1
22    461   178   179  0.574739  {1,1,0}     38    1
107   485   178   182  0.461206  {0,0,1}     24    0
61    490    54    55  0.074799  {0,3,0}     26    1
67    491    17    19  0.230931  {0,2,0}     25    1
9     497   126   127  0.717501  {1,1,0}     30    1
127   499   158   159  0.477552  {0,0,1}     31    0
68    532    93    94  0.278057  {0,1,0}     34    0
26    545   213   216  0.195169  {0,1,1}     33    1
60    564     3    15  0.098499  {0,2,0}     31    0
57    567   151   154  0.266171  {0,3,0}     26    1
69    587   210   212  0.282397  {0,1,0}     24    1
8     589    18    20  0.224692  {0,1,0}     31    0
34    596   129   136  0.799709  {0,1,0}     37    1
77    596    90    91  0.277724  {0,2,0}     31    1
119   617    88    96  0.500820  {0,3,0}     25    0
95    618    14    15  0.866061  {1,1,0}     39    1
102   622   242   243  0.178181  {0,2,0}     36    1
58    636   129   136  0.710663  {1,0,0}     27    1
117   640    83    85  0.272982  {0,1,0}     21    1
65    640   234   235  0.244944  {1,1,0}     23    1
