map EGL-G2-C
fac 5 10 {0,6,219,41,50}
hosp 2 {0,190}
n_ALS 8 1 {4:6,2:41,2:50}
n_BLS 19 1 {4:0,4:6,6:219,2:41,3:50}
n_CLS 6 0 {3:0,1:41,2:50}
      c_m  head  tail      c_af      c_d  c_tau  c_h
58     12    94    95  0.594628  {1,1,0}     33    1
119    14   185   187  0.365103  {0,3,0}     35    0
16     21   179   180  0.973282  {1,1,0}     35    1
121    59   113   114  0.578229  {0,3,0}     27    1
85     96   246   247  0.722288  {0,3,0}     23    0
60    100     2     3  0.119568  {0,1,0}     26    0
30    104   205   207  0.170558  {1,1,0}     31    1
7     110   227   231  0.962209  {1,1,0}     38    1
25    131     1     2  0.117585  {1,0,0}     26    1
4     132   109   110  0.826568  {0,1,1}     22    0
91    174   210   215  0.217730  {0,3,0}     38    1
107   217   198   199  0.662761  {0,2,0}     30    0
111   224   136   146  0.511743  {0,1,1}     22    1
65    250   104   105  0.485529  {0,0,1}     27    1
61    271    59    60  0.014819  {0,1,0}     20    0
116   276   233   235  0.464098  {0,3,0}     28    0
81    340   113   115  0.585413  {1,0,0}     31    0
109   379   103   111  0.422849  {0,1,0}     28    0
14    380    54    55  0.480627  {0,2,0}     30    1
45    416   139   140  0.508860  {1,0,0}     36    1
108   419   125   126  0.567672  {0,3,0}     36    1
90    446    15    17  0.457605  {1,1,0}     24    1
78    447    66    93  0.986345  {1,0,0}     28    1
42    452    86    87  0.375315  {0,2,0}     33    1
26    464   153   154  0.446772  {0,2,0}     34    0
47    486   163   167  0.958610  {0,3,0}     32    1
102   511   206   207  0.095796  {0,3,0}     24    0
112   516   190   192  0.867039  {0,2,0}     24    1
8     532    96    98  0.691128  {0,2,0}     33    1
41    533    79    80  0.604626  {1,1,0}     26    1
59    538    41    51  0.274302  {0,1,1}     21    1
76    571   168   176  0.655571  {0,1,0}     37    1
49    573    95    96  0.026391  {1,0,0}     23    1
82    580    25    26  0.169737  {1,0,0}     31    1
22    583   115   116  0.760625  {0,2,0}     20    0
70    589    53    55  0.192385  {0,1,1}     24    1
105   596   251   254  0.217792  {1,1,0}     39    1
84    637    84    86  0.658611  {1,1,0}     27    1
75    642   209   216  0.509773  {0,2,0}     23    0
48    645    70    71  0.311334  {1,1,0}     20    1
37    649   248   249  0.311269  {1,1,0}     33    1
40    652   158   160  0.421401  {0,1,0}     40    1
122   652   216   218  0.673128  {0,2,0}     25    1
104   654    90    91  0.102773  {1,1,0}     33    1
44    656   103   111  0.259294  {1,1,0}     24    1
83    663    12    13  0.039337  {0,2,0}     25    1
32    666    81    82  0.625991  {0,2,0}     34    1
101   677   193   194  0.465957  {0,2,0}     34    0
98    680   143   144  0.680021  {1,0,0}     24    1
113   689   196   197  0.505155  {0,2,0}     40    0
54    692   181   182  0.878822  {0,3,0}     37    1
