map EGL-G2-A
fac 5 10 {0,3,232,4,254}
hosp 2 {0,200}
n_ALS 7 1 {1:3,1:232,5:4}
n_BLS 15 1 {3:0,1:3,3:232,5:4,3:254}
n_CLS 6 0 {1:0,1:3,4:232}
      c_m  head  tail      c_af      c_d  c_tau  c_h
85     21    16    17  0.934974  {0,0,1}     30    1
49     34    57    61  0.444313  {0,1,1}     36    0
66     82     5    26  0.691186  {0,1,0}     27    0
103   148   234   235  0.366244  {0,1,0}     33    0
108   152     4    22  0.518944  {1,0,0}     30    1
5     156    90    91  0.265077  {0,1,1}     36    1
89    158   226   227  0.788710  {1,0,0}     35    1
90    186    11    42  0.312127  {1,0,0}     38    1
104   242     9    34  0.607284  {1,0,0}     35    1
80    302    62    63  0.731084  {0,3,0}     29    0
127   354   137   138  0.306054  {0,2,0}     40    0
84    356    43    45  0.456278  {0,3,0}     32    1
117   366   179   180  0.925247  {0,3,0}     40    0
59    370   177   181  0.350660  {1,1,0}     28    1
2     373    85   101  0.840499  {0,2,0}     33    0
81    377   234   239  0.105219  {0,1,0}     28    1
94    378   247   249  0.327866  {0,1,0}     33    0
93    387    50    52  0.213557  {0,1,0}     34    0
43    401   201   202  0.549684  {1,1,0}     22    1
123   417    78    79  0.276570  {0,3,0}     37    1
86    425   204   205  0.468760  {0,3,0}     28    1
91    436   143   145  0.517962  {0,1,0}     29    0
68    455   133   135  0.644737  {0,1,1}     35    1
14    465   141   142  0.187211  {1,0,0}     35    1
118   481     3     4  0.320351  {0,3,0}     20    1
11    481   156   157  0.642185  {0,3,0}     34    1
114   493   155   156  0.981734  {0,1,1}     26    1
98    493   115   116  0.517401  {0,2,0}     26    1
21    517    49    50  0.965147  {0,0,1}     27    0
19    523    70    71  0.282002  {1,1,0}     26    1
105   524    59    60  0.586704  {0,1,1}     21    1
16    528    17    19  0.418375  {1,0,0}     24    1
33    530   204   206  0.917787  {0,1,0}     36    1
7     532    70    79  0.749610  {1,1,0}     22    1
70    560    60    68  0.385482  {1,0,0}     36    1
18    569   156   157  0.902385  {0,1,0}     38    1
76    578    18    20  0.639605  {0,3,0}     34    0
73    578   237   238  0.498766  {0,1,1}     26    0
115   599   148   149  0.552337  {1,2,0}     32    1
72    608   124   125  0.762722  {0,1,1}     37    1
40    614   246   247  0.657928  {1,0,0}     29    1
112   627   151   152  0.871573  {1,0,0}     32    1
35    627    79    80  0.693089  {0,2,0}     27    0
100   633   136   137  0.673179  {0,2,0}     23    0
111   635    63    65  0.482743  {0,1,0}     30    1
75    641    85   101  0.729115  {0,1,0}     27    1
31    653   233   234  0.321641  {1,1,0}     32    1
45    658   175   176  0.191253  {1,1,0}     27    1
24    661   220   221  0.952889  {1,0,0}     25    0
34    669    23   150  0.170697  {0,1,1}     35    1
106   675   247   248  0.451549  {0,1,0}     32    1
12    680    23    87  0.124540  {0,0,1}     36    1
0     700    50    51  0.034767  {0,2,0}     27    0
15    708   112   113  0.631310  {0,3,0}     25    1
1     731   181   182  0.822269  {0,3,0}     36    1
50    742    90    91  0.227898  {0,3,0}     32    0
27    760   235   236  0.894457  {1,1,0}     24    1
99    780   162   163  0.810668  {0,1,0}     24    1
69    780   233   234  0.530599  {1,1,0}     40    0
52    788    12    13  0.778253  {1,1,0}     30    1
95    793   239   244  0.326055  {0,1,0}     39    1
28    794    99   100  0.629777  {0,0,1}     36    1
22    802     0    21  0.999525  {0,1,0}     29    1
96    826    71    73  0.977140  {0,1,0}     29    1
8     842   239   244  0.357643  {0,1,0}     23    1
39    849   115   116  0.128470  {0,1,0}     24    1
47    854    19    20  0.868114  {0,2,0}     40    0
109   854    53    54  0.415154  {0,3,0}     21    1
78    858    48    49  0.779598  {1,1,0}     34    1
74    882   117   119  0.654282  {0,3,0}     34    0
110   887   177   181  0.826360  {1,0,0}     37    1
41    888    76    77  0.551923  {0,1,0}     24    1
4     909   128   139  0.372760  {0,1,0}     25    1
30    916   125   150  0.676434  {1,1,0}     31    1
42    927   220   221  0.876104  {0,1,1}     24    0
46    938   204   205  0.976940  {0,2,0}     29    1
102   942    79    80  0.327936  {0,3,0}     20    1
82    958    74    75  0.604601  {0,2,0}     21    0
38    959   124   125  0.006944  {1,1,0}     32    1
9     963    66    92  0.199455  {1,3,0}     38    1
25    974    36    37  0.910044  {1,0,0}     32    1
120   977     3    15  0.262819  {0,2,0}     20    0
116   984    37    75  0.137000  {0,3,0}     36    1
57   1003   210   211  0.690517  {0,2,0}     37    1
58   1004    54    55  0.612984  {1,2,0}     34    1
122  1021   252   253  0.517208  {0,2,0}     21    1
26   1036   221   222  0.262071  {0,2,0}     37    1
23   1047   197   200  0.411279  {0,0,1}     20    0
51   1049     3    15  0.479517  {1,0,0}     34    1
113  1052   128   139  0.613680  {0,3,0}     33    1
92   1057   120   162  0.666703  {1,0,0}     24    1
63   1071   122   123  0.593001  {0,2,0}     39    0
87   1074    62    63  0.004253  {1,0,0}     25    1
54   1079   210   211  0.529037  {0,1,0}     29    1
121  1096   132   133  0.233904  {0,3,0}     23    1
3    1099    89    90  0.399301  {0,1,0}     22    0
71   1099   133   135  0.813979  {0,1,0}     34    0
119  1099   101   102  0.191017  {0,2,0}     28    1
44   1101   129   138  0.471773  {0,1,0}     21    0
36   1109    27    30  0.126090  {0,1,0}     29    1
67   1111   119   120  0.800716  {1,1,0}     29    1
61   1116   191   195  0.208552  {1,0,0}     39    1
107  1124    23    87  0.581679  {0,1,0}     30    0
10   1126   220   221  0.675684  {0,1,0}     28    1
62   1157    63    65  0.763293  {0,0,1}     32    1
48   1164    89    90  0.901974  {1,1,0}     40    1
20   1170   120   162  0.612279  {0,1,1}     38    0
17   1181   218   225  0.714817  {0,3,0}     39    0
37   1186   117   121  0.038273  {0,1,0}     27    1
126  1208   159   160  0.319243  {0,1,1}     27    0
77   1219   161   165  0.722471  {0,1,0}     35    1
101  1237    78    82  0.546569  {0,3,0}     31    0
64   1250    16    18  0.820808  {0,2,0}     26    1
124  1255    43    44  0.680248  {0,1,1}     28    1
53   1269     5    26  0.677873  {0,2,0}     22    0
29   1291    51    52  0.593989  {0,0,1}     27    1
6    1293   185   186  0.219980  {0,2,0}     40    1
56   1303   209   216  0.219167  {1,0,0}     26    1
97   1304     5     6  0.940874  {0,2,0}     30    0
60   1314   141   142  0.955346  {0,2,0}     37    1
65   1324   128   139  0.037780  {1,1,0}     33    1
55   1332   129   130  0.885670  {0,1,1}     20    1
13   1355   154   157  0.220776  {1,0,0}     27    1
79   1366    57    61  0.059819  {0,2,0}     20    1
125  1410   213   214  0.132121  {0,3,0}     26    1
88   1426    97    98  0.266742  {1,1,0}     20    1
32   1430   196   198  0.871993  {1,0,0}     38    1
83   1433    23   150  0.386833  {0,1,0}     27    1
