map EGL-G1-E
fac 5 10 {0,196,245,166,180}
hosp 2 {0,152}
n_ALS 8 1 {1:245,4:166,3:180}
n_BLS 18 1 {6:0,4:196,3:245,2:166,3:180}
n_CLS 7 0 {2:0,1:245,3:166,1:180}
      c_m  head  tail      c_af      c_d  c_tau  c_h
120     1    65    92  0.157749  {0,2,0}     30    1
9      50   185   192  0.499391  {0,2,0}     36    1
24     63    39    52  0.888731  {1,0,0}     23    1
60    141   105   117  0.666989  {0,2,0}     34    1
51    151    98    99  0.760132  {1,1,0}     28    1
96    158   227   228  0.383766  {1,0,0}     29    1
0     191   153   157  0.897258  {0,2,0}     26    0
1     284     3     4  0.539497  {1,1,0}     32    1
119   330   189   241  0.783699  {0,0,1}     21    1
75    404    91    92  0.609643  {0,1,0}     24    0
10    407   165   174  0.326970  {0,1,0}     33    1
31    425    75    77  0.388631  {0,2,0}     22    1
44    428   134   146  0.072003  {0,3,0}     38    1
22    443    16    17  0.646514  {0,1,0}     39    0
45    466   160   164  0.077717  {0,2,0}     29    0
77    479   119   169  0.967092  {0,2,0}     35    0
76    509     7    30  0.864627  {0,2,0}     28    1
27    533    43    44  0.900974  {0,1,1}     33    1
42    535   176   180  0.522414  {0,3,0}     25    0
108   540   185   186  0.504958  {0,1,0}     31    1
18    544   195   197  0.361049  {0,0,1}     39    1
66    545    81    82  0.746164  {0,1,0}     38    0
37    557   116   117  0.588487  {1,0,0}     27    1
85    564    36    37  0.504864  {0,2,0}     34    0
86    581    47    64  0.296284  {0,1,0}     30    1
111   581   124   125  0.427875  {0,1,0}     39    1
29    585   102   110  0.973509  {1,0,0}     38    1
2     605   195   197  0.008611  {1,1,0}     37    0
52    606    91    92  0.097787  {0,1,0}     24    1
16    613   186   187  0.802805  {0,3,0}     31    1
20    631   154   155  0.978317  {1,1,0}     39    1
15    645   199   202  0.584394  {0,1,0}     38    0
81    658    36    38  0.286602  {0,0,1}     31    1
102   659   160   163  0.181744  {1,2,0}     35    1
107   661    59    60  0.132343  {1,3,0}     39    1
59    663    49    50  0.585653  {0,1,1}     26    1
